*HASH_VALUE	bodypartID	name	ia	da	p	pia	pda	description
_ACB9BC721BA65099	HHead	tête	une	la	têtes	des	les	
_278A7C5D654814CD	HChest	poitrine	une	la	poitrines	des	les	
_A2D940906B29B889	HArms	bras	un	le	bras	des	les	
_B1CAFC85DB767C9C	HHands	main	une	la	mains	des	les	
_20A8389BAC987C9F	HLegs	jambe	une	la	jambes	des	les	
_E18820962C586494	HFeet	pied	un	le	pieds	des	les	
_ACB9BC7B1B375099	QHead	tête	une	la	têtes	des	les	
_E80BB4A21A9838B5	QBody	corps	un	le	corps	des	les	
_C96F0919D2F8DC71	QFrontPaws	patte avant	une	la	pattes avant	des	les	
_08A1A8FEABC3CD11	QFrontHooves	sabot avant	un	le	sabots avant	des	les	
_23B95F02A87957B0	QRearPaws	patte arrière	une	la	pattes arrière	des	les	
_D880990C5BE9DCB7	QRearHooves	sabot arrière	un	le	sabots arrière	des	les	
_2836645DDE8874AD	LKHead	tête	une	la	têtes	des	les	
_ED86C05FE298A4B9	LKBody	corps	un	le	corps	des	les	
_39BFC0EBE486B512	LKFrontPaws1	patte avant	une	la	pattes avant	des	les	
_79BFC0EBE486B512	LKFrontPaws2	patte avant	une	la	pattes avant	des	les	
_D92BB508D8F884A6	LKRearPaws1	patte arrière	une	la	pattes arrière	des	les	
_D93BB508D8F884A6	LKRearPaws2	patte arrière	une	la	pattes arrière	des	les	
_283664575C8874AD	FKHead	tête	une	la	têtes	des	les	
_ED86C0596098A4B9	FKBody	corps	un	le	corps	des	les	
_DBBA7473640310B0	FKPaws1	patte	une	la	pattes	des	les	
_1BBA7473641310B0	FKPaws2	patte	une	la	pattes	des	les	
_66B6A47A4A7ADCC2	FKWings1	aile	une	l'\d	ailes	des	les	
_66B6A47ACA7ADCC2	FKWings2	aile	une	l'\d	ailes	des	les	
_ACB9BC701B865099	FHead	tête	une	la	têtes	des	les	
_E80BB4971AE738B5	FBody	corps	un	le	corps	des	les	
_C40D15A82A36DF2C	FFrontFins1	nageoire avant	une	la	nageoires avant	des	les	
_C41D15A82A36DF2C	FFrontFins2	nageoire avant	une	la	nageoires avant	des	les	
_67B624EBAAF630A4	FRearFins1	nageoire arrière	une	la	nageoires arrière	des	les	
_67B628EBAAF630A4	FRearFins2	nageoire arrière	une	la	nageoires arrière	des	les	
_ACB9BC6C1B465099	BHead	tête	une	la	têtes	des	les	
_E80BB4931AA738B5	BBody	corps	un	le	corps	des	les	
_25897F8F25594780	BFeet1	pied	un	le	pieds	des	les	
_2589838F25594B80	BFeet2	pied	un	le	pieds	des	les	
_2C68746BA436D3C2	BWings1	aile	un	l'\d	ailes	des	les	
_2C68746BA446D7C2	BWings2	aile	un	l'\d	ailes	des	les	
_8061E6E18C3EA521	PUpperTrunk	tige supérieure	une	la	tiges supérieures	des	les	
_ECEA3087A666CCC3	Ptrunk	tige	une	la	tiges	des	les	
_E7469C4D9B5A0C9D	PLeaves1	feuille	une	la	feuilles	des	les	
_E7469C4DDB5A0C9D	PLeaves2	feuille	une	la	feuilles	des	les	
_C3EE9906771FB524	PLowerTrunk	tige inférieure	une	la	tiges inférieures	des	les	
_DFA67A5CC7DECDE6	PVisibleRoots	racine visible	une	la	racines visibles	des	les	
