*HASH_VALUE	creature ID	name	named	namedda	nameda	iaa	ia	iag	da	dag	daa	dad	p	pd	pia	pda
_BF667A52745D1CCC	caaga1	Erkrankter Baldusa	Erkrankter Baldusa	Erkrankte Baldusa	Erkrankten Baldusa	einen	ein	eines	der	des	den	dem	Erkrankte Baldusas	Erkrankten Baldusas	Erkrankten Baldusas	die
_1B3F7E6D4208C16B	caaga2	Verfaulender Baldusa	Verfaulender Baldusa	Verfaulende Baldusa	Verfaulenden Baldusa	einen	ein	eines	der	des	den	dem	VerFaulede Baldusas	Verfaulenden Baldusas	Verfaulenden Baldusas	die
_E99353EFAA20CAC5	caaga3	Verseuchter Baldusa	Verseuchter Baldusa	Verseuchte Baldusa	Verseuchten Baldusa	einen	ein	eines	der	des	den	dem	Verseuchte Baldusas	Verseuchten Baldusas	Verseuchten Baldusas	die
_8944CE87B71EA55D	caaga4	Infizierter Baldusa	Infizierter Baldusa	Infizierte Baldusa	Infizierten Baldusa	einen	ein	eines	der	des	den	dem	Infizierte Baldusas	Infizierten Baldusas	Infizierten Baldusas	die
_16CFEA893D982988	caagb1	Widerlicher Baldusa	Widerlicher Baldusa	Widerliche Baldusa	Widerlichen Baldusa	einen	ein	eines	der	des	den	dem	Widerliche Baldusas	Widerlichen Baldusas	Widerlichen Baldusas	die
_5A80A6768149E975	caagb2	Stinkender Baldusa	Stinkender Baldusa	Stinkende Baldusa	Stinkenden Baldusa	einen	ein	eines	der	des	den	dem	Stinkende Baldusas	Stinkenden Baldusas	Stinkenden Baldusas	die
_3F50E64FFCA9BCBF	caagb3	Krankhafter Baldusa	Krankhafter Baldusa	Krankhafte Baldusa	Krankhaften Baldusa	einen	ein	eines	der	des	den	dem	Krankhafte Baldusas	Krankhaften Baldusas	Krankhaften Baldusas	die
_5990AE6D8059F96C	caagb4	Vergifteter Baldusa	Vergifteter Baldusa	Vergiftete Baldusa	Vergifteten Baldusa	einen	ein	eines	der	des	den	dem	Vergiftete Baldusas	Vergifteten Baldusas	Vergifteten Baldusas	die
_DA26CE28FEFD73F3	caagc1	Gequälter Baldusa	Gequälter Baldusa	Gequälte Baldusa	Gequälten Baldusa	einen	ein	eines	der	des	den	dem	Gequälte Baldusas	Gequälten Baldusas	Gequälten Baldusas	die
_5F65EA2A2C6E53B3	caagc2	Kranker Baldusa	Kranker Baldusa	Kranke Baldusa	Kranken Baldusa	einen	ein	eines	der	des	den	dem	Kranke Baldusas	Kranken Baldusas	Kranken Baldusas	die
_DF843B861BA2615B	caagc3	Fauler Baldusa	Fauler Baldusa	Faule Baldusa	Faulen Baldusa	einen	ein	eines	der	des	den	dem	Faule Baldusas	Faulen Baldusas	Faulen Baldusas	die
_96C0F67FBD89417F	caagc4	Virulenter Baldusa	Virulenter Baldusa	Virulente Baldusa	Virulenten Baldusa	einen	ein	eines	der	des	den	dem	Virulente Baldusas	Virulenten Baldusas	Virulenten Baldusas	die
_1F95BE3D3B1D3BEE	caagd1	Verletzter Baldusa	Verletzter Baldusa	Verletzte Baldusa	Verletzten Baldusa	einen	ein	eines	der	des	den	dem	Verletzte Baldusas	Verletzten Baldusas	Verletzten Baldusas	die
_50A5F66286D3F53A	caagd2	Eiternder Baldusa	Eiternder Baldusa	Eiternde Baldusa	Eiternden Baldusa	einen	ein	eines	der	des	den	dem	Eiternde Baldusas	Eiternden Baldusas	Eiternden Baldusas	die
_B119DAB1A236F970	caagd3	Schädlicher Baldusa	Schädlicher Baldusa	Schädliche Baldusa	Schädlichen Baldusa	einen	ein	eines	der	des	den	dem	Schädliche Baldusas	Schädlichen Baldusas	Schädlichen Baldusas	die
_C1E0CA5879FACCC6	caagd4	Gieriger Baldusa	Gieriger Baldusa	Gierige Baldusa	Gierigen Baldusa	einen	ein	eines	der	des	den	dem	Gierige Baldusas	Gierigen Baldusas	Gierigen Baldusas	die
_55170E5C8E350D51	caage1	Pustelübersäter Baldusa	Pustelübersäter Baldusa	Pustelübersäte Baldusa	Pustelübersäten Baldusa	einen	ein	eines	der	des	den	dem	Pustelübersäte Baldusas	Pustelübersäten Baldusas	Pustelübersäten Baldusas	die
_1DF5FE2CFCBD4701	caage2	Erschöpfter Baldusa	Erschöpfter Baldusa	Erschöpfte Baldusa	Erschöpften Baldusa	einen	ein	eines	der	des	den	dem	Erschöpfte Baldusas	Erschöpften Baldusas	Erschöpften Baldusas	die
_1C95BE287EEC4BFE	caage3	Schäumender Baldusa	Schäumender Baldusa	Schäumende Baldusa	Schäumenden Baldusa	einen	ein	eines	der	des	den	dem	Schäumende Baldusas	Schäumenden Baldusas	Schäumenden Baldusas	die
_D415E2674843093B	caage4	Rebellischer Baldusa	Rebellischer Baldusa	Rebellische Baldusa	Rebellischen Baldusa	einen	ein	eines	der	des	den	dem	Rebellische Baldusas	Rebellischen Baldusas	Rebellischen Baldusas	die
_59BF76718088B574	caagf1	Wahnsinniger Baldusa	Wahnsinniger Baldusa	Wahnsinnige Baldusa	Wahnsinnigen Baldusa	einen	ein	eines	der	des	den	dem	Wahnsinnige Baldusas	Wahnsinnigen Baldusas	Wahnsinnigen Baldusas	die
_D9A09A690069DD6C	caagf2	Wutschnaubender Baldusa	Wutschnaubender Baldusa	Wutschnaubende Baldusa	Wutschnaubenden Baldusa	einen	ein	eines	der	des	den	dem	Wutschnaubende Baldusas	Wutschnaubenden Baldusas	Wutschnaubenden Baldusas	die
_973FAA77BE08F17A	caagf3	Teuflischer Baldusa	Teuflischer Baldusa	Teuflische Baldusa	Teuflischen Baldusa	einen	ein	eines	der	des	den	dem	Teuflische Baldusas	Teuflischen Baldusas	Teuflischen Baldusas	die
_46A016507B99B8C1	caala1	Kleiner Baldusa	Kleiner Baldusa	Kleine Baldusa	Kleinen Baldusa	einen	ein	eines	der	des	den	dem	Kleine Baldusas	Kleinen Baldusas	Kleinen Baldusas	die
