*HASH_VALUE	creature ID	name	ia	da	p	pia	pda
_BF667A52745D1CCC	caaga1	Impure Baldusa	an	the	Impure Baldusas	\d	the
_1B3F7E6D4208C16B	caaga2	Blighted Baldusa	a	the	Blighted Baldusas	\d	the
_E99353EFAA20CAC5	caaga3	Contaminated Baldusa	a	the	Contaminated Baldusas	\d	the
_8944CE87B71EA55D	caaga4	Infected Baldusa	an	the	Infected Baldusas	\d	the
_16CFEA893D982988	caagb1	Nauseous Baldusa	a	the	Nauseous Baldusas	\d	the
_5A80A6768149E975	caagb2	Stinking Baldusa	a	the	Stinking Baldusas	\d	the
_3F50E64FFCA9BCBF	caagb3	Morbid Baldusa	a	the	Morbid Baldusas	\d	the
_5990AE6D8059F96C	caagb4	Poisoned Baldusa	a	the	Poisoned Baldusas	\d	the
_DA26CE28FEFD73F3	caagc1	Plagued Baldusa	a	the	Plagued Baldusas	\d	the
_5F65EA2A2C6E53B3	caagc2	Sickly Baldusa	a	the	Sickly Baldusas	\d	the
_DF843B861BA2615B	caagc3	Putrescent Baldusa	a	the	Putrescent Baldusas	\d	the
_96C0F67FBD89417F	caagc4	Virulent Baldusa	a	the	Virulent Baldusas	\d	the
_1F95BE3D3B1D3BEE	caagd1	Ravaged Baldusa	a	the	Ravaged Baldusas	\d	the
_50A5F66286D3F53A	caagd2	Festering Baldusa	a	the	Festering Baldusas	\d	the
_B119DAB1A236F970	caagd3	Pestiferous Baldusa	a	the	Pestiferous Baldusas	\d	the
_C1E0CA5879FACCC6	caagd4	Raving Baldusa	a	the	Raving Baldusas	\d	the
_55170E5C8E350D51	caage1	Pustulous Baldusa	a	the	Pustulous Baldusas	\d	the
_1DF5FE2CFCBD4701	caage2	Seeping Baldusa	a	the	Seeping Baldusas	\d	the
_1C95BE287EEC4BFE	caage3	Foaming Baldusa	a	the	Foaming Baldusas	\d	the
_D415E2674843093B	caage4	Revolting Baldusa	a	the	Revolting Baldusas	\d	the
_59BF76718088B574	caagf1	Demented Baldusa	a	the	Demented Baldusas	\d	the
_D9A09A690069DD6C	caagf2	Frenzied Baldusa	a	the	Frenzied Baldusas	\d	the
_973FAA77BE08F17A	caagf3	Fiendish Baldusa	a	the	Fiendish Baldusas	\d	the
_46A016507B99B8C1	caala1	Little Baldusa	a	the	Little Baldusas	\d	the
_1666DA5ACAE3ED44	caala2	Primitive Baldusa	a	the	Primitive Baldusas	\d	the
_8824CE90B89EC95F	caala3	Appeased Baldusa	an	the	Appeased Baldusas	\d	the
_EC3F8D0D79DDD0AA	caala4	Rapid Baldusa	a	the	Rapid Baldusas	\d	the
_47A016507B99B8C1	caapa1	Little Baldusa	a	the	Little Baldusas	\d	the
_1766DA5ACAE3ED44	caapa2	Primitive Baldusa	a	the	Primitive Baldusas	\d	the
_8924CE90B89EC95F	caapa3	Appeased Baldusa	an	the	Appeased Baldusas	\d	the
_ED3F8D0D79DDD0AA	caapa4	Rapid Baldusa	a	the	Rapid Baldusas	\d	the
_32D081117CEDC4AB	caapb1	Slimy Baldusa	a	the	Slimy Baldusas	\d	the
_C75F1240FC09E0C5	caapb2	Common Baldusa	a	the	Common Baldusas	\d	the
_60F59A2CFCEC4BF2	caapb3	Feeding Baldusa	a	the	Feeding Baldusas	\d	the
_F170AD15F6CCD0AB	caapb4	Adult Baldusa	an	the	Adult Baldusas	\d	the
_E3B6FA9D24B6C971	caapc1	Fully Grown Baldusa	a	the	Fully Grown Baldusas	\d	the
_D3B6BA56C8A2E139	caapc2	Defensive Baldusa	a	the	Defensive Baldusas	\d	the
_58F1C27C3CBA097C	caapc3	Scouring Baldusa	a	the	Scouring Baldusas	\d	the
_9A8F9E767E58E976	caapc4	Chilling Baldusa	a	the	Chilling Baldusas	\d	the
_A3F6CE39004C43FB	caapd1	Lurking Baldusa	a	the	Lurking Baldusas	\d	the
_1C60CA7C00290D7D	caapd2	Prowling Baldusa	a	the	Prowling Baldusas	\d	the
_5EA27D6E452BE76C	caapd3	Enraged Baldusa	an	the	Enraged Baldusas	\d	the
_7667B1216E765CF6	caapd4	Wild Baldusa	a	the	Wild Baldusas	\d	the
_54A6FA51CC63F551	caape1	Humongous Baldusa	a	the	Humongous Baldusas	\d	the
_59A0B28A3D69F58C	caape2	Ravenous Baldusa	a	the	Ravenous Baldusas	\d	the
_7667010B6C3458F7	caape3	Mean Baldusa	a	the	Mean Baldusas	\d	the
_DF859EBB4752744C	caape4	Attacking Baldusa	an	the	Attacking Baldusas	\d	the
_E0260798D3C2F578	caapf1	Terryfying Baldusa	a	the	Terryfying Baldusas	\d	the
_21E5CEB9CAF3885F	caapf2	Atrocious Baldusa	an	the	Atrocious Baldusas	\d	the
_9D01BE7281CA0575	caapf3	Sinister Baldusa	a	the	Sinister Baldusas	\d	the
_053FC2683CAA34B3	cabda1	Little Prakker	a	the	Little Prakkers	\d	the
_19E5F66F0705ED3A	cabda2	Primitive Prakker	a	the	Primitive Prakkers	\d	the
_03B56A97FDEE515F	cabda3	Appeased Prakker	an	the	Appeased Prakkers	\d	the
_2E7F2D0A773E4CB8	cabda4	Rapid Prakker	a	the	Rapid Prakkers	\d	the
_7310210E7A4E40B9	cabdb1	Slimy Prakker	a	the	Slimy Prakkers	\d	the
_85FEBE58BD1A5CB7	cabdb2	Common Prakker	a	the	Common Prakkers	\d	the
_1775EE2184EC230A	cabdb3	Feeding Prakker	a	the	Feeding Prakkers	\d	the
_32B04D12F42D4CB9	cabdb4	Adult Prakker	an	the	Adult Prakkers	\d	the
_61B832AEE534BD6D	cabdc1	Fully Grown Prakker	a	the	Fully Grown Prakkers	\d	the
_D535D66B05C4E12F	cabdc2	Defensive Prakker	a	the	Defensive Prakkers	\d	the
_5671DA7F3D2A217F	cabdc3	Scouring Prakker	a	the	Scouring Prakkers	\d	the
_980FB6797FC80179	cabdc4	Chilling Prakker	a	the	Chilling Prakkers	\d	the
_5A76222E884C1B13	cabdd1	Lurking Prakker	a	the	Lurking Prakkers	\d	the
_1AE0E27F01992580	cabdd2	Prowling Prakker	a	the	Prowling Prakkers	\d	the
_1CF29974066B0372	cabdd3	Enraged Prakker	an	the	Enraged Prakkers	\d	the
_7B77390568560418	cabdd4	Wild Prakker	a	the	Wild Prakkers	\d	the
_562516660985F547	cabde1	Humongous Prakker	a	the	Humongous Prakkers	\d	the
_5720CA8D3ED90D8F	cabde2	Ravenous Prakker	a	the	Ravenous Prakkers	\d	the
_7B7789EF66140019	cabde3	Mean Prakker	a	the	Mean Prakkers	\d	the
_1A44FEBE8B443C53	cabde4	Attacking Prakker	an	the	Attacking Prakkers	\d	the
