*HASH_VALUE	creature ID	name	ia	da	p	pia	pda
_BF667A52745D1CCC	caaga1	Baldusa Impura	una	la	Baldusas Impuras		las
_1B3F7E6D4208C16B	caaga2	Baldusa Arruinada	una	la	Baldusas Arruinadas		las
_E99353EFAA20CAC5	caaga3	Baldusa Contaminada	una	la	Baldusas Contaminadas		las
_8944CE87B71EA55D	caaga4	Baldusa Infectada	una	la	Baldusas Infectadas		las
_16CFEA893D982988	caagb1	Baldusa Nauseabunda	una	la	Baldusas Nauseabundas		las
_5A80A6768149E975	caagb2	Baldusa Maloliente	una	la	Baldusas Malolientes		las
_3F50E64FFCA9BCBF	caagb3	Baldusa Mórbida	una	la	Baldusas Mórbidas		las
_5990AE6D8059F96C	caagb4	Baldusa Envenenada	una	la	Baldusas Envenenadas		las
_DA26CE28FEFD73F3	caagc1	Baldusa Plagada	una	la	Baldusas Plagadas		las
_5F65EA2A2C6E53B3	caagc2	Baldusa Enferma	una	la	Baldusas Enfermas		las
_DF843B861BA2615B	caagc3	Baldusa Putrefacta	una	la	Baldusas Putrefactas		las
_96C0F67FBD89417F	caagc4	Baldusa Virulenta	una	la	Baldusas Virulentas		las
_1F95BE3D3B1D3BEE	caagd1	Baldusa Devastada	una	la	Baldusas Devastadas		las
_50A5F66286D3F53A	caagd2	Baldusa Ulcerada	una	la	Baldusas Ulceradas		las
_B119DAB1A236F970	caagd3	Baldusas Pestíferas	una	la	Baldusas Pestíferas		las
_C1E0CA5879FACCC6	caagd4	Baldusa Delirante	una	la	Baldusas Delirantes		las
_55170E5C8E350D51	caage1	Baldusa Pustulosa	una	la	Baldusas Pustulosas		las
_1DF5FE2CFCBD4701	caage2	Baldusa Filtrante	una	la	Baldusas Filtrantes		las
_1C95BE287EEC4BFE	caage3	Baldusa Espumosa	una	la	Baldusas Espumosas		las
_D415E2674843093B	caage4	Baldusa Repugnante	una	la	Baldusas Repugnantes		las
_59BF76718088B574	caagf1	Baldusa Demente	una	la	Baldusas Dementes		las
_D9A09A690069DD6C	caagf2	Baldusa Frenética	una	la	Baldusas Frenéticas		las
_973FAA77BE08F17A	caagf3	Baldusa Diabólica	una	la	Baldusas Diabólicas		las
_46A016507B99B8C1	caala1	Baldusa Pequeña	una	la	Baldusas Pequeñas		las
_1666DA5ACAE3ED44	caala2	Baldusa Primitiva	una	la	Baldusas Primitivas		las
_8824CE90B89EC95F	caala3	Baldusa Apaciguada	una	la	Baldusas Apaciguadas		las
_EC3F8D0D79DDD0AA	caala4	Baldusa Rápida	una	la	Baldusas Rápidas		las
_47A016507B99B8C1	caapa1	Baldusa Pequeña	una	la	Baldusas Pequeñas		las
_1766DA5ACAE3ED44	caapa2	Baldusa Primitiva	una	la	Baldusas Primitivas		las
_8924CE90B89EC95F	caapa3	Baldusa Apaciguada	una	la	Baldusas Apaciguadas		las
_ED3F8D0D79DDD0AA	caapa4	Baldusa Rápida	una	la	Baldusas Rápidas		las
_32D081117CEDC4AB	caapb1	Baldusa limosa	una	la	Balbusas Limosas		las
_C75F1240FC09E0C5	caapb2	Baldusa Común	una	la	Baldusas Comunes		las
_60F59A2CFCEC4BF2	caapb3	Baldusas para Alimento	una	la	Baldusas para Alimento		las
_F170AD15F6CCD0AB	caapb4	Baldusa Adulta	una	la	Baldusas Adultas		las
_E3B6FA9D24B6C971	caapc1	Baldusas plenamente desarrolladas	una	la	Baldusas plenamente desarrolladas		las
_D3B6BA56C8A2E139	caapc2	Baldusa Defensiva	una	la	Baldusas Defensivas		las
_58F1C27C3CBA097C	caapc3	Baldusa Arruinada	una	la	Baldusas Arruinadas		las
_9A8F9E767E58E976	caapc4	Baldusa Fría	una	la	Baldusas Frías		las
_A3F6CE39004C43FB	caapd1	Baldusas al Acecho	una	la	Baldusas al Acecho		las
_1C60CA7C00290D7D	caapd2	Baldusa Merodeando	una	la	Baldusas Merodeando		las
_5EA27D6E452BE76C	caapd3	Baldusa Enfurecida	una	la	Baldusas Enfurecidas		las
_7667B1216E765CF6	caapd4	Baldusa Salvaje	una	la	Baldusas Salvajes		las
_54A6FA51CC63F551	caape1	Baldusa Gigantesca	una	la	Baldusas Gigantescas		las
_59A0B28A3D69F58C	caape2	Baldusa Voraz	una	la	Baldusas Voraces		las
_7667010B6C3458F7	caape3	Baldusa Mala	una	la	Baldusas Malas		las
_DF859EBB4752744C	caape4	Baldusa al Ataque	una	la	Baldusas al Ataque		las
_E0260798D3C2F578	caapf1	Baldusa Espantosa	una	la	Baldusas Espantosas		las
_21E5CEB9CAF3885F	caapf2	Baldusas Atroces	una	la	Baldusas Atroces		las
_9D01BE7281CA0575	caapf3	Baldusa Siniestra	una	la	Baldusas Siniestras		las
_053FC2683CAA34B3	cabda1	Prakker Pequeño	un	el	Prakkers Pequeños		los
_19E5F66F0705ED3A	cabda2	Prakker Primitivo	un	el	Prakkers Primitivos		los
_03B56A97FDEE515F	cabda3	Praker Apaciguado	un	el	Prakkers Apaciguados		los
_2E7F2D0A773E4CB8	cabda4	Prakker Rápido	un	el	Prakkers Rápidos		los
_7310210E7A4E40B9	cabdb1	Prakker Limoso	un	el	Prakkers Limosos		los
_85FEBE58BD1A5CB7	cabdb2	Prakker Común	un	el	Prakkers Comunes		los
_1775EE2184EC230A	cabdb3	Prakker para Alimento	un	el	Prakkers para Alimento		los
_32B04D12F42D4CB9	cabdb4	Prakker Adulto	un	el	Prakkers Adultos		los
_61B832AEE534BD6D	cabdc1	Prakker Plenamente Desarrollado	un	el	Prakkers Plenamente Desarrollados		los
_D535D66B05C4E12F	cabdc2	Prakker Defensivo	un	el	Prakkers Defensivos		los
_5671DA7F3D2A217F	cabdc3	Prakker Arruinado	un	el	Prakkers Arruinados		los
_980FB6797FC80179	cabdc4	Prakker Frio	un	el	Prakkers Fríos		los
_5A76222E884C1B13	cabdd1	Prakker al Acecho	un	el	Prakkers al Acecho		los
_1AE0E27F01992580	cabdd2	Prakker Merodeando	un	el	Prakkers Merodeando		los
_1CF29974066B0372	cabdd3	Prakker Enfurecido	un	el	Prakkers Enfurecidos		los
_7B77390568560418	cabdd4	Prakker Salvaje	un	el	Prakkers Salvajes		los
_562516660985F547	cabde1	Prakker Gigantesco	un	el	Prakkers Gigantescos		los
_5720CA8D3ED90D8F	cabde2	Prakker Voraz	un	el	Prakkers Voraces		los
_7B7789EF66140019	cabde3	Prakker Malo	un	el	Prakkers Malos		los
_1A44FEBE8B443C53	cabde4	Prakker al Ataque	un	el	Prakkers al Ataque		los
_97B713A99BE11171	cabdf1	Prakker Espantoso	un	el	Prakkers Espantosos		los
_5CA42EBC0EE55066	cabdf2	Prakker Atroz	un	el	Prakkers Atroces		los
_9B81D675823A1D78	cabdf3	Prakker Siniestro	un	el	Prakkers Siniestros		los
_853FC2683CAA34B3	cabfa1	Prakker Pequeño	un	el	Prakkers Pequeños		los
_99E5F66F0705ED3A	cabfa2	Prakker Primitivo	un	el	Prakkers Primitivos		los
_83B56A97FDEE515F	cabfa3	Prakker Apaciguado	un	el	Prakkers Apaciguados		los
_AE7F2D0A773E4CB8	cabfa4	Prakker Rápido	un	el	Prakkers Rápidos		los
_F310210E7A4E40B9	cabfb1	Prakker Limoso	un	el	Prakkers Limosos		los
_05FEBE58BD1A5CB7	cabfb2	Prakker Común	un	el	Prakkers Comunes		los
_9775EE2184EC230A	cabfb3	Prakker para Alimento	un	el	Prakkers para Alimento		los
_B2B04D12F42D4CB9	cabfb4	Prakker Adulto	un	el	Prakkers Adultos		los
_E1B832AEE534BD6D	cabfc1	Prakker Plenamente Desarrollado	un	el	Prakkers Plenamente Desarrollados		los
_5535D66B05C4E12F	cabfc2	Prakker Defensivo	un	el	Prakkers Defensivos		los
_D671DA7F3D2A217F	cabfc3	Prakker Arruinado	un	el	Prakkers Arruinados		los
_DA76222E884C1B13	cabfd1	Prakker al Acecho	un	el	Prakkers al Acecho		los
_9AE0E27F01992580	cabfd2	Prakker Merodeando	un	el	Prakkers al Acecho		los
_9CF29974066B0372	cabfd3	Prakker Enfurecido	un	el	Prakkers Enfurecidos		los
_FB77390568560418	cabfd4	Prakker Salvaje	un	el	Prakkers Salvajes		los
_D62516660985F547	cabfe1	Prakker Gigantesco	un	el	Prakkers Gigantescos		los
_D720CA8D3ED90D8F	cabfe2	Prakker Voraz	un	el	Prakkers Voraz		los
_FB7789EF66140019	cabfe3	Prakker Malo	un	el	Prakkers Malos		los
_9A44FEBE8B443C53	cabfe4	Prakker al Ataque	un	el	Prakkers al Ataque		los
_17B713A99BE11171	cabff1	Prakker Espantoso	un	el	Prakkers Espantosos		los
_DCA42EBC0EE55066	cabff2	Prakker Atroz	un	el	Prakkers Atroces		los
_1B81D675823A1D78	cabff3	Prakker Siniestro	un	el	Prakkers Atroces		los
_863FC2683CAA34B3	cabja1	Prakker Pequeno	un	el	Prakker Pequeños		los
_9AE5F66F0705ED3A	cabja2	Prakker Primitivo	un	el	Prakkers Primitivos		los
_84B56A97FDEE515F	cabja3	Prakker Apaciguado	un	el	Prakkers Apaciguados		los
_AF7F2D0A773E4CB8	cabja4	Prakker Rápido	un	el	Prakkers Rápidos		los
_F410210E7A4E40B9	cabjb1	Prakker Limoso	un	el	Prakkers Limosos		los
_06FEBE58BD1A5CB7	cabjb2	Prakker Común	un	el	Prakkers Comunes		los
_9875EE2184EC230A	cabjb3	Parker para Alimento	un	el	Prakkers para Alimento		los
_B3B04D12F42D4CB9	cabjb4	Prakker Adulto	un	el	Prakkers Adultos		los
_E2B832AEE534BD6D	cabjc1	Prakker Plenamente Desarrollado	un	el	Prakkers Plenamente Desarrollados		los
_5635D66B05C4E12F	cabjc2	Prakker Defensivo	un	el	Prakkers Defensivos		los
_D771DA7F3D2A217F	cabjc3	Prakker Arruinado	un	el	Prakkers Arruinados		los
_190FB6797FC80179	cabjc4	Prakker Frio	un	el	Prakkers Fríos		los
_DB76222E884C1B13	cabjd1	Prakker al Acecho	un	el	Prakkers al Acecho		los
_9BE0E27F01992580	cabjd2	Prakker Merodeando	un	el	Prakkers Merodeando		los
_9DF29974066B0372	cabjd3	Prakker Enfurecido	un	el	Prakkers Enfurecidos		los
