*HASH_VALUE	creature ID	name	ia	da	cc	pr	p	pia	pda
_BF667A52745D1CCC	caaga1	Baldusa impur	un	le	du	au	Baldusas impurs	des	les
_1B3F7E6D4208C16B	caaga2	Baldusa pourri	un	le	du	au	Baldusas pourris	des	les
_E99353EFAA20CAC5	caaga3	Baldusa contaminé	un	le	du	au	Baldusas contaminés	des	les
_8944CE87B71EA55D	caaga4	Baldusa infecté	un	le	du	au	Baldusas infectés	des	les
_16CFEA893D982988	caagb1	Baldusa écœurant	un	le	du	au	Baldusas écœurants	des	les
_5A80A6768149E975	caagb2	Baldusa puant	un	le	du	au	Baldusas puants	des	les
_3F50E64FFCA9BCBF	caagb3	Baldusa morbide	un	le	du	au	Baldusas morbides	des	les
_5990AE6D8059F96C	caagb4	Baldusa empoisonné	un	le	du	au	Baldusas empoisonnés	des	les
_DA26CE28FEFD73F3	caagc1	Baldusa souffrant	un	le	du	au	Baldusas souffrants	des	les
_5F65EA2A2C6E53B3	caagc2	Baldusa fiévreux	un	le	du	au	Baldusas fiévreux	des	les
_DF843B861BA2615B	caagc3	Baldusa putréfié	un	le	du	au	Baldusas putréfiés	des	les
_96C0F67FBD89417F	caagc4	Baldusa venimeux	un	le	du	au	Baldusas venimeux	des	les
_1F95BE3D3B1D3BEE	caagd1	Baldusa ravagé	un	le	du	au	Baldusas ravagés	des	les
_50A5F66286D3F53A	caagd2	Baldusa poisseux	un	le	du	au	Baldusas poisseux	des	les
_B119DAB1A236F970	caagd3	Baldusa pestilentiel	un	le	du	au	Baldusas pestilentiels	des	les
_C1E0CA5879FACCC6	caagd4	Baldusa délirant	un	le	du	au	Baldusas délirants	des	les
_55170E5C8E350D51	caage1	Baldusa pustuleux	un	le	du	au	Baldusas pustuleux	des	les
_1DF5FE2CFCBD4701	caage2	Baldusa suintant	un	le	du	au	Baldusas suintants	des	les
_1C95BE287EEC4BFE	caage3	Baldusa écumant	un	le	du	au	Baldusas écumants	des	les
_D415E2674843093B	caage4	Baldusa répugnant	un	le	du	au	Baldusas répugnants	des	les
_59BF76718088B574	caagf1	Baldusa dément	un	le	du	au	Baldusas déments	des	les
_D9A09A690069DD6C	caagf2	Baldusa frénétique	un	le	du	au	Baldusas frénétiques	des	les
_973FAA77BE08F17A	caagf3	Baldusa démoniaque	un	le	du	au	Baldusas démoniaques	des	les
_46A016507B99B8C1	caala1	Petit Baldusa	un	le	du	au	Petits Baldusas	des	les
_1666DA5ACAE3ED44	caala2	Baldusa primitif	un	le	du	au	Baldusas primitifs	des	les
_8824CE90B89EC95F	caala3	Baldusa apaisé	un	le	du	au	Baldusas apaisés	des	les
_EC3F8D0D79DDD0AA	caala4	Baldusa rapide	un	le	du	au	Baldusas rapides	des	les
_47A016507B99B8C1	caapa1	Petit Baldusa	un	le	du	au	Petits Baldusas	des	les
_1766DA5ACAE3ED44	caapa2	Baldusa primitif	un	le	du	au	Baldusas primitifs	des	les
_8924CE90B89EC95F	caapa3	Baldusa apaisé	un	le	du	au	Baldusas apaisés	des	les
_ED3F8D0D79DDD0AA	caapa4	Baldusa rapide	un	le	du	au	Baldusas rapides	des	les
_32D081117CEDC4AB	caapb1	Baldusa gluant	un	le	du	au	Baldusas gluants	des	les
_C75F1240FC09E0C5	caapb2	Baldusa ordinaire	un	le	du	au	Baldusas ordinaires	des	les
_60F59A2CFCEC4BF2	caapb3	Baldusa en chasse	un	le	du	au	Baldusas en chasse	des	les
_F170AD15F6CCD0AB	caapb4	Baldusa adulte	un	le	du	au	Baldusas adultes	des	les
_E3B6FA9D24B6C971	caapc1	Baldusa très vigoureux	un	le	du	au	Baldusas très vigoureux	des	les
_D3B6BA56C8A2E139	caapc2	Baldusa défensif	un	le	du	au	Baldusas défensifs	des	les
_58F1C27C3CBA097C	caapc3	Baldusa fouilleur	un	le	du	au	Baldusas fouilleurs	des	les
_9A8F9E767E58E976	caapc4	Baldusa pétrifiant	un	le	du	au	Baldusas pétrifiants	des	les
_A3F6CE39004C43FB	caapd1	Baldusa embusqué	un	le	du	au	Baldusas embusqués	des	les
_1C60CA7C00290D7D	caapd2	Baldusa rôdeur	un	le	du	au	Baldusas rôdeurs	des	les
_5EA27D6E452BE76C	caapd3	Baldusa furieux	un	le	du	au	Baldusas furieux	des	les
_7667B1216E765CF6	caapd4	Baldusa indompté	un	le	du	au	Baldusas indomptés	des	les
_54A6FA51CC63F551	caape1	Baldusa énorme	un	le	du	au	Baldusas énormes	des	les
_59A0B28A3D69F58C	caape2	Baldusa insatiable	un	le	du	au	Baldusas insatiables	des	les
_7667010B6C3458F7	caape3	Baldusa mauvais	un	le	du	au	Baldusas mauvais	des	les
_DF859EBB4752744C	caape4	Baldusa attaquant	un	le	du	au	Baldusas attaquants	des	les
_E0260798D3C2F578	caapf1	Baldusa horrifiant	un	le	du	au	Baldusas horrifiants	des	les
_21E5CEB9CAF3885F	caapf2	Baldusa atroce	un	le	du	au	Baldusas atroces	des	les
_9D01BE7281CA0575	caapf3	Baldusa funeste	un	le	du	au	Baldusas funestes	des	les
_053FC2683CAA34B3	cabda1	Petit Prakker	un	le	du	au	Petits Prakkers	des	les
_19E5F66F0705ED3A	cabda2	Prakker primitif	un	le	du	au	Prakkers primitifs	des	les
_03B56A97FDEE515F	cabda3	Prakker apaisé	un	le	du	au	Prakkers apaisés	des	les
_2E7F2D0A773E4CB8	cabda4	Prakker rapide	un	le	du	au	Prakkers rapides	des	les
_7310210E7A4E40B9	cabdb1	Prakker gluant	un	le	du	au	Prakkers gluants	des	les
_85FEBE58BD1A5CB7	cabdb2	Prakker ordinaire	un	le	du	au	Prakkers ordinaires	des	les
_1775EE2184EC230A	cabdb3	Prakker en chasse	un	le	du	au	Prakkers en chasse	des	les
_32B04D12F42D4CB9	cabdb4	Prakker adulte	un	le	du	au	Prakkers adultes	des	les
_61B832AEE534BD6D	cabdc1	Prakker très vigoureux	un	le	du	au	Prakkers très vigoureux	des	les
_D535D66B05C4E12F	cabdc2	Prakker défensif	un	le	du	au	Prakkers défensifs	des	les
_5671DA7F3D2A217F	cabdc3	Prakker fouilleur	un	le	du	au	Prakkers fouilleurs	des	les
_980FB6797FC80179	cabdc4	Prakker pétrifiant	un	le	du	au	Prakkers pétrifiants	des	les
_5A76222E884C1B13	cabdd1	Prakker embusqué	un	le	du	au	Prakkers embusqués	des	les
_1AE0E27F01992580	cabdd2	Prakker rôdeur	un	le	du	au	Prakkers rôdeurs	des	les
_1CF29974066B0372	cabdd3	Prakker furieux	un	le	du	au	Prakkers furieux	des	les
_7B77390568560418	cabdd4	Prakker indompté	un	le	du	au	Prakkers indomptés	des	les
_562516660985F547	cabde1	Prakker énorme	un	le	du	au	Prakkers énormes	des	les
_5720CA8D3ED90D8F	cabde2	Prakker insatiable	un	le	du	au	Prakkers insatiables	des	les
