*HASH_VALUE	item ID	name	ia	da	p	pia	pda	descripción
_108DDB88207D7D6F	barman_bottle	Botella del Tabernero	una	la	Botellas del Tabernero		las	
_719D75E0E9F8F0D4	big_barrel	Barril Grande	un	el	Barriles Grandes		los	
_AAF8AD76E06BA817	big_living_sculpture	Gran Escultura Viviente	una	la	Grandes Esculturas Vivientes		las	
_C53473989DD18D60	black_medicine	Medicina Negra	una	la	Medicinas Negras		las	
_095D69BC15982000	blood_vial	Ampollas de Sangre	una	la	Ampollas de Sangre		las	
_992FA17CC3622A69	blue_medicine	Medicina Azul	una	la	Medicinas Azules		las	
_387B063C978B2F9A	botanist_letter	Carta del Botánico	una	la	Cartas del Botánico		las	
_94281F5594E74586	botanist_vial	Ampolla del Botánico	una	la	Ampollas del Botánico		las	
_6E7AE080AAA7CCAD	bottle	Botella	una	la	Botellas		las	
_29FA4C81EB47209E	casket	Cofre	un	el	Cofres		los	
_BB42F36FBADA4FB3	crystalized_spell	Hechizo Cristalizado	un	el	Hechizos Cristalizados		los	
_5C103D85258D1E61	cure_expert_letter	Carta del Experto en Curación	una	la	Cartas del Experto en Curación 		las	
_265C8F99DC8713A2	fv_arrowhead	Punta de Flecha Extraña	una	la	Puntas de Flecha Extrañas		las	
_C4ED4DA60E405F1D	fv_seal1	Garantía o sello del minero	una	la	Garantías o sellos del Minero		las	
_A7688EB001F4C3B6	fy_cheveux_long01	Cabello Largo de Fyros	un	el	Cabellos Largos de Fyros		los	
_C9AE97CCA6393608	fy_cheveux_medium01	Cabello Mediano de Fyros	un	el	Cabellos Medianos de Fyros		los	
_444DFF215179DB83	fy_cheveux_shave01	Cabello Afeitado de Fyros	un	el	Cabellos Afeitados de Fyros		los	
_2B15C615EDDA8EDA	fy_cheveux_short01	Cabello Corto de Fyros	un	el	Cabellos Cortos de Fyros		los	
_877F6110998470D1	fy_visage	Mascara de Fyros	una	la	Mascaras de Fyros		las	
_B961ACE6A4CCEFFF	goo_swarmplants_fiber	Fibra de Shooki Goo	una	la	Fibras de Shookis Goo		las	
_35683D7993C78D1E	goo_swarmplants_fruit	Pieza de Fruta de Shooki Goo	una	la	Piezas de Frutas de Shooki Goo		las	
