*HASH_VALUE	item ID	name	ia	da	p	pia	pda	description		
_108DDB88207D7D6F	barman_bottle	Bouteille de barman	une	la	Bouteilles de barman	des	les			
_719D75E0E9F8F0D4	big_barrel	Grand tonneau	un	le	Grands tonneaux	des	les			
_AAF8AD76E06BA817	big_living_sculpture	Grande sculpture vivante	une	la	Grandes sculptures vivantes	des	les			
_C53473989DD18D60	black_medicine	Médicament noir	un	le	Médicaments noirs	des	les			
_095D69BC15982000	blood_vial	Ampoule de sang	une	l'\d	Ampoules de sang	des	les			
_992FA17CC3622A69	blue_medicine	Médicament bleu	un	le	Médicaments bleus	des	les			
_387B063C978B2F9A	botanist_letter	Missive de botaniste	une	la	Missives de botaniste	des	les			
_94281F5594E74586	botanist_vial	Ampoule de botaniste	une	l'\d	Ampoules de botaniste	des	les			
_6E7AE080AAA7CCAD	bottle	Bouteille	une	la	Bouteilles	des	les			
_29FA4C81EB47209E	casket	Coffret	un	le	Coffrets	des	les			
_BB42F36FBADA4FB3	crystalized_spell	Sort cristallisé	un	le	Sorts cristallisés	des	les			
_5C103D85258D1E61	cure_expert_letter	Missive d'expert en guérison	une	la	Missives d'expert en guérison	des	les			
_265C8F99DC8713A2	fv_arrowhead	Pointe de flèche étrange	une	la	Pointes de flèches étranges	des	les			
_C4ED4DA60E405F1D	fv_seal1	Sceau de mineur	un	le	Sceaux de mineur	des	les			
_A7688EB001F4C3B6	fy_cheveux_long01	Cheveu long de Fyros	un	le	Cheveux longs de Fyros	des	les			
_C9AE97CCA6393608	fy_cheveux_medium01	Cheveu mi-long de Fyros	un	le	Cheveux mi-longs de Fyros	des	les			
_444DFF215179DB83	fy_cheveux_shave01	Cheveu rasé de Fyros	un	le	Cheveux rasés de Fyros	des	les			
_2B15C615EDDA8EDA	fy_cheveux_short01	Cheveu court de Fyros	un	le	Cheveux courts de Fyros	des	les			
_877F6110998470D1	fy_visage	Masque de Fyros	un	le	Masques de Fyros	des	les			
_B961ACE6A4CCEFFF	goo_swarmplants_fiber	Fibre de shooki à goo	une	la	Fibres de shooki à goo	des	les			
_35683D7993C78D1E	goo_swarmplants_fruit	Morceau de fruit de shooki à goo	un	le	Morceaux de fruit de shooki à goo	des	les			
_D983739BF7A2F020	goo_vampignon_fungus	Champignon de vampignon à goo	un	le	Champignons de vampignon à goo	des	les			
_7CA21DC266832C54	goo_varinx_blood	Sang de varinx à goo	du	le	Sang de varinx à goo	du	le			
_DDE22C9F40DC38D2	goo_yber_sticky_glands	Glande puante / yber à goo	une	la	Glandes puantes / yber à Goo	des	les			
_DFBEF850F4144EB3	green_liquid_vial	Cristal brut du Nexus	un	le	Cristal brut du Nexus	des	les			
_C7E4ABA61E218D66	green_medicine	Médicament vert	un	le	Médicaments verts	des	les			
_C035657CDDA3C54C	guard_scroll	Rouleau de garde	un	le	Rouleaux de garde	des	les			
_FE92D2ABBEF726B8	heavy_armors_acreditation	Habilitation d'armure lourde	une	l'\d	Habilitations d'armures lourdes	des	les			
_7BFC81067891490A	heavy_conch	Conch lourd	un	le	Conchs lourds	des	les			
_8B31326A3B23E66B	heavy_package	Paquet lourd	un	le	Paquets lourds	des	les			
_E938348C4558587C	iccm1bm	Massue	une	la	Massues	des	les			
_E5F930951F9AC05E	iccm1bs	Bâton	un	le	Bâtons	des	les			
_9E18DC15602A786B	iccm1pd	Dague	une	la	Dagues	des	les			
_2768FC7B5E9AF45A	iccm1ps	Lance	une	la	Lances	des	les			
_EBB95CBE16B7C77A	iccm1sa	Hache	une	la	Haches	des	les			
_EBCA74981F9AFC68	iccm1ss	Épée	une	l'\d	Épées	des	les			
_2F3E1221B70D1897	iccm2bm	Massue à deux mains	une	la	Massues à deux mains	des	les			
_E93894A4C889907D	iccm2pp	Pique	une	la	Piques	des	les			
