*HASH_VALUE	item ID	name	p	description	somgen	twogen	onegen	
_108DDB88207D7D6F	barman_bottle	Бутылка бармена	Бутылки бармена		Бутылок бармена	Бутылки бармена	Бутылку бармена	
_719D75E0E9F8F0D4	big_barrel	Большой бочонок	Большие бочонки		Больших бочонков	Больших бочонка	Большой бочонок	
_AAF8AD76E06BA817	big_living_sculpture	Большая живая скульптура	Большие живые скульптуры		Больших живых скульптуры	Больших живых скульптуры	Большую живую скульптуру	
_C53473989DD18D60	black_medicine	Черное снадобье	Черные снадобья		Черных снадобий	Черных снадобья	Черное снадобье	
_095D69BC15982000	blood_vial	Сосуд с кровью	Сосуды с кровью		Сосудов с кровью	Сосуда с кровью	Сосуд с кровью	
_992FA17CC3622A69	blue_medicine	Синее снадобье	Синее снадобье		Синих снадобий	Синих снадобья	Синее снадобье	
_387B063C978B2F9A	botanist_letter	Письмо ботаника	Письма ботаника		Писем ботаника	Письма ботаника	Письмо ботаника	
_94281F5594E74586	botanist_vial	Сосуд ботаника	Сосуды ботаника		Сосудов ботаника	Сосуда ботаника	Сосуд ботаника	
_6E7AE080AAA7CCAD	bottle	Бутылка	Бутылки		Бутылок	Бутылки	Бутылку	
_29FA4C81EB47209E	casket	Бочонок	Бочонки		Бочонков	Бочонка	Бочонок	
_BB42F36FBADA4FB3	crystalized_spell	Кристаллизованное заклинание	Кристаллизованные заклинания		Кристаллизованных заклинаний	Кристаллизованных заклинания	Кристаллизованное заклинание	
_5C103D85258D1E61	cure_expert_letter	Письмо опытного врача	Письма опытного врача		Писем опытного врача	Письма опытного врача	Письмо опытного врача	
_265C8F99DC8713A2	fv_arrowhead	Странный наконечник стрелы	Странный наконечник стрел		Странных наконечников стрел	Странных наконечника стрел	Странный наконечник стрелы	
_C4ED4DA60E405F1D	fv_seal1	Печать шахтера	Печати шахтера		Печати шахтера	Печати шахтера	Печать шахтера	
_A7688EB001F4C3B6	fy_cheveux_long01	Длинный волос файроса	Длинные волосы файроса		Длинных волос файроса	Длинных волоса файроса	Длинный волос файроса	
_C9AE97CCA6393608	fy_cheveux_medium01	Средний волос файроса	Средние волосы файроса		Средних волос файроса	Средних волоса файроса	Средний волос файроса	
_444DFF215179DB83	fy_cheveux_shave01	Щетина файроса	Щетина файроса		Щетины файроса	Щетины файроса	Щетину файроса	
_2B15C615EDDA8EDA	fy_cheveux_short01	Короткий волос файроса	Короткие волосы файроса		Коротких волос файроса	Коротких волоса файроса	Короткий волос файроса	
_877F6110998470D1	fy_visage	Маска файроса	Масок файроса		Масок файроса	Маски файроса	Маску файроса	
_B961ACE6A4CCEFFF	goo_swarmplants_fiber	Перо шукки, зараженное гуу	Перья шукки, зараженные гуу		Перьев шукки, зараженных гуу	Пера шукки, зараженных гуу	Перо шукки, зараженное гуу	
_35683D7993C78D1E	goo_swarmplants_fruit	Кусок плода шукки, зараженный гуу	Куски плода шукки, зараженные гуу		Кусков плодов шукки, зараженных гуу	Куска плодов шукки, зараженных гуу	Кусок плода шукки, зараженный гуу	
_D983739BF7A2F020	goo_vampignon_fungus	Гриб вампиньон, зараженный гуу	Грибы вампиньон, зараженные гуу		Грибов вампиньон, зараженных гуу	Гриба вампиньон, зараженных гуу	Гриб вампиньон, зараженный гуу	
