*HASH_VALUE	item ID	name	ia	da	p	pia	pda	description
_108D5B88207F7D6F	barman_bottle	Barman's Bottle	a	the	Barman's Bottles		the	
_719D75E0E9FAF0F4	big_barrel	Big Barrel	a	the	Big Barrels		the	
_AAF8ADB6F06BA817	big_living_sculpture	Big Living Sculpture	a	the	Big Living Sculptures		the	
_C53473989DD38D80	black_medicine	Black Medicine	a	the	Black Medicines		the	
_095D69DC159A2000	blood_vial	Blood Vial	a	the	Blood Vials		the	
_A131A17CC3622A69	blue_medicine	Blue Medicine	a	the	Blue Medicines		the	
_387D063C9F8B2F9A	botanist_letter	Botanist's Letter	a	the	Botanist's Letters		the	
_9C281F7594E74586	botanist_vial	Botanist's Vial	a	the	Botanist's Vials		the	
_6E7AE080AAA7CCAD	bottle	Bottle	a	the	Bottles		the	
_29FA4C81EB47209E	casket	Casket	a	the	Caskets		the	
_BBECE763FBDA4FB3	crystalized_spell	Crystalized Spell	a	the	Crystalized Spells		the	
_5C103DC5358D1E61	cure_expert_letter	Cure Expert's Letter	a	the	Cure Expert's Letters		the	
_265C0F99DC8713C2	fv_arrowhead	Strange Arrowhead	a	the	Strange Arrowheads		the	
_C4ED4DE60E405F1D	fv_seal1	Miner's Seal	a	the	Miner's Seals		the	
_E86A8EB0119EB7CA	fy_cheveux_long01	Fyros Long Hair	a	the	Fyros Long Hairs		the	
_08ED1BECA63BB6A3	fy_cheveux_medium01	Fyros Medium Hair	a	the	Fyros Medium Hairs		the	
_EB1DCF4259795BA3	fy_cheveux_shave01	Fyros Shaved Hair	a	the	Fyros Shaved Hairs		the	
_2B173132EAEC8EFA	fy_cheveux_short01	Fyros Short Hair	a	the	Fyros Short Hairs		the	
_877F6110A184F0D1	fy_visage	Fyros Mask	a	the	Fyros Masks		the	
_0DA85C68D7243322	goo_swarmplants_fiber	Goo Shooki Fiber	a	the	Goo Shooki Fibers		the	
_50837C60DDD54337	goo_swarmplants_fruit	Piece of Goo Shooki Fruit	a	the	Pieces of Goo Shooki Fruit		the	
_07E1F360B1AB936E	goo_vampignon_fungus	Goo Vampignon Fungus	a	the	Goo Vampignon Fungus		the	
_AF317BF35957C6A6	goo_varinx_blood	Phial of Goo Varinx Blood	a	the	Phials of Goo Varinx Blood		the	
_511564B194595F6C	goo_yber_sticky_glands	Goo Yber Sticky Gland	a	the	Goo Yber Sticky Glands		the	
_E7BEF850FC164ED3	green_liquid_vial	Green Liquid Vial	a	the	Green Liquid Vials		the	
_C7E4ABA61E238D86	green_medicine	Green Medicine	a	the	Green Medicines		the	
_C035657CDDA5C56C	guard_scroll	Guard's Scroll	a	the	Guard's Scrolls		the	
_90CA0A490DD942DA	heavy_armors_acreditation	Heavy Armor Accreditation	a	the	Heavy Armor Accreditations		the	
_7BFC96297B81110A	heavy_conch	Heavy Conch	a	the	Heavy Conchs		the	
_9331326A3B23E68B	heavy_package	Heavy Package	a	the	Heavy Packages		the	
_DBB8348E5856807B	iccm1bm	Mace	a	the	Maces		the	Mace
_65E88895232AEB65	iccm1bs	Staff	a	the	Staffs		the	Staff
_E718DCA3538A686D	iccm1pd	Dagger	a	the	Daggers		the	Dagger
_6488707B620B2364	iccm1ps	Lance	a	the	Lances		the	Lance
_EACAB3B39EB6E83F	iccm1sa	Axe	an	the	Axes		the	Axe
_E889CC98233B2F63	iccm1ss	Sword	a	the	Swords		the	Sword
_94484CBE5F399830	iccm2bm	Long Mace	a	the	Long Maces		the	Long Mace
_1BB8749EDCB8C48A	iccm2pp	Pike	a	the	Pikes		the	Pike
_5258C88DCD380856	iccm2sa	Long Axe	a	the	Long Axes		the	Long Axe
_5A7EEC172669A459	iccm2ss	Long Sword	a	the	Long Swords		the	Long Sword
_436DBB1E358B5F58	iccp1bb	Bowpistol Smashing Ammo	a	the	Bowpistol Smashing Ammo		the	Bowpistol Smashing Ammo
_3F3DF30D366B0F6A	iccp1bp	Bowpistol Piercing Ammo	a	the	Bowpistol Piercing Ammo		the	Bowpistol Piercing Ammo
_3E6DFF12765B2F6E	iccp1bs	Bowpistol Slashing Ammo	a	the	Bowpistol Slashing Ammo		the	Bowpistol Slashing Ammo
_FD5B2B31FCE6C3A3	iccp1gb	Grenade Smashing Ammo	a	the	Grenade Smashing Ammo		the	Grenade Smashing Ammo
_B99BDF3C80C7C392	iccp1gp	Grenade Piercing Ammo	a	the	Grenade Piercing Ammo		the	Grenade Piercing Ammo
_3B6BDB4240F7C397	iccp1gs	Grenade Slashing Ammo	a	the	Grenade Slashing Ammo		the	Grenade Slashing Ammo
_FB3E03FFFEC831C1	iccp1pb	Pistol Smashing Ammo	a	the	Pistol Smashing Ammo		the	Pistol Smashing Ammo
_FB1C23DF7C6B31C1	iccp1pp	Pistol Piercing Ammo	a	the	Pistol Piercing Ammo		the	Pistol Piercing Ammo
_FBBC2BD7FEFB31C1	iccp1ps	Pistol Slashing Ammo	a	the	Pistol Slashing Ammo		the	Pistol Slashing Ammo
_FABC80E00B5310AA	iccp2ab	Autolauncher Smashing Ammo	an	the	Autolauncher Smashing Ammo		the	Autolauncher Smashing Ammo
_399D80CF0C2214A8	iccp2ap	Autolauncher Piercing Ammo	an	the	Autolauncher Piercing Ammo		the	Autolauncher Piercing Ammo
_FACD80D44C6224A7	iccp2as	Autolauncher Slashing Ammo	an	the	Autolauncher Slashing Ammo		the	Autolauncher Slashing Ammo
_B4A6DBDA1D4C77CF	iccp2bb	Bowrifle Smashing Ammo	a	the	Bowrifle Smashing Ammo		the	Bowrifle Smashing Ammo
_F486CFE81D1C87AE	iccp2bp	Bowrifle Piercing Ammo	a	the	Bowrifle Piercing Ammo		the	Bowrifle Piercing Ammo
_F576DBEB1D9C8BAF	iccp2bs	Bowrifle Slashing Ammo	a	the	Bowrifle Slashing Ammo		the	Bowrifle Slashing Ammo
_B285FBD9DE3D6BCD	iccp2lb	Launcher Smashing Ammo	a	the	Launcher Smashing Ammo		the	Launcher Smashing Ammo
_F265EFE7DE0D7BAC	iccp2lp	Launcher Piercing Ammo	a	the	Launcher Piercing Ammo		the	Launcher Piercing Ammo
_F355FBEADE8D7FAD	iccp2ls	Launcher Slashing Ammo	a	the	Launcher Slashing Ammo		the	Launcher Slashing Ammo
_676ADBF69C529D83	iccp2rb	Rifle Smashing Ammo	a	the	Rifle Smashing Ammo		the	Rifle Smashing Ammo
_676A97E99902C991	iccp2rp	Rifle Piercing Ammo	a	the	Rifle Piercing Ammo		the	Rifle Piercing Ammo
_676AABEFD822E194	iccp2rs	Rifle Slashing Ammo	a	the	Rifle Slashing Ammo		the	Rifle Slashing Ammo
_2318C0C7E677F487	iccr1b	Bowpistol	a	the	Bowpistols		the	Bowpistol
_ACF99894ECD50C64	iccr1p	Pistol	a	the	Pistols		the	Pistol
_860F991BEE9421EC	iccr2a	Autolauncher	an	the	Autolaunchers		the	Autolauncher
_2D2780B469667C7D	iccr2b	Bowrifle	a	the	Bowrifles		the	Bowrifle
_2B67A4AB67A6C874	iccr2l	Launcher	a	the	Launchers		the	Launcher
_E98864A1A126044B	iccr2r	Rifle	a	the	Rifles		the	Rifle
_AC18B48AA53BFC92	iccsb	Buckler	a	the	Bucklers		the	Buckler
_2708889B625888BE	iccss	Shield	a	the	Shields		the	Shield
_00B44957BFFF3E82	icfahb	Kostom Boots	a	the	Kostom Boots		the	Fyros Heavy Boots
_CA11CCD4D4D5962B	icfahg	Kostom  Gloves	a	the	Kostom  Gloves		the	Fyros Heavy Gloves
_C6F145D818C57A28	icfahh	Kostom  Helmet	a	the	Kostom  Helmets		the	Fyros Heavy Helmet
_7D95454943FF7681	icfahp	Kostom  Pants	a	the	Kostom  Pants		the	Fyros Heavy Pants
_00370ACA2A356E44	icfahs	Kostom  Sleeves	a	the	Kostom  Sleeves		the	Fyros Heavy Sleeves
_D1B3C577792C1176	icfahv	Kostom  Vest	a	the	Kostom  Vests		the	Fyros Heavy Vest
_81F459523C5F3A7C	icfalb	Hoben Boots	a	the	Hoben Boots		the	Fyros Light Boots
_CB51CCCF51E56E39	icfalg	Hoben Gloves	a	the	Hoben Gloves		the	Fyros Light Gloves
_FED55544C05F727B	icfalp	Hoben Pants	a	the	Hoben Pants		the	Fyros Light Pants
_01370AC566B49650	icfals	Hoben Sleeves	a	the	Hoben Sleeves		the	Fyros Light Sleeves
_4E13D576F68C2179	icfalv	Hoben Vest	a	the	Hoben Vests		the	Fyros Light Vest
_7DEF59A9E4B63247	icfamb	Rilon Boots	a	the	Rilon Boots		the	Fyros Medium Boots
_B9B27213E694725F	icfamg	Rilon Gloves	a	the	Rilon Gloves		the	Fyros Medium Gloves
_C10F91A9E4B66639	icfamp	Rilon Pants	a	the	Rilon Pants		the	Fyros Medium Pants
_47350B01AA00B6AC	icfams	Rilon Sleeves	a	the	Rilon Sleeves		the	Fyros Medium Sleeves
_BC826A3A4D43AA74	icfamv	Rilon Vest	a	the	Rilon Vests		the	Fyros Medium Vest
_6EF8792FEABA8C07	icfja	Fyros Anklet	a	the	Fyros Anklets		the	Fyros Anklet
_B76B4D85F89115DC	icfjb	Fyros Bracelet	a	the	Fyros Bracelets		the	Fyros Bracelet
_F0F87921EABA3C00	icfjd	Fyros Diadem	a	the	Fyros Diadems		the	Fyros Diadem
_EC2B6D21F09F9DE7	icfje	Fyros Earring	a	the	Fyros Earrings		the	Fyros Earring
_AFFCA1196B7D9D01	icfjp	Fyros Pendant	a	the	Fyros Pendants		the	Fyros Pendant
_5A5444D1EA4A68BB	icfjr	Fyros Ring	a	the	Fyros Rings		the	Fyros Ring
_A4FB492AE1D96417	icfm1bm	Masson Mace	a	the	Massons Maces		the	1 Handed Fyros Mace
_76F07920E0F83C71	icfm1bs	Talus Staff	a	the	Talus Staffs		the	1 Handed Fyros Staff
_47A04929D41E2559	icfm1pd	Jab Dagger	a	the	Jabs Daggers		the	1 Handed Fyros Dagger
_76F0751C62970C6A	icfm1ps	Kronk Spear	a	the	Kronks Spears		the	1 Handed Fyros Spear
_AEF6A71BDF0B84FC	icfm1sa	Cleven Axe	a	the	Clevens Axes		the	1 Handed Fyros Axe
_C500A1D980E459E4	icfm1sab	Burning Cleven Axe	a	the	Burning Clevens Axes		the	1 Handed Burning Axe
_76F0712A66088C71	icfm1ss	Blam Sword	a	the	Blams Swords		the	1 Handed Fyros Sword
_E0C1F562292F41AC	icfm2bm	Hamp Mace	a	the	Hamps Maces		the	2 Handed Fyros Long Mace
_65FB492AE38AC820	icfm2pp	Punnel Pike	a	the	Punnels Pikes		the	2 Handed Fyros Pike
_F9D3499135AB3167	icfm2sa	Retch Axe	a	the	Retches Axes		the	2 Handed Fyros Long Axe
_89F6AEE1C6A6EEBC	icfm2sab	Burning Retch Axe	a	the	Burning Retches Axes		the	2 Handed Burning Long Axe
_1C23714C3DF4B115	icfm2ss	Stavon Sword	a	the	Stavons Swords		the	2 Handed Fyros Long Sword
_B4A7D7BCCC33A501	icfm2ssb	Burning Stavon Sword	a	the	Burning Stavons Swords		the	2 Handed Burning Long Sword
_BA39E11E74708054	icfp1bb	Kolton Smashing Ammo	a	the	Kolton Smashing Ammo		the	Fyros Bowpistol Smashing Ammo
_76799529F8518043	icfp1bp	Kolton Piercing Ammo	a	the	Kolton Piercing Ammo		the	Fyros Bowpistol Piercing Ammo
_F849912FB8818048	icfp1bs	Kolton Slashing Ammo	a	the	Kolton Slashing Ammo		the	Fyros Bowpistol Slashing Ammo
_4B472DE1910E57E9	icfp1gb	Fyros Grenade Smashing Ammo	a	the	Fyros Grenade Smashing Ammo		the	Fyros Grenade Smashing Ammo
_4B47E9D48EBE83F7	icfp1gp	Fyros Grenade Piercing Ammo	a	the	Fyros Grenade Piercing Ammo		the	Fyros Grenade Piercing Ammo
_4B47FDDACDDE9BFA	icfp1gs	Fyros Grenade Slashing Ammo	a	the	Fyros Grenade Slashing Ammo		the	Fyros Grenade Slashing Ammo
_7277BCEA51040C63	icfp1pb	Rimel Smashing Ammo	a	the	Rimel Smashing Ammo		the	Fyros Pistol Smashing Ammo
_B158BCD952D31061	icfp1pp	Rimel Piercing Ammo	a	the	Rimel Piercing Ammo		the	Fyros Pistol Piercing Ammo
