*HASH_VALUE	outpost ID	name	description
_5B321558ABD3F7D2	fyros_outpost_04.outpost	Malmont Farm	Outpost founded in 2489, abandoned in 2494\n Challenge for expert-rank guilds\n An outpost constructed to the south of the Malmount and the Dragon's Tail, its activity concentrated on mining resources in this hostile region. A portion of its resources were transported to the village of Dyron and the two workshops nearby. The remaining materials were brought along the road to Pyr under heavy escort.
_50ED8AA90BF8EFF5	fyros_outpost_09.outpost	Hightowers Farm	Outpost founded in 2491, abandoned in 2494\n Challenge for advanced-rank guilds\n An outpost whose activity developed under the influence of the Frahar Hunters, who wished to mine the resources of the region. Frequent warrior patrols from this tribe made great contributions to securing the deposits, allowing the harvesters to prospect without fear of being attacked.
_53FC998C546B1C65	fyros_outpost_13.outpost	West Blackburn Border Post	Outpost founded in 2490, abandoned in 2494\n Challenge for confirmed-rank guilds\n Constructed atop a nexus situated at the border of the Burnt Forest, this outpost was used to keep up a constant surveillance over the forest's infernos to avoid them spreading to the oasis region. The soldiers of the empire considered it an honor to be posted to the Western Front.
_89C748F535AAF4B7	fyros_outpost_14.outpost	Blackburn Trade Post	Outpost founded in 2489, abandoned in 2494\n Challenge for apprentice-rank guilds\n This outpost was one of the first meeting points established in the Burning Desert. Travelers coming from the south stopped here frequently to rest and trade before reaching the capital. It takes its name from the Burnt Forest which lies to the south-west.
_6BA8D5A58D8A1A4E	fyros_outpost_25.outpost	Southend Dune Farm	Outpost founded in 2490, abandoned in 2494\n Challenge for expert-rank guilds\n This outpost, installed on a nexus discovered by the Kamis in the south of the region, was the cause of friction between the authorities of Pyr and the Fyros clans who refused to give their allegiance to the empire. After being paid a considerable tribute, the chiefs of these barbarians finally tolerated the farm's existence.
_CA34A30E77B90623	fyros_outpost_27.outpost	Woodburn Magic Pole	Outpost founded in 2490, abandoned in 2494\n Challenge for master-rank guilds\n This outpost, established in the heart of the Burnt Forest, was controlled by imperial elementalists who wished to exploit the power of the fire. New spells were created thanks to the experiments carried out by the magicians, giving the art of mysteries the status as a proper art of war within Fyros society.
_BDE3EE74BFBEBE61	fyros_outpost_28.outpost	Woodburn Stronghold	Outpost founded in 2491, abandoned in 2494\n Challenge for master-rank guilds\n Outpost which was fortified on the orders of the Regent Leanon. It protected the Burnt Forest from looters and enemies of the empire. Throughout its duration, the garrison which defended it had to regularly face the Scorchers tribe, magicians who longed to get at the founts of enchanted fire.
_FD20D1D4049E722D	tryker_outpost_06.outpost	Greenvale Trade Post	Outpost founded in 2489, abandoned in 2493\n Challenge for apprentice-rank guilds\n Constructed to the west of Fairhaven in a small leafy valley surrounded by cliffs, this outpost very quickly developed many trading activities, notably with the village of Windermeer. Nevertheless, it endured continual attacks by bandits.
_5B18CB8946250B0A	tryker_outpost_10.outpost	Fount Porch Trade Post	Outpost founded in 2486, abandoned in 2493\n Challenge for advanced-rank guilds\n The trading activity at this exchange post was developed by the Smugglers tribe. The merchant guilds of the Tryker federation tried several times to control the transactions taking place in the region, but with little success. A popular saying goes that you can find anything at the Fountporch, even the impossible.
_4EFEA1E7C0439509	tryker_outpost_16.outpost	Graveyard Gate Research Centre	Outpost founded in 2489, abandoned in 2493 \n Challenge for expert-rank guilds\n When a prospector discovered strange bones near this outpost, scholars from the Federation examined them but were unable to identify their origins. A research centre was set up despite protests from the Beachcombers, who weren't too keen on seeing hordes of drills invade the area around Graveyard Walk. This area was sacred to them, being considered a ritual path towards the tribe's burial ground.
