*HASH_VALUE	placeId	name	da
_84AF650B260BB428	region_majesticgarden	Majestic Garden	\d
_06FE551623FBAC21	region_fleetinggarden	Fleeting Garden	\d
_DA073675680D99DC	region_groveofconfusion	Grove of Confusion	the
_A09DD42F2967E0BB	region_hiddensource	Hidden Source	\d
_86EA9D32C2EBD02C	region_knollofdissent	Knoll of Dissent	the
_2E78B8C666F71C56	region_upperbog	Upper Bog	the
_781E713068D7F0FB	region_hereticshovel	Heretic's Hovel	the
_67C874A86C3B68AB	place_yrkanis	Yrkanis	\d
_A2D868B962D67093	place_davae	Davae	\d
_A4D890B762166893	place_natae	Natae	\d
_9DA990A8E9461CB1	place_arena	Arena	\d
_A3688C9568B89C81	place_avalae	Avalae	\d
_E778A80664D6FCBF	continent_matis	Verdant Heights	the
_2BB98CB6EA59EC44	region_nland	Matisian Forest	the
_209AF856EBF9ACA9	matis_nland	Matis Island	\d
_68F9D8B02CD88085	place_stalli	Stalli	\d
_D0588CC466F88CA8	place_borea	Borea	\d
_68EAACBAA857347D	place_nistia	Nistia	\d
_E89984B1E9F91CB7	place_rosilio	Rosilio	\d
_5658D4A26878049C	place_miani	Miani	\d
_2A4800B92E49C494	region_nexus	Nexus	the
_6C6AE4AB64195066	continent_nexus	Nexus Minor	\d
_0C3E4110AAC8E5CE	region_the_under_spring	Under Spring	\d
_AC9958BA21141CAA	continent_sources	Under Spring	\d
_BF8B0179CCDBB515	region_the_abyss_of_ichor	Abyss of Ichor	the
_2CC9AC824C980062	continent_bagne	Abyss of Ichor	the
_0D640EA59E955242	region_the_land_of_continuty	Land of Continuity	the
_847D252FF0766478	region_the_sunken_city	Sunken City	the
_466E5E377D0F1D1F	region_forbidden_depths	Forbidden Depths	the
_28FAD8ABA678C4AA	continent_terre	Wastelands	the
_258341053327A09E	region_the_windy_gate	Windy Gate	the
_18061244372D7DE5	region_gate_of_obscurity	Gate of Obscurity	the
_DBC5896C810F9A3A	region_the_trench_of_trials	Trench of Trials	the
_451C824CC930C922	region_the_elusive_forest	Elusive Forest	\d
_09D065F4E6EEE1C5	continent_route_gouffre	Lands of Umbra	the
_1F24195BC5E95297	region_citiesofintuition	Cities of Intuition	the
_E6B7ECCEEBB97CBC	region_maidengrove	Maiden Grove	the
_09A0641C6CBAADAE	region_havenofpurity	Haven of Purity	the
_E5DFA9C729D9C4A5	region_groveofumbra	Grove of Umbra	the
_8241441EC40D59B7	region_knotofdementia	Knot of Dementia	the
_260A78AC6E06B4B1	region_thevoid	Void	the
_E238809D26EB70C1	place_zora	Zora	\d
_8498DC7024D8D4AC	place_jen_lai	Jen-Laï	\d
_27A8B870E7B8E0B2	place_min_cho	Min-Cho	\d
_A858B86BC8C8CCAD	place_hoi_cho	Hoï-Cho	\d
_AA99DCB366B8A0B0	continent_zorai	Witherings	the
_E44B30630AD884AB	zorai_nland	Zoraï Island	\d
_A57970968F804C83	place_qai_lo	Qaï Lo	\d
_63783BADA4A74CAE	place_men_xing	Nen Xing	\d
_8E58B09BEAC998A6	place_sheng_wo	Sheng Wo	\d
_ABCA145E0B69D8AC	place_koi_zun	Koï Zun	\d
_1E3598B7E38A3894	place_yin_piang	Yin Piang	\d
_077F812B671904A6	region_imperialdunes	Imperial Dunes	the
_B9EF3D22E9E614FA	region_oflovaksoasis	Oflovak's Oasis	\d
_DE4B79286F6720AC	region_sawdustmines	Sawdust Mines	the
_1ECE042FAA98A4CA	region_frahartowers	Frahar Towers	the
_6C6F6D126C67609C	region_thesavagedunes	Savage Dunes	the
_E468393398488CC4	region_dunesofexil	Dunes of Exile	the
_DDAC444B69C7FCC9	region_outlawcanyon	Outlaw Canyon	\d
_D241D277C41E7296	region_thescorchedcorridor	Scorched Corridor	\d
_AACA20B730BBECAC	place_pyr	Pyr	\d
_AB69ECB8E7387889	place_thesos	Thesos	\d
_D2F8DCC4F2788CBC	place_dyron	Dyron	\d
_7188D0B19515E4BD	continent_fyros	Burning Desert	the
_CB801D2A284B2C1F	continent_fyros_newbie	Burning Desert	the
_E50A584FEB59BCBF	fyros_nland	Fyros Island	\d
_509A0CAE6ADA3494	place_aegus	Aegus	\d
_E969A4AFE2164880	place_kaemon	Kaemon	\d
_A94AC4AF650A38B8	place_sekovix	Sekovix	\d
_ACAAECC829F96485	place_phyxon	Phyxon	\d
_69B978A6A878E0B4	place_galemus	Galemus	\d
_A8543324AA29C8B0	region_libertylake	Liberty Lake	\d
_A314F0B0E1C9D4B5	region_dewdrops	Dew Drops	\d
_1D3C352DEA09F4A3	region_restingwater	Resting Water	\d
_E33311255F58B0C1	region_windsofmuse	Winds of Muse	the
_2D589CAE64D990C6	region_thefount	Fount	\d
_FDFBBD1DA5D884F4	region_bountybeaches	Bounty Beaches	the
_7E503D166815C3EB	region_enchantedisle	Enchanted Isle	\d
_C5A069FAEEED45BF	region_lagoonsofloria	Lagoons of Loria	the
_22D9D0AADC0868A1	place_fairhaven	Fairhaven	\d
_5FF8B09BF087809E	place_avendale	Avendale	\d
_27FBF898E778249C	place_crystabell	Crystabell	\d
_A859B09A26F96898	place_windermeer	Windermeer	\d
_6F69648D2EB673C3	continent_tryker	Aeden Aqueous	\d
_0D304100E4191064	continent_tryker_newbie	Aeden Aqueous	\d
_9E05E8A9EA390CA0	tryker_nland	Tryker Island	\d
_A76ABC87ABA994A7	place_aubermouth	Aubermouth	\d
_61F898B5A578649F	place_barkdell	Barkdell	\d
_E518F895AE3704A5	place_hobwelly	Hobwelly	\d
_E9BA68BD245A74BA	place_waverton	Waverton	\d
_2468B8B7606888A3	place_dingleton	Dingleton	\d
_AC96B090543870A0	guild_hall	Guild Hall	the
_5F15D0B167CA0CA4	guild_council	Guild Council	the
_F13D701523F59873	guild_RM_fight	Guild Fight Trainer	the
_F1BD8C0463F5347B	guild_RM_magic	Guild Magic Trainer	the
_077EC9E0BDABE324	guild_RM_harvest	Guild Harvest Trainer	the
_70CE6415A295BC6E	guild_RM_craft	Guild Craft Trainer	the
_A5D7AFB6E6FA98B9	player_room	Player Room	the
_B187F8BAA67AEC8E	exit	Exit	the
_21A51698B819D00D	place_lieudit_majesticgarden_1	Psykopla Knoll	\d
_F2205186FD3C18E2	place_lieudit_majesticgarden_2	Matis Arena	the
_4356FA692CB82013	place_lieudit_majesticgarden_3	Charmers' Way	\d
_F7FB517E408C240F	place_lieudit_fleetinggarden_1	Kami Circle	the
_C33E2C11E73D3815	place_lieudit_fleetinggarden_2	The Trove	\d
_C0EF2C93C23D7CC6	place_lieudit_fleetinggarden_3	Den of Fury	the
_811E2C11C0CD0C19	place_lieudit_fleetinggarden_4	The Rising	\d
_45B4427C36BD0CBE	place_lieudit_knollofdissent_1	Tunnel of Woe	the
_1DA3059149CDC178	place_lieudit_knollofdissent_2	Runninghill Pass	\d
_1AA4E193859DFC89	place_lieudit_knollofdissent_3	Towerbridge Way	\d
_1620069204445D27	place_lieudit_knollofdissent_4	Torbak Trail Hill	\d
_C59E1288C70BDF05	place_lieudit_knollofdissent_5	Killing Tree	the
_83965695071BE30C	place_lieudit_knollofdissent_6	Smitten Mount	\d
_3D5FF1AB5AEA211B	place_lieudit_upperbog_1	Fencoomb Ponds 	the
_427F45D10A8850B1	place_lieudit_upperbog_2	Fearing Fens	the
_41A6096B7658B814	place_lieudit_upperbog_3	Slough of the Demon	the
_C3A025E58B8850B1	place_lieudit_upperbog_4	Panting Pass	\d
_FCB5018BC8EF498D	place_lieudit_hereticshovel_1	Maze of Sprite	the
_FE06168AC58D54D5	place_lieudit_hereticshovel_2	Chilling Swamp	the
_F78692029E74E044	place_lieudit_hereticshovel_3	Falls of the Two Totems	the
_7F6B9529445E65DC	place_lieudit_hereticshovel_4	Folly Plain	\d
_6C8FE6698AD03107	place_lieudit_hiddensource_1	Little Mountain	\d
_B13D327144E075C2	place_lieudit_hiddensource_2	Virginia Falls	the
_6AA9510AAABF6D01	place_lieudit_hiddensource_3	Tylini Gate	\d
_82AF095C7A1D0915	place_lieudit_groveofconfusion_1	Mullgrove	\d
_DC943954BA1D9E89	place_lieudit_groveofconfusion_2	Eastgrove Gate	\d
_DC944966FA1D9E89	place_lieudit_groveofconfusion_3	Westgrove Gate	\d
_815FD9573B1D0915	place_lieudit_groveofconfusion_4	Highgrove	\d
