*HASH_VALUE	placeId	name	da
_84AF650B260BB428	region_majesticgarden	Jardín Majestuoso	el
_06FE551623FBAC21	region_fleetinggarden	Jardín Pasajero	el
_DA073675680D99DC	region_groveofconfusion	Bosque de la Confusión	el
_A09DD42F2967E0BB	region_hiddensource	Fuente Oculta	la
_86EA9D32C2EBD02C	region_knollofdissent	Monte de la Discordancia	el
_2E78B8C666F71C56	region_upperbog	Pantano Alto	el
_781E713068D7F0FB	region_hereticshovel	Cabaña del Hereje	la
_67C874A86C3B68AB	place_yrkanis	Yrkanis	
_A2D868B962D67093	place_davae	Davae	
_A4D890B762166893	place_natae	Natae	
_9DA990A8E9461CB1	place_arena	Arena	
_A3688C9568B89C81	place_avalae	Avalae	
_E778A80664D6FCBF	continent_matis	Alturas Verdes	los
_2BB98CB6EA59EC44	region_nland	Bosque de los Matisianos	los
_209AF856EBF9ACA9	matis_nland	Isla de los Matis	la
_68F9D8B02CD88085	place_stalli	Stalli	
_D0588CC466F88CA8	place_borea	Borea	
_68EAACBAA857347D	place_nistia	Nistia	
_E89984B1E9F91CB7	place_rosilio	Rosilio	
_5658D4A26878049C	place_miani	Miani	
_2A4800B92E49C494	region_nexus	Nexo	el
_6C6AE4AB64195066	continent_nexus	Nexo Menor	el
_0C3E4110AAC8E5CE	region_the_under_spring	Bajo la Primavera	la
_AC9958BA21141CAA	continent_sources	Bajo la Primavera	el
_BF8B0179CCDBB515	region_the_abyss_of_ichor	Abismo de Ichor	el
_2CC9AC824C980062	continent_bagne	Abismo de Ichor	el
_0D640EA59E955242	region_the_land_of_continuty	Tierra de la Continuidad	la
_847D252FF0766478	region_the_sunken_city	Ciudad Sumergida	la
_466E5E377D0F1D1F	region_forbidden_depths	Profundidades Prohibidas	las
_28FAD8ABA678C4AA	continent_terre	Paramos	los
_258341053327A09E	region_the_windy_gate	Puerta del Viento	la
_18061244372D7DE5	region_gate_of_obscurity	Puerta de la Oscuridad 	la
_DBC5896C810F9A3A	region_the_trench_of_trials	Trinchera de las Pruebas	la
_451C824CC930C922	region_the_elusive_forest	Bosque Pasajero	el
_09D065F4E6EEE1C5	continent_route_gouffre	Tierras de las Sombras	las
_1F24195BC5E95297	region_citiesofintuition	Ciudades de la Intuicion	las
_E6B7ECCEEBB97CBC	region_maidengrove	Bosque de las Doncellas	el
_09A0641C6CBAADAE	region_havenofpurity	Refugio de la Pureza	el
_E5DFA9C729D9C4A5	region_groveofumbra	Bosque de las Sombras	el
_8241441EC40D59B7	region_knotofdementia	Nudo de la Demencia	el
_260A78AC6E06B4B1	region_thevoid	Vacio	el
_E238809D26EB70C1	place_zora	Zora	
_8498DC7024D8D4AC	place_jen_lai	Jen-Laï	
_27A8B870E7B8E0B2	place_min_cho	Min-Cho	
_A858B86BC8C8CCAD	place_hoi_cho	Hoï-Cho	
_AA99DCB366B8A0B0	continent_zorai	Witherings	los
_E44B30630AD884AB	zorai_nland	Isla de los Zoraï	la
_A57970968F804C83	place_qai_lo	Qaï Lo	
_63783BADA4A74CAE	place_men_xing	Nen Xing	
_8E58B09BEAC998A6	place_sheng_wo	Sheng Wo	
_ABCA145E0B69D8AC	place_koi_zun	Koï Zun	
_1E3598B7E38A3894	place_yin_piang	Yin Piang	
_077F812B671904A6	region_imperialdunes	Dunas Imperiales	las
_B9EF3D22E9E614FA	region_oflovaksoasis	Oasis de Oflovak	el
_DE4B79286F6720AC	region_sawdustmines	Minas de Aserrín	las
_1ECE042FAA98A4CA	region_frahartowers	Torres de Frahar	las
_6C6F6D126C67609C	region_thesavagedunes	Dunas Salvajes	las
_E468393398488CC4	region_dunesofexil	Dunas del Exilio	las
_DDAC444B69C7FCC9	region_outlawcanyon	Canon de los Forajidos	el
_D241D277C41E7296	region_thescorchedcorridor	Corredor Quemado	el
_AACA20B730BBECAC	place_pyr	Pyr	
_AB69ECB8E7387889	place_thesos	Thesos	
_D2F8DCC4F2788CBC	place_dyron	Dyron	
_7188D0B19515E4BD	continent_fyros	Desierto Ardiente	el
_CB801D2A284B2C1F	continent_fyros_newbie	Desierto Ardiente	el
_E50A584FEB59BCBF	fyros_nland	Isla de los Fyros 	la
_509A0CAE6ADA3494	place_aegus	Aegus	
_E969A4AFE2164880	place_kaemon	Kaemon	
_A94AC4AF650A38B8	place_sekovix	Sekovix	
_ACAAECC829F96485	place_phyxon	Phyxon	
_69B978A6A878E0B4	place_galemus	Galemus	
_A8543324AA29C8B0	region_libertylake	Lago de la Libertad	el
_A314F0B0E1C9D4B5	region_dewdrops	Gotas de Rocío	las
_1D3C352DEA09F4A3	region_restingwater	Aguas en Reposo	las
_E33311255F58B0C1	region_windsofmuse	Vientos de la Musa	los
_2D589CAE64D990C6	region_thefount	Fuente	la
_FDFBBD1DA5D884F4	region_bountybeaches	Playas de la Recompensa	las
_7E503D166815C3EB	region_enchantedisle	Isla Encantada	la
_C5A069FAEEED45BF	region_lagoonsofloria	Lagunas de Loria	las
_22D9D0AADC0868A1	place_fairhaven	Fairhaven	
_5FF8B09BF087809E	place_avendale	Avendale	
_27FBF898E778249C	place_crystabell	Crystabell	
_A859B09A26F96898	place_windermeer	Windermeer	
_6F69648D2EB673C3	continent_tryker	Aeden Acuoso	
_0D304100E4191064	continent_tryker_newbie	Aeden Acuoso	el
_9E05E8A9EA390CA0	tryker_nland	Isla de los Tryker	la
_A76ABC87ABA994A7	place_aubermouth	Aubermouth	
_61F898B5A578649F	place_barkdell	Barkdell	
_E518F895AE3704A5	place_hobwelly	Hobwelly	
_E9BA68BD245A74BA	place_waverton	Waverton	
_2468B8B7606888A3	place_dingleton	Dingleton	
_AC96B090543870A0	guild_hall	Sala de reuniones del gremio	la
_5F15D0B167CA0CA4	guild_council	Consejo del Gremio	el
_F13D701523F59873	guild_RM_fight	Entrenador de Combate del Gremio	el
_F1BD8C0463F5347B	guild_RM_magic	Entrenador de Magia del Gremio	el
_077EC9E0BDABE324	guild_RM_harvest	Entrenador de Recolección del Gremio	el
_70CE6415A295BC6E	guild_RM_craft	Entrenador de fabricación de artesanías 	el
_A5D7AFB6E6FA98B9	player_room	Sala del Jugador	la
_B187F8BAA67AEC8E	exit	Salida	la
_21A51698B819D00D	place_lieudit_majesticgarden_1	Monte de Psykopla	
_F2205186FD3C18E2	place_lieudit_majesticgarden_2	Arena Matis	
_4356FA692CB82013	place_lieudit_majesticgarden_3	Manera de los Encantadores	
_F7FB517E408C240F	place_lieudit_fleetinggarden_1	Circulo Kami	
_C33E2C11E73D3815	place_lieudit_fleetinggarden_2	El Tesoro	
_C0EF2C93C23D7CC6	place_lieudit_fleetinggarden_3	Madriguera de la Furia	
_811E2C11C0CD0C19	place_lieudit_fleetinggarden_4	La Sublevación 	
_45B4427C36BD0CBE	place_lieudit_knollofdissent_1	El Túnel de Woe	
