*HASH_VALUE	placeId	name	da	pr	p	pda	ppr
_84AF650B260BB428	region_majesticgarden	Jardin Majestueux	le	dans le	Jardins Majestueux	les	dans les
_06FE551623FBAC21	region_fleetinggarden	Jardin Fugace	le	dans le	Jardins Fugaces	les	dans les
_DA073675680D99DC	region_groveofconfusion	Bosquet de la Confusion	le	dans le	Bosquets de la Confusion	les	dans les
_A09DD42F2967E0BB	region_hiddensource	Source Cachée	la	dans la	Sources Cachées	les	dans les
_86EA9D32C2EBD02C	region_knollofdissent	Tertre de la Dissidence	le	dans le	Tertres de la Dissidence	les	dans les
_2E78B8C666F71C56	region_upperbog	Marais Supérieur	le	dans le	Marais Supérieurs	les	dans les
_781E713068D7F0FB	region_hereticshovel	Masure de l'Hérétique	la	dans la	Masures de l'Hérétique	les	dans les
_67C874A86C3B68AB	place_yrkanis	Yrkanis		à	Yrkanis		à
_A2D868B962D67093	place_davae	Davae		à	Davae		à
_A4D890B762166893	place_natae	Natae		à	Natae		à
_9DA990A8E9461CB1	place_arena	Arena		à	Arena		à
_A3688C9568B89C81	place_avalae	Avalae		à	Avalae		à
_E778A80664D6FCBF	continent_matis	Sommet Verdoyant	le	sur le	Sommets Verdoyants	les	sur les
_2BB98CB6EA59EC44	region_nland	Forêt Matisienne	la	dans la	Forêts Matisiennes	les	dans les
_209AF856EBF9ACA9	matis_nland	Ile Matis	l'\d	sur l'	Iles Matis	les	sur les
_68F9D8B02CD88085	place_stalli	Stalli		à	Stalli		à
_D0588CC466F88CA8	place_borea	Borea		à	Borea		à
_68EAACBAA857347D	place_nistia	Nistia		à	Nistia		à
_E89984B1E9F91CB7	place_rosilio	Rosilio		à	Rosilio		à
_5658D4A26878049C	place_miani	Miani		à	Miani		à
_2A4800B92E49C494	region_nexus	Nexus		à	Nexus		à
_6C6AE4AB64195066	continent_nexus	Nexus Mineur	le	dans le	Nexus Mineurs	les	dans les
_0C3E4110AAC8E5CE	region_the_under_spring	Sources Interdites	les	dans les	Sources Interdites	les	dans les
_AC9958BA21141CAA	continent_sources	Sources Interdites	les	dans les	Sources Interdites	les	dans les
_BF8B0179CCDBB515	region_the_abyss_of_ichor	Gouffre d'Ichor	le	dans le	Gouffres d'Ichor	les	dans les
_2CC9AC824C980062	continent_bagne	Gouffre d'Ichor	le	dans le	Gouffres d'Ichor	les	dans les
_0D640EA59E955242	region_the_land_of_continuty	Terre de la Continuité	la	sur la	Terres de la Continuité	les	sur les
_847D252FF0766478	region_the_sunken_city	Cité Engloutie	la	dans la	Cités Englouties	les	dans les
_466E5E377D0F1D1F	region_forbidden_depths	Profondeurs Interdites	les	dans les	Profondeurs Interdites	les	dans les
_28FAD8ABA678C4AA	continent_terre	Terres Abandonnées	les	dans les	Terres Abandonnées	les	dans les
_258341053327A09E	region_the_windy_gate	Porte des Vents	la	sur la	Portes des Vents	les	sur les
_18061244372D7DE5	region_gate_of_obscurity	Porte de l'Obscurité	la	sur la	Portes de l'Obscurité	les	sur les
_DBC5896C810F9A3A	region_the_trench_of_trials	La Fosse aux Epreuves		dans	Les Fosses aux Epreuves		dans
_451C824CC930C922	region_the_elusive_forest	Forêt Insaisissable	le	dans la	Forêts Insaisissables	les	dans les
_09D065F4E6EEE1C5	continent_route_gouffre	Route des Ombres	la	dans la	Routes des Ombres	les	dans les
_1F24195BC5E95297	region_citiesofintuition	Cités de l'Intuition	les	dans les	Cités de l'Intuition	les	dans les
_E6B7ECCEEBB97CBC	region_maidengrove	Bosquet Vierge	le	dans le	Bosquets Vierges	les	dans les
_09A0641C6CBAADAE	region_havenofpurity	Havre de Pureté	le	dans le	Havres de Pureté	les	dans les
_E5DFA9C729D9C4A5	region_groveofumbra	Bosquet de l'Ombre	le	dans le	Bosquets de l'Ombre	les	dans les
_8241441EC40D59B7	region_knotofdementia	Noeud de la Démence	le	dans le	Noeuds de la Démence	les	dans les
_260A78AC6E06B4B1	region_thevoid	Vide	le	dans le	Vide	les	dans les
_E238809D26EB70C1	place_zora	Zora		à	Zora		à
_8498DC7024D8D4AC	place_jen_lai	Jen-Laï		à	Jen-Laï		à
_27A8B870E7B8E0B2	place_min_cho	Min-Cho		à	Min-Cho		à
_A858B86BC8C8CCAD	place_hoi_cho	Hoï-Cho		à	Hoï-Cho		à
_AA99DCB366B8A0B0	continent_zorai	Pays Malade	le	dans le	Pays Malades	les	dans les
_E44B30630AD884AB	zorai_nland	Ile Zoraï	l'\d	sur l'	Ile Zoraï	les	dans les
_A57970968F804C83	place_qai_lo	Qaï Lo		à	Qaï Lo		à
_63783BADA4A74CAE	place_men_xing	Nen Xing		à	Nen Xing		à
_8E58B09BEAC998A6	place_sheng_wo	Sheng Wo		à	Sheng Wo		à
_ABCA145E0B69D8AC	place_koi_zun	Koï Zun		à	Koï Zun		à
_1E3598B7E38A3894	place_yin_piang	Yin Piang		à	Yin Piang		à
_077F812B671904A6	region_imperialdunes	Dune Impériale	la	sur la	Dunes Impériales	les	sur les
_B9EF3D22E9E614FA	region_oflovaksoasis	Oasis d'Oflovak	l'\d	dans l'	Oasis d'Oflovak	les	dans les
_DE4B79286F6720AC	region_sawdustmines	Mines de Sciure	les	dans les	Mines de Sciure	les	dans les
_1ECE042FAA98A4CA	region_frahartowers	Tours de Frahar	les	sur les	Tours de Frahar	les	sur les
_6C6F6D126C67609C	region_thesavagedunes	Dunes Sauvages	les	dans les	Dunes Sauvages	les	dans les
_E468393398488CC4	region_dunesofexil	Dunes de l'Exil	les	dans les	Dunes de l'Exil	les	dans les
_DDAC444B69C7FCC9	region_outlawcanyon	Canyon Interdit	le	dans le	Canyons Interdits	les	dans les
_D241D277C41E7296	region_thescorchedcorridor	Couloir Brûlé	le	dans le	Couloirs Brûlés	les	dans les
_AACA20B730BBECAC	place_pyr	Pyr		à	Pyr		à
_AB69ECB8E7387889	place_thesos	Thesos		à	Thesos		à
_D2F8DCC4F2788CBC	place_dyron	Dyron		à	Dyron		à
_7188D0B19515E4BD	continent_fyros	Désert Ardent	le	dans le	Déserts Ardents	les	dans les
_CB801D2A284B2C1F	continent_fyros_newbie	Désert Ardent	le	dans le	Déserts Ardents	les	dans les
_E50A584FEB59BCBF	fyros_nland	Ile Fyros	l'\d	sur l'	Iles Fyros	les	sur les
_509A0CAE6ADA3494	place_aegus	Aegus		à	Aegus		à
_E969A4AFE2164880	place_kaemon	Kaemon		à	Kaemon		à
_A94AC4AF650A38B8	place_sekovix	Sekovix		à	Sekovix		à
_ACAAECC829F96485	place_phyxon	Phyxon		à	Phyxon		à
_69B978A6A878E0B4	place_galemus	Galemus		à	Galemus		à
_A8543324AA29C8B0	region_libertylake	Lac de la Liberté	le	sur le	Lacs de la Liberté	les	sur les
_A314F0B0E1C9D4B5	region_dewdrops	Chutes de la Rosée	les	dans les	Chutes de la Rosée	les	dans les
_1D3C352DEA09F4A3	region_restingwater	Eau du Repos	l'\d	dans l'	Eaux du Repos	les	dans les
_E33311255F58B0C1	region_windsofmuse	Vents du Songe	les	dans les	Vents du Songe	les	dans les
_2D589CAE64D990C6	region_thefount	Source	la	dans la	Sources	les	dans les
_FDFBBD1DA5D884F4	region_bountybeaches	Plages d'Abondance	les	sur les	Plages d'Abondance	les	sur les
_7E503D166815C3EB	region_enchantedisle	Ile Enchantée	l'\d	sur l'	Iles Enchantées	les	sur les
_C5A069FAEEED45BF	region_lagoonsofloria	Lagons de Loria	les	dans les	Lagons de Loria	les	dans les
_22D9D0AADC0868A1	place_fairhaven	Fairhaven		à	Fairhaven		à
_5FF8B09BF087809E	place_avendale	Avendale		à	Avendale		à
_27FBF898E778249C	place_crystabell	Crystabell		à	Crystabell		à
_A859B09A26F96898	place_windermeer	Windermeer		à	Windermeer		à
_6F69648D2EB673C3	continent_tryker	Aeden Aqueous		à	Aeden Aqueous		à
_0D304100E4191064	continent_tryker_newbie	Aeden Aqueous		à	Aeden Aqueous		à
_9E05E8A9EA390CA0	tryker_nland	Ile Tryker	l'\d	sur l'	Iles Trykers	les	sur les
_A76ABC87ABA994A7	place_aubermouth	Aubermouth		à	Aubermouth		à
_61F898B5A578649F	place_barkdell	Barkdell		à	Barkdell		à
_E518F895AE3704A5	place_hobwelly	Hobwelly		à	Hobwelly		à
_E9BA68BD245A74BA	place_waverton	Waverton		à	Waverton		à
_2468B8B7606888A3	place_dingleton	Dingleton		à	Dingleton		à
_AC96B090543870A0	guild_hall	Chambre des Guildes	la	dans la	Chambres des Guildes	les	dans les
_5F15D0B167CA0CA4	guild_council	Conseil de Guilde	le	dans le	Conseils de Guilde	les	dans les
_F13D701523F59873	guild_RM_fight	Entraîneur en Combat des Guildes	l'\d	chez l'	Entraîneurs en Combat des Guildes	les	chez les
_F1BD8C0463F5347B	guild_RM_magic	Entraîneur en Magie des Guildes	l'\d	chez l'	Entraîneurs en Magie des Guildes	les	chez les
_077EC9E0BDABE324	guild_RM_harvest	Entraîneur en Récolte des Guildes	l'\d	chez l'	Entraîneurs en Récolte des Guildes	les	chez les
_70CE6415A295BC6E	guild_RM_craft	Entraîneur en Artisanat des Guildes	l'\d	chez l'	Entraîneurs en Artisanat des Guildes	les	chez les
_A5D7AFB6E6FA98B9	player_room	Chambre des Joueurs	la	dans la	Chambres des Joueurs	les	dans les
_B187F8BAA67AEC8E	exit	Sortie	la	à la	Sorties	les	aux
_21A51698B819D00D	place_lieudit_majesticgarden_1	Monticule des Psykoplas	le	dans le	Monticules des Psykoplas	les	dans les
_F2205186FD3C18E2	place_lieudit_majesticgarden_2	Arène Matis	l'\d	dans l'	Arènes Matis	les	dans les
