*HASH_VALUE	placeId	name	placegen	placeaccus	placedat
_84AF650B260BB428	region_majesticgarden	Сады Величия	Садов Величия		
_06FE551623FBAC21	region_fleetinggarden	Ускользающий сад	Ускользающего сада		
_DA073675680D99DC	region_groveofconfusion	Роща Смятения	Рощи Смятения		
_A09DD42F2967E0BB	region_hiddensource	Потаенный источник	Потаенного источника		
_86EA9D32C2EBD02C	region_knollofdissent	Холмы раскола	Холмов раскола		
_2E78B8C666F71C56	region_upperbog	Верхняя Топь	Верхней Топи		
_781E713068D7F0FB	region_hereticshovel	Логово Еретика	Логова Еретика		
_67C874A86C3B68AB	place_yrkanis	Ирканис	Ирканиса		
_A2D868B962D67093	place_davae	Дэвей	Дэвея		
_A4D890B762166893	place_natae	Нэтей	Нэтея		
_9DA990A8E9461CB1	place_arena	Арена	Арены		
_A3688C9568B89C81	place_avalae	Эвелей	Эвелея		
_E778A80664D6FCBF	continent_matis	Цветущие выси	Цветущих высей		
_2BB98CB6EA59EC44	region_nland	Леса матисов	Леса матисов		
_209AF856EBF9ACA9	matis_nland	Земли матисов	Земель матисов		
_68F9D8B02CD88085	place_stalli	Сталли	Сталли		
_D0588CC466F88CA8	place_borea	Борея	Борея		
_68EAACBAA857347D	place_nistia	Нистия	Нистия		
_E89984B1E9F91CB7	place_rosilio	Росилио	Росилио		
_5658D4A26878049C	place_miani	Миани	Миани		
_2A4800B92E49C494	region_nexus	Нексус	Нексуса		
_6C6AE4AB64195066	continent_nexus	Плато Нексус	Плато Нексус		
_0C3E4110AAC8E5CE	region_the_under_spring	Подземный источник	Подземного источника		
_AC9958BA21141CAA	continent_sources	Подземный источник	Подземного источника		
_BF8B0179CCDBB515	region_the_abyss_of_ichor	Кровоточащая бездна	Кровоточащей бездны		
_2CC9AC824C980062	continent_bagne	Кровоточащая бездна	Кровоточащей бездны		
_0D640EA59E955242	region_the_land_of_continuty	Земли непрерывности	Земель непрерывности		
_847D252FF0766478	region_the_sunken_city	Погребенный город	Погребенного города		
_466E5E377D0F1D1F	region_forbidden_depths	Запретные Глубины	Запретных Глубин		
_28FAD8ABA678C4AA	continent_terre	Пустоземье	Пустоземья		
_258341053327A09E	region_the_windy_gate	Врата Ветров	Врат Ветров		
_18061244372D7DE5	region_gate_of_obscurity	Врата Туманности	Врат Туманности		
_DBC5896C810F9A3A	region_the_trench_of_trials	Ров Испытаний	Ров Испытаний		
_451C824CC930C922	region_the_elusive_forest	Эфемерный лес	Эфемерного леса		
_09D065F4E6EEE1C5	continent_route_gouffre	Земля Теней	Земли Теней		
_1F24195BC5E95297	region_citiesofintuition	Города Провидцев	Города Провидцев		
_E6B7ECCEEBB97CBC	region_maidengrove	Роща Дев	Рощи Дев	Рощу Дев	Роще Дев
_09A0641C6CBAADAE	region_havenofpurity	Прибежище Благочестия	Прибежища Благочестия		
_E5DFA9C729D9C4A5	region_groveofumbra	Роща Мрака	Рощи Мрака		
_8241441EC40D59B7	region_knotofdementia	Узел Безумия	Узла Безумия		
_260A78AC6E06B4B1	region_thevoid	Великая Пустота	Великой Пустоты		
_E238809D26EB70C1	place_zora	Зора	Зоры	Зору	
_8498DC7024D8D4AC	place_jen_lai	Джен-Лаи	Джен-Лаи		
_27A8B870E7B8E0B2	place_min_cho	Мин-Хо	Мин-Хо		
_A858B86BC8C8CCAD	place_hoi_cho	Хоа-Шо	Хоа-Шо		
_AA99DCB366B8A0B0	continent_zorai	Земли Увядания	Земель Увядания		
_E44B30630AD884AB	zorai_nland	Земли Зораи	Земель Зораи		
_A57970968F804C83	place_qai_lo	Квай-Ло	Квай-Ло		
_63783BADA4A74CAE	place_men_xing	Нен-Ксинг	Нен-Ксинг		
_8E58B09BEAC998A6	place_sheng_wo	Шенг-Уо	Шенг-Уо		
_ABCA145E0B69D8AC	place_koi_zun	Кои-Зан	Кои-Зан		
_1E3598B7E38A3894	place_yin_piang	Йин-Панг	Йин-Панг		
_077F812B671904A6	region_imperialdunes	Имперские дюны	Имперских дюн		
_B9EF3D22E9E614FA	region_oflovaksoasis	Оазис Офловака	Оазиса Офловака		
_DE4B79286F6720AC	region_sawdustmines	Древесная шахта	Древесной шахты		
_1ECE042FAA98A4CA	region_frahartowers	Башни фрахаров	Башни фрахаров		
_6C6F6D126C67609C	region_thesavagedunes	Дикие дюны	Диких дюн		
_E468393398488CC4	region_dunesofexil	Дюны Изгнания	Дюн Изгнания		
_DDAC444B69C7FCC9	region_outlawcanyon	Каньон Беззакония	Каньона Беззакония		
_D241D277C41E7296	region_thescorchedcorridor	Выжженный коридор	Выжженного коридора		
_AACA20B730BBECAC	place_pyr	Пайр	Пайра		
_AB69ECB8E7387889	place_thesos	Фессос	Фессоса		
_D2F8DCC4F2788CBC	place_dyron	Дайрон	Дайрона		
_7188D0B19515E4BD	continent_fyros	Пылающая Пустыня	Пылающей Пустыни		
_CB801D2A284B2C1F	continent_fyros_newbie	Пылающая Пустыня	Пылающей Пустыни		
_E50A584FEB59BCBF	fyros_nland	Земли файросов	Земель файросов		
_509A0CAE6ADA3494	place_aegus	Аэгус	Аэгуса		
_E969A4AFE2164880	place_kaemon	Каэмон	Каэмона		
_A94AC4AF650A38B8	place_sekovix	Сековикс	Сековикса		
_ACAAECC829F96485	place_phyxon	Фиксон	Фиксона		
_69B978A6A878E0B4	place_galemus	Галэмус	Галэмуса		
_A8543324AA29C8B0	region_libertylake	Озеро Свободы	Озера Свободы		
_A314F0B0E1C9D4B5	region_dewdrops	Капли Росы	Капель Росы		
_1D3C352DEA09F4A3	region_restingwater	Воды Покоя	Вод Покоя		
_E33311255F58B0C1	region_windsofmuse	Ветра Муз	Ветров Муз		
_2D589CAE64D990C6	region_thefount	Родник	Родника		
_FDFBBD1DA5D884F4	region_bountybeaches	Отмели Изобилия	Отмелей Изобилия		
_7E503D166815C3EB	region_enchantedisle	Зачарованный Остров	Зачарованного Острова		
_C5A069FAEEED45BF	region_lagoonsofloria	Лагуны Лории	Лагун Лории		
_22D9D0AADC0868A1	place_fairhaven	Фэрхевен	Фэрхевена		
_5FF8B09BF087809E	place_avendale	Эвендейл	Эвендейла		
_27FBF898E778249C	place_crystabell	Кристабелл	Кристабелла		
_A859B09A26F96898	place_windermeer	Виндермеер	Виндермеера		
_6F69648D2EB673C3	continent_tryker	Эден Аквеос	Эден Аквеоса		
_0D304100E4191064	continent_tryker_newbie	Эден Аквеос	Эден Аквеоса		
_9E05E8A9EA390CA0	tryker_nland	Земли трайкеров	Земель трайкеров		
_A76ABC87ABA994A7	place_aubermouth	Обермаут	Обермаута		
_61F898B5A578649F	place_barkdell	Баркделл	Баркделла		
_E518F895AE3704A5	place_hobwelly	Хобвэлли	Хобвэлли		
_E9BA68BD245A74BA	place_waverton	Уэвертон	Уэвертона		
_2468B8B7606888A3	place_dingleton	Динглтон	Динглтона		
_AC96B090543870A0	guild_hall	Зал Гильдии 	Зала Гильдии 		
_5F15D0B167CA0CA4	guild_council	Совет Гильдии	Совета Гильдии		
_F13D701523F59873	guild_RM_fight	Инструктор ведения боя гильдии	Инструктора ведения боя гильдии		
_F1BD8C0463F5347B	guild_RM_magic	Инструктор по магии гильдии	Инструктора по магии гильдии		
_077EC9E0BDABE324	guild_RM_harvest	Инструктор по добыче ресурсов гильдии	Инструктора по добыче ресурсов гильдии		
_70CE6415A295BC6E	guild_RM_craft	Инструктор по ремеслам гильдии	Инструктора по ремеслам гильдии		
_A5D7AFB6E6FA98B9	player_room	Апартаменты игрока	Апартаментов игрока		
_B187F8BAA67AEC8E	exit	Выход	Выхода		
_21A51698B819D00D	place_lieudit_majesticgarden_1	Холмы Псикопл 	Холмов Псикопл 		
_F2205186FD3C18E2	place_lieudit_majesticgarden_2	Арена матисов	Арены матисов		
_4356FA692CB82013	place_lieudit_majesticgarden_3	Тропа Чародеев	Тропы Чародеев		
_F7FB517E408C240F	place_lieudit_fleetinggarden_1	Круг Ками	Круга Ками		
_C33E2C11E73D3815	place_lieudit_fleetinggarden_2	Сокровищница	Сокровищницы		
_C0EF2C93C23D7CC6	place_lieudit_fleetinggarden_3	Логово ярости	Логова ярости		
_811E2C11C0CD0C19	place_lieudit_fleetinggarden_4	Возвышение	Возвышения		
_45B4427C36BD0CBE	place_lieudit_knollofdissent_1	Тоннель страданий	Тоннеля страданий		
_1DA3059149CDC178	place_lieudit_knollofdissent_2	Ущелье Бегущего холма	Ущелья Бегущего холма		
_1AA4E193859DFC89	place_lieudit_knollofdissent_3	Дороги у Башенного Моста	Дороги у Башенного Моста		
_1620069204445D27	place_lieudit_knollofdissent_4	Холм Тропы Торбаков	Холма Тропы Торбаков		
_C59E1288C70BDF05	place_lieudit_knollofdissent_5	Убийственное дерево	Убийственного дерева		
_83965695071BE30C	place_lieudit_knollofdissent_6	Разбитая гора	Разбитой горы		
_3D5FF1AB5AEA211B	place_lieudit_upperbog_1	Пруды Фенкумба	Прудов Фенкумба		
_427F45D10A8850B1	place_lieudit_upperbog_2	Трясина Испуга	Трясины Испуга		
_41A6096B7658B814	place_lieudit_upperbog_3	Топи Демона	Топей Демона		
_C3A025E58B8850B1	place_lieudit_upperbog_4	Изнуряющий перевал	Изнуряющего перевала		
_FCB5018BC8EF498D	place_lieudit_hereticshovel_1	Лабиринт Фей	Лабиринта Фей		
_FE06168AC58D54D5	place_lieudit_hereticshovel_2	Мерзлое болото	Мерзлого болота		
_F78692029E74E044	place_lieudit_hereticshovel_3	Водопады двух Тотемов	Водопадов двух Тотемов		
_7F6B9529445E65DC	place_lieudit_hereticshovel_4	Равнина причуд	Равнины причуд		
_6C8FE6698AD03107	place_lieudit_hiddensource_1	Малая гора	Малой горы		
_B13D327144E075C2	place_lieudit_hiddensource_2	Водопад Виргиния	Водопада Виргиния		
