*HASH_VALUE	race ID	name	named	ia	da	p	pd	pia	pda
_A6AB2C9934550CBC	Fyros	Fyros	Fyros	ein 	der	Fyros	Fyros		die
_E7CB9C9EA95430A4	Matis	Matis	Matis	ein 	der	Matis	Matis		die
_ECC9D489AE5810A4	Tryker	Tryker	Tryker	ein 	der	Tryker	Tryker		die
_AB51CA9C65185C9F	Zorai	Zoraï	Zoraï	ein 	der	Zoraï	Zoraï		die
_6738B082E379F0AE	Karavan	Karavan	Karavan	ein 	der	Karavans	Karavans		die
_EA288C91A3585095	Tribe	Stamm	Stamm	ein 	der	Stämme	Stämme		die
_2CD6E862AC34E48E	Common	Allgemein	Allgemein			Allgemeine	Allgemeine		
_E78B54642B0A586C	Arma	Arma	Arma	ein 	der	Armas	Armas		die
_E877986CA4D9ECB9	Balduse	Baldusa	Baldusa	ein 	der	Baldusas	Baldusas		die
_DED93048E8DADC79	Bul	Bodoc	Bodoc	ein 	der	Bodocs	Bodocs		die
_6CA9A875A45934BC	Capryni	Capryni	Capryni	ein 	der	Caprynis	Caprynis		die
_6E6B247C28A74478	Cephaloplant	Jubla	Jubla	ein 	der	Jublas	Jublas		die
_2AD80C589E8AEC9F	Chonari	Gingo	Gingo	ein 	der	Gingos	Gingos		die
_24C9E46CA6B9D8A5	Clapclap	Prakker	Prakker	ein 	der	Prakker	Prakker		die
_E4B9D85F2C7898A7	Cococlaw	Clopper	Clopper	ein 	der	Clopper	Clopper		die
_649A4C5A645B502A	Cute	Cute	Cute	ein 	der	Cutes	Cutes		die
_DA38848EEE1644B3	Dag	Yubo	Yubo	ein 	der	Yubos	Yubos		die
_1E8AA48F531984B9	Diranak	Horncher	Horncher	ein	der	Horncher	Horncher		die
_A2EA7080DC795CC1	Electroalgs	Stinga	Stinga	ein 	der	Stingas	Stingas		die
_69CCFC7DEBFCA4C5	Estrasson	Cray	Cray	ein 	der	Crays	Crays		die
_25B91083A2C75CAD	Filin	Messab	Messab	ein 	der	Messabs	Messabs		die
_6CA6C855AE370484	Frahar	Frahar	Frahar	ein 	der	Frahar	Frahar		die
_85D668582A47BE85	Gibbai	Gibbaï	Gibbaï	ein 	der	Gibbaïs	Gibbaïs		die
_66C6F45CE74B50B2	Hachtaha	Goari	Goari	ein 	der	Goaris	Goaris		die
_5F589092269A58AE	Jungler	Torbak	Torbak	ein	der	Torbaks	Torbaks		die
