*HASH_VALUE	race ID	name	ia	da	cc	p	pia	pda
_A6AB2C9934550CBC	Fyros	Fyros	un	le	du	Fyros	des	les
_E7CB9C9EA95430A4	Matis	Matis	un	le	du	Matis	des	les
_ECC9D489AE5810A4	Tryker	Tryker	un	le	du	Trykers	des	les
_AB51CA9C65185C9F	Zorai	Zoraï	un	le	du	Zoraïs	des	les
_6738B082E379F0AE	Karavan	Karavan	une	la	de la	Karavan	des	les
_EA288C91A3585095	Tribe	Tribu	une	la	de la	Tribus	des	les
_2CD6E862AC34E48E	Common	Ordinaire	un	l'\d	de l'\d	Ordinaires	des	les
_E78B54642B0A586C	Arma	Arma	un	l'\d	de l'\d	Armas	des	les
_E877986CA4D9ECB9	Balduse	Baldusa	un	le	du	Baldusas	des	les
_DED93048E8DADC79	Bul	Bodoc	un	le	du	Bodocs	des	les
_6CA9A875A45934BC	Capryni	Capryni	un	le	du	Caprynis	des	les
_6E6B247C28A74478	Cephaloplant	Jubla	un	le	du	Jublas	des	les
_2AD80C589E8AEC9F	Chonari	Gingo	un	le	du	Gingos	des	les
_24C9E46CA6B9D8A5	Clapclap	Prakker	un	le	du	Prakkers	des	les
_E4B9D85F2C7898A7	Cococlaw	Clopper	un	le	du	Cloppers	des	les
_649A4C5A645B502A	Cute	Cute	un	le	du	Cutes	des	les
_DA38848EEE1644B3	Dag	Yubo	un	le	du	Yubos	des	les
_1E8AA48F531984B9	Diranak	Horncher	un	le	du	Hornchers	des	les
_A2EA7080DC795CC1	Electroalgs	Stinga	une	la	de la	Stingas	des	les
_69CCFC7DEBFCA4C5	Estrasson	Cray	un	le	du	Crays	des	les
_25B91083A2C75CAD	Filin	Messab	un	le	du	Messabs	des	les
_6CA6C855AE370484	Frahar	Frahar	un	le	du	Frahars	des	les
_85D668582A47BE85	Gibbai	Gibbaï	un	le	du	Gibbaïs	des	les
_66C6F45CE74B50B2	Hachtaha	Goari	un	le	du	Goaris	des	les
_5F589092269A58AE	Jungler	Torbak	un	le	du	Torbaks	des	les
_A8FAFC95E5B884D3	Kakty	Lumper	un	le	du	Lumpers	des	les
_E91844799DE6E889	Kalab	Kalab	un	le	du	Kalabs	des	les
_66B8AC6A67086042	Kami	Kami	un	le	du	Kamis	des	les
_6DE9185A9E88EC9F	Kazoar	Igara	un	l'\d	de l'\d	Igaras	des	les
_22295C8D619B8CB0	Kitifly	Kizoar	un	le	du	Kizoars	des	les
_A967B071AF99D886	Kitihank	Kinrey	un	le	du	Kinreys	des	les
_2D1928895C3A9488	Kitiharak	Kizarak	un	le	du	Kizaraks	des	les
_AA98C87D29A9ECB4	Kitikil	Kipesta	un	le	du	Kipestas	des	les
_6A985489668810B3	Kitimandib	Kincher	un	le	du	Kinchers	des	les
_EED9D491A3E70895	Kitin	Kitin	un	le	du	Kitins	des	les
_AB79507DDF8958A2	Kitinagan	Kipucka	un	le	du	Kipuckas	des	les
_24FB707EE636C4B2	Kitinega	Kirosta	un	le	du	Kirostas	des	les
_1EE70896B148CC9A	Kitinokto	Kiban	un	le	du	Kibans	des	les
_6A75F4806EFA64A9	Lightbird	Izam	un	l'\d	de l'	Izams	des	les
_6B18A47CA78864B4	Mektoub	Mektoub	un	le	du	Mektoubs	des	les
_A87A0070E91A20A1	Phytopsy	Psykopla	un	le	du	Psykoplas	des	les
_2BD83C686EBB78A1	Pucetron	Kipee	un	le	du	Kipees	des	les
_2BFA0C9566B710A4	Regus	Ragus	un	le	du	Ragus	des	les
_A28AF86F9CA484CB	Ryzerb	Najab	un	le	du	Najabs	des	les
