*HASH_VALUE	race ID	name	ia	da	p	pia	pda
_A6AB2C9934550CBC	Fyros	Fyros	a	the	Fyros		the
_E7CB9C9EA95430A4	Matis	Matis	a	the	Matis		the
_ECC9D489AE5810A4	Tryker	Tryker	a	the	Trykers		the
_AB51CA9C65185C9F	Zorai	Zoraï	a	the	Zoraïs		the
_6738B082E379F0AE	Karavan	Karavan	a	the	Karavans		the
_EA288C91A3585095	Tribe	Tribe	a	the	Tribes		the
_2CD6E862AC34E48E	Common	Common			Common		
_E78B54642B0A586C	Arma	Arma	an	the	Armas		the
_E877986CA4D9ECB9	Balduse	Baldusa	a	the	Baldusas		the
_DED93048E8DADC79	Bul	Bodoc	a	the	Bodocs		the
_6CA9A875A45934BC	Capryni	Capryni	a	the	Caprynis		the
_6E6B247C28A74478	Cephaloplant	Jubla	a	the	Jublas		the
_2AD80C589E8AEC9F	Chonari	Gingo	a	the	Gingos		the
_24C9E46CA6B9D8A5	Clapclap	Prakker	a	the	Prakker		the
_E4B9D85F2C7898A7	Cococlaw	Clopper	a	the	Cloppers		the
_649A4C5A645B502A	Cute	Cute	a	the	Cutes		the
_DA38848EEE1644B3	Dag	Yubo	a	the	Yubos		the
_A54994996017D0A9	Diranak	Horncher	a	the	Hornchers		the
_A2EA7080DC795CC1	Electroalgs	Stinga	a	the	Stingas		the
_69CCFC7DEBFCA4C5	Estrasson	Cray	a	the	Crays		the
_25B91083A2C75CAD	Filin	Messab	a	the	Messabs		the
_6CA6C855AE370484	Frahar	Frahar	a	the	Frahars		the
_85D668582A47BE85	Gibbai	Gibbaï	a	the	Gibbaïs		the
_66C6F45CE74B50B2	Hachtaha	Goari	a	the	Goaris		the
_5F589092269A58AE	Jungler	Torbak	a	the	Torbaks		the
_A8FAFC95E5B884D3	Kakty	Lumper	a	the	Lumpers		the
_E91844799DE6E889	Kalab	Kalab	a	the	Kalabs		the
_66B8AC6A67086042	Kami	Kami	a	the	Kamis		the
_6DE9185A9E88EC9F	Kazoar	Igara	an	the	Igaras		the
_22295C8D619B8CB0	Kitifly	Kizoar	a	the	Kizoars		the
_A967B071AF99D886	Kitihank	Kinrey	a	the	Kinreys		the
_2D1928895C3A9488	Kitiharak	Kizarak	a	the	Kizaraks		the
_AA98C87D29A9ECB4	Kitikil	Kipesta	a	the	Kipestas		the
_6A985489668810B3	Kitimandib	Kincher	a	the	Kinchers		the
_EED9D491A3E70895	Kitin	Kitin	a	the	Kitins		the
_AB79507DDF8958A2	Kitinagan	Kipucka	a	the	Kipuckas		the
_24FB707EE636C4B2	Kitinega	Kirosta	a	the	Kirostas		the
_1EE70896B148CC9A	Kitinokto	Kiban	a	the	Kibans		the
_6A75F4806EFA64A9	Lightbird	Izam	an	the	Izams		the
_6B18A47CA78864B4	Mektoub	Mektoub	a	the	Mektoubs		the
_A87A0070E91A20A1	Phytopsy	Psykopla	a	the	Psykoplas		the
_2BD83C686EBB78A1	Pucetron	Kipee	a	the	Kipees		the
_2BFA0C9566B710A4	Regus	Ragus	a	the	Ragus		the
_A28AF86F9CA484CB	Ryzerb	Najab	a	the	Najabs		the
_E648F0812DAACC99	Ryzoholo	Timari	a	the	Timaris		the
_B027688DF0E9E0B5	Ryzoholok	Vorax	a	the	Vorax		the
_DD9A98FDE6A9B4AB	SapEnslaver	Slaveni	a	the	Slavenis		the
_ABDE4DD566A924AB	SpittingWeeds	Cratcha	a	the	Cratchas		the
_662AE099E1986CAE	Swarmplants	Shooki	a	the	Shookis		the
_AD98A88EAAEA94AF	Vampignon	Yelk	a	the	Yelks		the
_6E4A088360B94CA6	Varinx	Varinx	a	the	Varinx		the
_EAB8B4862D886C6C	Yber	Yber	a	the	Ybers		the
_658AD094682B948D	Zerx	Zerx	a	the	Zerx		the
_2D3828AC5F265890	race_c1	Javing	a	the	Javings		the
_E8C89CBE9ED7E868	race_c2	Cuttler	a	the	Cuttlers		the
_A5A6CB9B60E6386C	race_c3	Ocyx	a	the	Ocyxs		the
_D9EA24B89FC4C06D	race_c4	Jugula	a	the	Jugulas		the
_A6D764A79C46EC67	race_c5	Kidinak	a	the	Kidinaks		the
_55EA8099A2558480	race_h1	Raspal	a	the	Raspals		the
_95F96899DAA58466	race_h2	Bawaab	a	the	Bawaabs		the
