*HASH_VALUE	sbrick ID	name	named	* noms français	ia	da	p	pd	pia	pda	description	description2	
_982C1DC616A579D5	BFPA01	Standardangriff     	Standardangriff     		ein	der	Standardangriffe     	Standardangriffe     		die	Standard Stanza für alle Kampfaktionen.	Standardangriff-Basisstanza	
_CD9CEEBCAF485D13	BFOA01	Erhöhter Schaden     	Erhöhter Schaden     		eine	die	Erhöhte Schäden     	Erhöhte Schäden     		die	Erhöht den Schaden eines Schlages.	Schadenserhöhungs-Option	
_4A8C98814E07227B	BFOA02	Feuerrate	Feuerrate		eine	die	Feuerraten	Feuerraten		die	Verbessert die Feuergeschwindigkeit	Erhöht die Feuergeschwindigkeit	
_0FDAD468BB4B8237	BFOA03	Präzisionsangriff	Präzisionsangriff		ein	der	Präzisionsangriffe	Präzisionsangriffe		die	Verbessert die Angriffspräzision und reduziert die gegnerische Chance des Ausweichens.	Präzisionsangriffs-Option	
_B5072E218927A0CA	BFOA04	Blutungsangriff   	Blutungsangriff		eine	die	Blutungsangriffe	Blutungsangriffe		die	Erzeugt eine offene, blutende Wunde - verursacht einen Extraschaden für 10s.	Blutangriffs-Option	
_E202CF41E3D22207	BFMA01	Erhöhter Schaden 1    	Erhöhter Schaden 1    		eine	die	Erhöhte Schäden 1    	Erhöhte Schäden 1    		die	Verdoppelt den Schaden im Optimalfall - Maximale Effizienz bis zur Waffenqualität 10.	Erhöhter Schaden 1, max. Faktor : $1INC_DMG	
_2202CF42E3E22607	BFMA02	Erhöhter Schaden 2    	Erhöhter Schaden 2    		eine	die	Erhöhte Schäden 2    	Erhöhte Schäden 2    		die	Verdoppelt den Schaden im Optimalfall - Maximale Effizienz bis zur Waffenqualität 20.	Erhöhter Schaden 2, max. Faktor : $1INC_DMG	
_6202CF43E3F22A07	BFMA03	Erhöhter Schaden 3    	Erhöhter Schaden 3    		eine	die	Erhöhte Schäden 3    	Erhöhte Schäden 3    		die	Verdoppelt den Schaden im Optimalfall - Maximale Effizienz bis zur Waffenqualität 30.	Erhöhter Schaden 3, max. Faktor : $1INC_DMG	
_A302E344E3022E07	BFMA04	Erhöhter Schaden 4    	Erhöhter Schaden 4    		eine	die	Erhöhte Schäden 4    	Erhöhte Schäden 4    		die	Verdoppelt den Schaden im Optimalfall - Maximale Effizienz bis zur Waffenqualität 45.	Erhöhter Schaden 4, max. Faktor : $1INC_DMG	
_E302CF47E3123207	BFMA05	Erhöhter Schaden 5    	Erhöhter Schaden 5    		eine	die	Erhöhte Schäden 5    	Erhöhte Schäden 5    		die	Verdoppelt den Schaden im Optimalfall - Maximale Effizienz bis zur Waffenqualität 70.	Erhöhter Schaden 5, max. Faktor : $1INC_DMG	
_2302CF49E3223607	BFMA06	Erhöhter Schaden 6    	Erhöhter Schaden 6    		eine	die	Erhöhte Schäden 6    	Erhöhte Schäden 6    		die	Verdoppelt den Schaden im Optimalfall - Maximale Effizienz bis zur Waffenqualität 90.	Erhöhter Schaden 6, max. Faktor : $1INC_DMG	
_E33D1033DFBF9FBC	BFMA07	Erhöhter Schaden 7    	Erhöhter Schaden 7    		eine	die	Erhöhte Schäden 7    	Erhöhte Schäden 7    		die	Verdoppelt den Schaden im Optimalfall - Maximale Effizienz bis zur Waffenqualität 115.	Erhöhter Schaden 7, max. Faktor : $1INC_DMG	
_E3ED1C33DFCFA3BD	BFMA08	Erhöhter Schaden 8    	Erhöhter Schaden 8    		eine	die	Erhöhte Schäden 8    	Erhöhte Schäden 8    		die	Verdoppelt den Schaden im Optimalfall - Maximale Effizienz bis zur Waffenqualität 140.	Erhöhter Schaden 8, max. Faktor : $1INC_DMG	
_E33D2433DFDFA7BE	BFMA09	Erhöhter Schaden 9    	Erhöhter Schaden 9    		eine	die	Erhöhte Schädenn 9    	Erhöhte Schäden 9    		die	Verdoppelt den Schaden im Optimalfall - Maximale Effizienz bis zur Waffenqualität 165.	Erhöhter Schaden 9, max. Faktor : $1INC_DMG	
_1006A1C96FF045FA	BFMA10	Erhöhter Schaden 10    	Erhöhter Schaden 10    		eine	die	Erhöhte Schäden 10    	Erhöhte Schäden 10    		die	Verdoppelt den Schaden im Optimalfall - Maximale Effizienz bis zur Waffenqualität 190.	Erhöhter Schaden 10, max. Faktor : $1INC_DMG	
