*HASH_VALUE	sbrick ID	name	* noms français	ia	da	p	pia	pda	description	description2
_982C1DC616A579D5	BFPA01	Default attack		a	the				Base stanza for all combat actions.	Default Attack Fight Stanza
_CD9CEEBCAF485D13	BFOA01	Increase Damage		an	the				Increases damage inflicted by a hit.	Increase Damage Option
_4A8C98814E07227B	BFOA02	Hit Rate		a	the				Increases the firing rate of your weapon.	Increase Firing Rate Option
_0FDAD468BB4B8237	BFOA03	Accurate Attack		an	the				Increases the accuracy of attack, reduces the chances of enemy dodging.	Accurate Attack Option
_B5072E218927A0CA	BFOA04	Bleeding		a	the				Inflicts an open wound causing bleeding - causes extra damage for 10s.	Bleeding Option
_E202CF41E3D22207	BFMA01	Increase Damage 1		an	the				Increases damage to up to double - maximum efficiency for weapons up to level 10.	Increase Damage 1 - Max Factor: $1INC_DMG
_2202CF42E3E22607	BFMA02	Increase Damage 2		an	the				Increases damage to up to double - maximum efficiency for weapons up to level 20.	Increase Damage 2 - Max Factor: $1INC_DMG
_6202CF43E3F22A07	BFMA03	Increase Damage 3		an	the				Increases damage to up to double - maximum efficiency for weapons up to level 30.	Increase Damage 3 - Max Factor: $1INC_DMG
_A302E344E3022E07	BFMA04	Increase Damage 4		an	the				Increases damage to up to double - maximum efficiency for weapons up to level 45.	Increase Damage 4 - Max Factor: $1INC_DMG
_E302CF47E3123207	BFMA05	Increase Damage 5		an	the				Increases damage to up to double - maximum efficiency for weapons up to level 70.	Increase Damage 5 - Max Factor: $1INC_DMG
_2302CF49E3223607	BFMA06	Increase Damage 6		an	the				Increases damage to up to double - maximum efficiency for weapons up to level 90.	Increase Damage 6 - Max Factor: $1INC_DMG
_E33D1033DFBF9FBC	BFMA07	Increase Damage 7		an	the				Increases damage to up to double - maximum efficiency for weapons up to level 115.	Increase Damage 7 - Max Factor: $1INC_DMG
_E3ED1C33DFCFA3BD	BFMA08	Increase Damage 8		an	the				Increases damage to up to double - maximum efficiency for weapons up to level 140.	Increase Damage 8 - Max Factor: $1INC_DMG
_E33D2433DFDFA7BE	BFMA09	Increase Damage 9		an	the				Increases damage to up to double - maximum efficiency for weapons up to level 165.	Increase Damage 9 - Max Factor: $1INC_DMG
_1006A1C96FF045FA	BFMA10	Increase Damage 10		an	the				Increases damage to up to double - maximum efficiency for weapons up to level 190.	Increase Damage 10 - Max Factor: $1INC_DMG
_5186A5C9AF0049FA	BFMA11	Increase Damage 11		an	the				Increases damage to up to double - maximum efficiency for weapons up to level 215.	Increase Damage 11 - Max Factor: $1INC_DMG
_10B6A5C9EF104DFA	BFMA12	Increase Damage 12		an	the				Increases damage to up to double - maximum efficiency for weapons up to level 240.	Increase Damage 12 - Max Factor: $1INC_DMG
_51D6A5C92F2051FA	BFMA13	Increase Damage 13		an	the				Increases damage to up to double - maximum efficiency for weapons up to level 265.	Increase Damage 13 - Max Factor: $1INC_DMG
_87DF1BB3354CE2F3	BFMC01	Accurate Attack 1		an	the				Reduces the chance of your enemy dodging - maximum efficiency for weapons up to level 20.	Accurate attack 1 - Max skill bonus: +$1ATT_SKILL_MOD
_872F1FB3355CE6F4	BFMC02	Accurate Attack 2		an	the				Reduces the chance of your enemy dodging - maximum efficiency for weapons up to level 35.	Accurate attack 2 - Max skill bonus: +$1ATT_SKILL_MOD
_87DF27B3356CEAF5	BFMC03	Accurate Attack 3		an	the				Reduces the chance of your enemy dodging - maximum efficiency for weapons up to level 50.	Accurate attack 3 - Max skill bonus: +$1ATT_SKILL_MOD
_872F2BB3357CEEF6	BFMC04	Accurate Attack 4		an	the				Reduces the chance of your enemy dodging - maximum efficiency for weapons up to level 65.	Accurate attack 4 - Max skill bonus: +$1ATT_SKILL_MOD
_87DF37B3358CF2F7	BFMC05	Accurate Attack 5		an	the				Reduces the chance of your enemy dodging - maximum efficiency for weapons up to level 90.	Accurate attack 5 - Max skill bonus: +$1ATT_SKILL_MOD
_2548612479F664B1	BFMC06	Accurate Attack 6		an	the				Reduces the chance of your enemy dodging - maximum efficiency for weapons up to level 115.	Accurate attack 6 - Max skill bonus: +$1ATT_SKILL_MOD
_B2EEF8758A898CB2	BFMC07	Accurate Attack 7		an	the				Reduces the chance of your enemy dodging - maximum efficiency for weapons up to level 140.	Accurate attack 7 - Max skill bonus: +$1ATT_SKILL_MOD
_B21EF8758A9994B2	BFMC08	Accurate Attack 8		an	the				Reduces the chance of your enemy dodging - maximum efficiency for weapons up to level 170.	Accurate attack 8 - Max skill bonus: +$1ATT_SKILL_MOD
_B2AEFC758AA99CB2	BFMC09	Accurate Attack 9		an	the				Reduces the chance of your enemy dodging - maximum efficiency for weapons up to level 200.	Accurate attack 9 - Max skill bonus: +$1ATT_SKILL_MOD
_9DE7FA8D8536BEE5	BFMC10	Accurate Attack 10		an	the				Reduces the chance of your enemy dodging - maximum efficiency for weapons up to level 235.	Accurate attack 10 - Max skill bonus: +$1ATT_SKILL_MOD
_9EE7FA8D0536C2E5	BFMC11	Accurate Attack 11		an	the				Reduces the chance of your enemy dodging - maximum efficiency for weapons up to level 275.	Accurate attack 11 - Max skill bonus: +$1ATT_SKILL_MOD
_820A6C42D5B6F83F	BFMD01	Bleeding 1		a	the				Causes a bleeding damage over time effect (based on the damage of the initial hit) for 10s - maximum efficiency for weapons up to level 25.	Bleeding 1 - Max factor: $2BLEED_FACTOR
_820A704215B6003F	BFMD02	Bleeding 2		a	the				Causes a bleeding damage over time effect (based on the damage of the initial hit) for 10s - maximum efficiency for weapons up to level 35.	Bleeding 2 - Max factor: $2BLEED_FACTOR
_82BA784255B6083F	BFMD03	Bleeding 3		a	the				Causes a bleeding damage over time effect (based on the damage of the initial hit) for 10s - maximum efficiency for weapons up to level 50.	Bleeding 3 - Max factor: $2BLEED_FACTOR
_820A7C4296B6103F	BFMD04	Bleeding 4		a	the				Causes a bleeding damage over time effect (based on the damage of the initial hit) for 10s - maximum efficiency for weapons up to level 65.	Bleeding 4 - Max factor: $2BLEED_FACTOR
_82BA8842D6B6183F	BFMD05	Bleeding 5		a	the				Causes a bleeding damage over time effect (based on the damage of the initial hit) for 10s - maximum efficiency for weapons up to level 90.	Bleeding 5 - Max factor: $2BLEED_FACTOR
_13C8472D11280303	BFMD06	Bleeding 6		a	the				Causes a bleeding damage over time effect (based on the damage of the initial hit) for 10s - maximum efficiency for weapons up to level 115.	Bleeding 6 - Max factor: $2BLEED_FACTOR
_D2F8472D51380703	BFMD07	Bleeding 7		a	the				Causes a bleeding damage over time effect (based on the damage of the initial hit) for 10s - maximum efficiency for weapons up to level 140.	Bleeding 7 - Max factor: $2BLEED_FACTOR
_1318472D92480B03	BFMD08	Bleeding 8		a	the				Causes a bleeding damage over time effect (based on the damage of the initial hit) for 10s - maximum efficiency for weapons up to level 165.	Bleeding 8 - Max factor: $2BLEED_FACTOR
_D2B84B2DD2580F03	BFMD09	Bleeding 9		a	the				Causes a bleeding damage over time effect (based on the damage of the initial hit) for 10s - maximum efficiency for weapons up to level 200.	Bleeding 9 - Max factor: $2BLEED_FACTOR
_ED5A77B875A2E253	BFMD10	Bleeding 10		a	the				Causes a bleeding damage over time effect (based on the damage of the initial hit) for 10s - maximum efficiency for weapons up to level 235.	Bleeding 10 - Max factor: $2BLEED_FACTOR
_EE5A77BA75A2E653	BFMD11	Bleeding 11		a	the				Causes a bleeding damage over time effect (based on the damage of the initial hit) for 10s - maximum efficiency for weapons up to level 275.	Bleeding 11 - Max factor: $2BLEED_FACTOR
_FB23D9FEEEB2F0F1	BFCA01	Stamina Credit 1		a	the				Consumes '$0STA_WEIGHT_FACTOR * weapon weight' Stamina - gives 6 credits.	Consumption factor: $0STA_WEIGHT_FACTOR
_8E9224BA1191CCDA	BFCA02	Stamina Credit 2		a	the				Consumes '$0STA_WEIGHT_FACTOR * weapon weight' Stamina - gives 10 credits.	Consumption factor: $0STA_WEIGHT_FACTOR
_8E9224BA1101D0DB	BFCA03	Stamina Credit 3		a	the				Consumes '$0STA_WEIGHT_FACTOR * weapon weight' Stamina - gives 16 credits.	Consumption factor: $0STA_WEIGHT_FACTOR
_8E9224BA11B1D8DC	BFCA04	Stamina Credit 4		a	the				Consumes '$0STA_WEIGHT_FACTOR * weapon weight' Stamina - gives 20 credits.	Consumption factor: $0STA_WEIGHT_FACTOR
_8E9224BA1121DCDD	BFCA05	Stamina Credit 5		a	the				Consumes '$0STA_WEIGHT_FACTOR * weapon weight' Stamina - gives 26 credits.	Consumption factor: $0STA_WEIGHT_FACTOR
_8E9224BA11D1E4DE	BFCA06	Stamina Credit 6		a	the				Consumes '$0STA_WEIGHT_FACTOR * weapon weight' Stamina - gives 30 credits.	Consumption factor: $0STA_WEIGHT_FACTOR
_8E9224BA11E1ECDF	BFCA07	Stamina Credit 7		a	the				Consumes '$0STA_WEIGHT_FACTOR * weapon weight' Stamina - gives 40 credits.	Consumption factor: $0STA_WEIGHT_FACTOR
_8E9224BA11F1F4E0	BFCA08	Stamina Credit 8		a	the				Consumes '$0STA_WEIGHT_FACTOR * weapon weight' Stamina - gives 50 credits.	Consumption factor: $0STA_WEIGHT_FACTOR
_8E9224BA1161FCE1	BFCA09	Stamina Credit 9		a	the				Consumes '$0STA_WEIGHT_FACTOR * weapon weight' Stamina - gives 66 credits.	Consumption factor: $0STA_WEIGHT_FACTOR
_736A4DC80A3C7E15	BFCA10	Stamina Credit 10		a	the				Consumes '$0STA_WEIGHT_FACTOR * weapon weight' Stamina - gives 80 credits.	Consumption factor: $0STA_WEIGHT_FACTOR
_613200C383325EE8	BFCA11	Stamina Credit 11		a	the				Consumes '$0STA_WEIGHT_FACTOR * weapon weight' Stamina - gives 100 credits.	Consumption factor: $0STA_WEIGHT_FACTOR
_613200C5C34262E8	BFCA12	Stamina Credit 12		a	the				Consumes '$0STA_WEIGHT_FACTOR * weapon weight' Stamina - gives 120 credits.	Consumption factor: $0STA_WEIGHT_FACTOR
_613200C7035266E8	BFCA13	Stamina Credit 13		a	the				Consumes '$0STA_WEIGHT_FACTOR * weapon weight' Stamina - gives 140 credits.	Consumption factor: $0STA_WEIGHT_FACTOR
_613200C944626AE8	BFCA14	Stamina Credit 14		a	the				Consumes '$0STA_WEIGHT_FACTOR * weapon weight' Stamina - gives 160 credits.	Consumption factor: $0STA_WEIGHT_FACTOR
_613200CB84726EE8	BFCA15	Stamina Credit 15		a	the				Consumes '$0STA_WEIGHT_FACTOR * weapon weight' Stamina - gives 180 credits.	Consumption factor: $0STA_WEIGHT_FACTOR
_613200C3048272E8	BFCA16	Stamina Credit 16		a	the				Consumes '$0STA_WEIGHT_FACTOR * weapon weight' Stamina - gives 200 credits.	Consumption factor: $0STA_WEIGHT_FACTOR
_613218C5449276E8	BFCA17	Stamina Credit 17		a	the				Consumes '$0STA_WEIGHT_FACTOR * weapon weight' Stamina - gives 226 credits.	Consumption factor: $0STA_WEIGHT_FACTOR
_613200C885A27AE8	BFCA18	Stamina Credit 18		a	the				Consumes '$0STA_WEIGHT_FACTOR * weapon weight' Stamina - gives 250 credits.	Consumption factor: $0STA_WEIGHT_FACTOR
_083E583067C3077C	BFCB01	HP Credit 1		a	the				Consumes $|HP hit points - gives 10 credits.	Consumes $|HP hit points
_083E5830A7D30B7C	BFCB02	HP Credit 2		a	the				Consumes $|HP hit points - gives 20 credits.	Consumes $|HP hit points
_083E5835E7E30F7C	BFCB03	HP Credit 3		a	the				Consumes $|HP hit points - gives 35 credits.	Consumes $|HP hit points
_083E583068F3137C	BFCB04	HP Credit 4		a	the				Consumes $|HP hit points - gives 50 credits.	Consumes $|HP hit points
_083E5835E803177C	BFCB05	HP Credit 5		a	the				Consumes $|HP hit points - gives 75 credits.	Consumes $|HP hit points
_38F25511B222DB32	BFCB06	HP Credit 6		a	the				Consumes $|HP hit points - gives 100 credits.	Consumes $|HP hit points
_38F26913B232DF32	BFCB07	HP Credit 7		a	the				Consumes $|HP hit points - gives 125 credits.	Consumes $|HP hit points
_38F25516B242E332	BFCB08	HP Credit 8		a	the				Consumes $|HP hit points - gives 150 credits.	Consumes $|HP hit points
_38F26918B252E732	BFCB09	HP Credit 9		a	the				Consumes $|HP hit points - gives 175 credits.	Consumes $|HP hit points
_94F667E30FB27EDE	BFCB10	HP Credit 10		a	the				Consumes $|HP hit points - gives 200 credits.	Consumes $|HP hit points
_0D1C4816003FD121	BFCC01	Opening After Dodge 1		an	the				Makes the action only usable after you dodge successfully- gives 10 credits.	Opening After dodge 1
