*HASH_VALUE	sbrick ID	name	* noms français	ia	da	p	pia	pda	description	description2
_982C1DC616A579D5	BFPA01	Ataque por Falta o Defecto 		un	el			el	Estancia Base para todas las acciones de combate.	Estancia de Combate del Ataque por Falta o Defecto
_CD9CEEBCAF485D13	BFOA01	Aumento del Daño 		un	e			los	Aumenta el daño causado por un golpe.	Aumenta la Opción de Daño
_4A8C98814E07227B	BFOA02	Tasa o Índice de Golpe		un	el			los	Aumenta la tasa o el índice de la descarga.	Aumenta la Opción del Índice de la Descarga
_0FDAD468BB4B8237	BFOA03	Ataque de Precisión		un	el			los	"Aumenta la exactitud del ataque, reduce las posibilidades de que el enemigo pueda esquivar."	Opción del Ataque Preciso
_B5072E218927A0CA	BFOA04	Sangrado		un	el			los	Causa una herida abierta que provoca sangrado - causa un daño extra de 10s.	Opción de Sangrado
_E202CF41E3D22207	BFMA01	Aumento del Daño 1		un	el			los	Aumenta el daño hasta el doble - máxima eficiencia para armas hasta el nivel 10.	Aumenta el Daño 1 - Factor Máximo: $1INC_DMG
_2202CF42E3E22607	BFMA02	Aumento del Daño 2		un	el			los	Aumenta el daño hasta el doble - máxima eficiencia para armas hasta el nivel 20.	Aumenta el Daño 2 - Factor Máximo: $1INC_DMG
_6202CF43E3F22A07	BFMA03	Aumento del Daño 3		un	el			los	Aumenta el daño hasta el doble - máxima eficiencia para las armas hasta el nivel 30.	Aumenta el Daño 3 - Max Factor: $1INC_DMG
_A302E344E3022E07	BFMA04	Aumento del Daño 4		un	el			los	Aumenta el daño hasta el doble - máxima eficiencia para las armas hasta el nivel 45.	Aumenta el Daño 4 - Factor Máximo: $1INC_DMG
_E302CF47E3123207	BFMA05	Aumento del Daño 5		un	el			los	Aumenta el daño hasta el doble - máxima eficiencia para las armas hasta el nivel 70.	Aumenta el Daño 5 - Factor Máximo: $1INC_DMG
_2302CF49E3223607	BFMA06	Aumento del Daño 6		un	el			los	Aumenta el daño hasta el doble - máxima eficiencia para las armas hasta el nivel 90.	Aumenta el Daño 6 - Factor Máximo: $1INC_DMG
_E33D1033DFBF9FBC	BFMA07	Aumento del Daño 7		un	el			los	Aumenta el daño hasta el doble - máxima eficiencia para las armas hasta el nivel 115.	Aumenta el Daño 7 - Factor Máximo: $1INC_DMG
_E3ED1C33DFCFA3BD	BFMA08	Aumento del Daño 8		un	el			los	Aumenta el daño hasta el doble - máxima eficiencia para las armas hasta el nivel 140.	Aumenta el Daño 8 - Factor Máximo: $1INC_DMG
_E33D2433DFDFA7BE	BFMA09	Aumento del Daño 9		un	el			los	Aumenta el daño hasta el doble - máxima eficiencia para las armas hasta el nivel 165.	Aumenta el Daño 9 -Factor Máximo: $1INC_DMG
_1006A1C96FF045FA	BFMA10	Aumento del Daño 10		un	el			los	Aumenta el daño hasta el doble - máxima eficiencia para las armas hasta el nivel 190.	Aumenta el Daño 10 - Factor Máximo: $1INC_DMG
_5186A5C9AF0049FA	BFMA11	Aumento del Daño 11		un	el			los	Aumenta el daño hasta el doble - máxima eficiencia para las armas hasta el nivel 215.	Aumenta del Daño 11 - Factor Máximo: $1INC_DMG
_10B6A5C9EF104DFA	BFMA12	Aumento del Daño 12		un	el			los	Aumenta el daño hasta el doble - máxima eficiencia para las armas hasta el nivel 240.	Aumenta el Daño 12 - Factor Máximo: $1INC_DMG
