*HASH_VALUE	skill ID	name	named	ia	da	p	pd	pia	pda	description
_5179F57B8293F93C	AcurateBleedingShot	Akkurater blutiger Schuss 	Akkurater blutiger Schuss 	ein	der	Akkurate blutige Schüsse 	Akkurate blutige Schüsse 	\d	die	
_0779B6D36895A032	AcurateBreathlessShot	Akkurater erstickender Schuss	Akkurater erstickender Schuss	ein	der	Akkurate erstickende Schüsse	Akkurate erstickende Schüsse	\d	die	
_B436B3C3EBDAAAC5	AnimalSlideslip	Absteigen	Absteigen	ein	das	Absteigen	Absteigen	\d	die	
_789A7B66E3228290	AnimalStalking	Anpirschen	Anpirschen	ein	das	Anpirschen	Anpirschen	\d	die	
_CBCEF9DCFCDF911F	Apothecary	Apotheker	Apotheker	ein	der	Apotheker	Apotheker	\d	die	
_E50B5464278A586C	Area	Bereich	Bereich	ein	der	Bereiche	Bereiche	\d	die	
_A02E8E8B369FED60	ArmorAndWeaponSmithing	Rüstungs- und Waffenherstellung	Rüstungs- und Waffenherstellung	eine	die	Rüstungs- und Waffenherstellung	Rüstungs- und Waffenherstellung	\d	die	
_E2731A39AAE9816C	ArtAndCraft	Kunst und Handwerk	Kunst und ein Handwerk	eine	die	Künste und Handwerke	Künste und Handwerke	\d	die	
_8455814A9EE48079	AttackKamisKnowledge	Wissen des Angriffskami	Wissen des Angriffskami	ein	das	Wissen des Angriffskami	Wissen des Angriffskami	\d	das	
_8A04698DCE729817	AtysianRegeneration	Atysianische Regeneration	Atysianische Regeneration	eine	die	Atysianische Regenerationen	Atysianische Regenerationen	\d	die	
_D807D07E6A5B34BA	Axe	Axt	Axt	eine	die	Äxte	Äxte	\d	die	
_53C7C27B0C319674	BackdraftStab	Explosiver Stoß	Explosiver Stoß	ein	der	Explosive Stöße	Explosive Stöße	\d	die	
_9254448C8BC44CBF	BadLuck	Unglück	Unglück	ein	das	Unglücke	Unglücke	\d	die	
_AAB7A4D2689BB7D6	BarehandedCombat	Waffenloser Kampf	Waffenloser Kampf	ein	der	Waffenlose Kämpfe	Waffenlose Kämpfe	\d	die	
_51B5E2642040F92E	BersekAttack	Wutausbruch	Wutausbruch	ein	der	Wutausbrüche	Wutausbrüche	\d	die	
_034E41F4E84E6D05	BlackSmithing	Schmiedekunst	Schmiedekunst	eine	die	Schmiedekünste	Schmiedekünste	\d	die	Schmiedekunst
_6488E439E408A06E	Bleeding	Blutung	Blutung	eine	die	Blutungen	Blutungen	\d	die	
_9F068632FF7DBDFA	BlindingRage	Blendende Wut	Blendende Wut	eine	die	Blendende Wut	Blendende Wut	\d	die	
_B570F9CF2243C4FF	BlindShot	Blinder Schuss 	Blinder Schuss	ein	der	Blinde Schüsse	Blinde Schüsse	\d	die	
_2069AC63EC3860C2	BowGun	Bogengewehr	Bogengewehr	eine	die	Bogengewehre	Bogengewehre	\d	die	
_EA6FD908AF68C4B5	BowPistol	Bogenpistole	Bogenpistole	eine	die	Bogenpistolen	Bogenpistolen	\d	die	
_AA485039A648C46E	Building	Gebäude	Gebäude	ein	das	Gebäude	Gebäude	\d	die	
_826324376D59B61B	BullyraggingBlast	entfesselte Explosion	entfesselte Explosion	eine	die	entfesselte Explosionen	entfesselte Explosionen	\d	die	
_819DB9C0A269C01D	Camouflage	Tarnung	Tarnung	eine	die	Tarnungen	Tarnungen	\d	die	
_6738B07AE379D0AE	Caravan	Karavan	Karavan	ein	der	Karavan	Karavan	\d	die	
_5399A67402334998	CerebralFever	Hirnfieber	Hirnfieber	ein	das	Hirnfieber	Hirnfieber	\d	die	
_08214E7346C2C666	ClothTailoring	Schneiderei	Schneiderei	eine	die	Schneiderei	Schneiderei	\d	die	
_A938E464D4A6E0A7	Cooking	Kochen	Kochen	\d	das	Kochen	Kochen	\d	das	
_5B0CD28FD6511A84	CreatureHatred	Kreaturenhass	Kreaturenhass	ein	der	Kreaturenhass	Kreaturenhass	\d	der	
_A6863C576A570092	Dagger	Dolch	Dolch	ein	der	Dolche	Dolche	\d	die	
_28D95463EC2808B8	Desert	Wüste	Wüste	eine	die	Wüsten	Wüsten	\d	die	
_542E1C74316D24D5	DesertExoticRawMaterialKnowledge	exotisches Rohstoffwissen der Wüste	exotisches Rohstoffwissen der Wüste	ein	das	exotisches Rohstoffwissen der Wüste	exotische Rohstoffwissen der Wüste	\d	das	
_5044C0743C307578	DesertKamisKnowledge	Wissen des Wüsten-Kami	Wissen des Wüsten-Kami	ein	das	Wissen des Wüsten-Kami	Wissen des Wüsten-Kami	\d	das	
_C8543E4DC74F5A49	DesertTravel	Wüstenreise	Wüstenreise	eine	die	Wüstenreisen	Wüstenreisen	\d	die	
_A718F0795EE7C8A5	Digging	Graben	Graben	ein	das	Graben	Graben	\d	das	
_3365C89800F89E01	DiscreetApproach	Vorsichtige Annäherung	Vorsichtige Annäherung	eine	die	Vorsichtige Annäherungen	Vorsichtigen Annäherungen	\d	die	
_296A8C9E68567C5E	Diving	Tauchen	Tauchen	\d	das	Tauchen	Tauchen	\d	das	
_2847B082E21804A0	Dodging	Ausweichbeherrschung	Ausweichbeherrschung	eine	die	Ausweichbeherrschungen	Ausweichbeherrschungen	\d	die	
_E966C451ADF7E0A0	Dragon	Drache	Drache	ein	der	Drachen	Drachen	\d	die	
_218AFC73A2649CAF	Dryade	Dryade	Dryade	eine	die	Dryaden	Dryaden	\d	die	
_EDC0E9E6A1776BF3	DualWield	Beidhändigkeit	Beidhändigkeit	eine	die	Beidhändigkeiten	Beidhändigkeiten	\d	die	
_6D8940BC243CECB4	Evaluate	Bewertung	Bewertung	eine	die	Bewertungen	Bewertungen	\d	die	
_15C6AC834EE6E4A5	FarShot	Fernschuss	Fernschuss	ein	der	Fernschüsse	Fernschüsse	\d	die	
_D31B758B716A6090	FarThrow	Fernwurf	Fernwurf	ein	der	Fernwürfe	Fernwürfe	\d	die	
_5D22C96802811266	FeverProtect	Fieberschutz	Fieberschutz	ein	der	Fieberschutze	Fieberschutze	\d	die	
_229735CB2C772FB6	FirstAid	Erste Hilfe	Erste Hilfe	eine	die	Erste Hilfen	Ersten Hilfen	\d	die	
_EBE92C87DE07C8A6	Fishing	Fischen	Fischen	\d	das	Fischen	Fischen	\d	das	
_AAE9A4666E5808B9	Forest	Wald	Wald	ein	der	Wälder	Wälder	\d	die	
_0B3E491A816D958B	ForestExoticRawMaterialKnowledge	exotisches Rohstoffwissen des Waldes	exotisches Rohstoffwissen des Waldes	ein	das	exotisches Rohstoffwissen des Waldes	exotische Rohstoffwissen des Waldes	\d	das	
_5034EC77FCC0A57B	ForestKamisKnowledge	Wissen des Wald-Kami	Wissen des Wald-Kami	ein	das	Wissen des Wald-Kami	Wissen des Wald-Kami	\d	das	
_C8446A5087DF8A4C	ForestTravel	Waldreise	Waldreise	eine	die	Waldreisen	Waldreisen	\d	die	
_F28A249AE4D71896	Frost	Frost	Frost	ein	der	Fröste	Fröste	\d	der	
_A6AB2C9934550CBC	Fyros	Fyros	Fyros	ein	der	Fyros	Fyros	\d	die	
_23D9DDD45B0AB0C7	FyrosGoods	Fyros Güter	Fyros Güter	\d	die	Fyros Güter	Fyros Güter	\d	die	
_A45654621F97C4BA	Goo	Goo	Goo	\d	das	Goo	Goo	\d	das	
_1AF57DBCEDF937C5	GreatAxe	Große Axt	Große Axt	eine	die	Große Äxte	Großen Äxten	\d	die	
_4030D5F2D884DCCE	GreatMass	Großer Streitkolben	Großer Streitkolben	ein	der	Große Streitkolben	Großen Streitkolben	\d	die	
_A9F7C08660A9FC8F	Grenade	Granate	Granate	eine	die	Granaten	Granaten	\d	die	
_08065EDC9EB37D73	GroundExtract	Boden Ernte	Boden Ernte	eine	die	Boden Ernten	Boden Ernten	\d	die	
_79F6AB61B9E5010C	HandToHand	Handkampf	Handkampf	ein	der	Handkämpfe	Handkämpfe	\d	die	
_26BBA88C9D73D4A7	Harpoon	Harpune 	Harpune	eine	die	Harpunen	Harpunen	\d	die	
_2BCE3B7A5BDACBB6	HarpoonHunting	Harpunenjagd	Harpunenjagd	eine	die	Harpunenjagden	Harpunenjagden	\d	die	
