*HASH_VALUE	skill ID	name	ia	da	p	pia	pda	description
_5979759B8A93795C	AcurateBleedingShot	Accurate Bleeding Shot 	an	the	Accurate Bleeding Shots 		the	
_0F7B36D368992032	AcurateBreathlessShot	Accurate Breathless Shot	an	the	Accurate Breathless Shots		the	
_BC36B3C3F3DCAAE5	AnimalSlideslip	Animal Slideslip	an	the	Animal Slideslips		the	
_789CFB66E3240290	AnimalStalking	Animal Stalking	an	the	Animal Stalkings		the	
_CBD079DCFCDF911F	Apothecary	Apothecary	an	the	Apothecaries		the	
_E50BD464278AD88C	Area	Area	an	the	Areas		the	
_A02E0ECB46A16D80	ArmorAndWeaponSmithing	Armor And Weapon Smithing			Armor And Weapon Smithing		the	
_EC3782B1B764528C	ArtAndCraft	Art And Craft		the	Arts And Crafts		the	
_8485014AA6E44CB9	AttackKamisKnowledge	Attack-Kamis Knowledge	an	the	Attack-Kamis Knowledge		the	
_9A04698DCE729857	AtysianRegeneration	Atysian Regeneration	an	the	Atysian Regenerations		the	
_E807D07E6A5B34BA	Axe	Axe	an	the	Axes		the	
_53C7427B1C311674	BackdraftStab	Backdraft Stab	a	the	Backdraft Stabs		the	
_A254448C9BC44CBF	BadLuck	Bad Luck	a	the	Bad Lucks		the	
_B2B7A412689B37D6	BarehandedCombat	Barehanded Combat	a	the	Barehanded Combats		the	
_51B5E2642044F96E	BersekAttack	Berserk Attack	a	the	Berserk Attacks		the	
_41FA850941AFA11F	BlackSmithing	Blacksmithing			Blacksmithing			
_9B58B47AA4088498	Bleeding	Bleeding			Bleedings		the	
_9F068632FF7FBD1A	BlindingRage	Blinding Rage	a	the	Blinding Rages		the	
_A07079EF2A9BD00B	BlindShot	Blind Shot 	a	the	Blind Shots		the	
_2069AC83EC3A60C2	BowGun	Bowgun	a	the	Bowguns		the	
_EA6F5908AF6AC4B5	BowPistol	Bowpistol	a	the	Bowpistols		the	
_E118207AA47894A1	Building	Building			Buildings		the	
_8263A437755BB63B	BullyraggingBlast	Bullyragging Blast	a	the	Bullyragging Blasts		the	
_819FB9E0A269C01D	Camouflage	Camouflage	a	the	Camouflage		the	
_6738B07AE379D0AE	Caravan	Karavan	a	the	Karavans		the	
_5399A6940A35C998	CerebralFever	Cerebral Fever	a	the	Cerebral Fevers		the	
_10214E7346C44686	ClothTailoring	Cloth Tailoring			Cloth Tailoring		the	
_A938E464E4A8E0A7	Cooking	Cooking			Cooking		the	
_B43E828EDE531A84	CreatureHatred	Creature Hatred	a	the	Creature Hatred		the	
_A6863C776A590092	Dagger	Dagger	a	the	Daggers		the	
_28D95483EC2A08B8	Desert	Desert	a	the	Deserts		the	
_64321CB4417124D5	DesertExoticRawMaterialKnowledge	Desert Exotic Raw Material Knowledge	a	the	Desert Exotic Raw Material Knowledge		the	
_9E81D1509077A986	DesertKamisKnowledge	Desert-Kami Knowledge	a	the	Desert-Kamis Knowledge		the	
_D0543E4DC74FDA89	DesertTravel	Desert Travel	a	the	Desert Travels		the	
_A7F88458E5B8E0A7	Digging	Digging			Diggings		the	
_336548B800FA1E01	DiscreetApproach	Discreet Approach	a	the	Discreet Approaches		the	
_660AA091ECD92CA0	Diving	Diving			Divings		the	
_2849B082EA1804A0	Dodging	Dodging	a	the	Dodgings		the	
_E966C471ADF9E0A0	Dragon	Dragon	a	the	Dragons		the	
_218AFC73AA689CAF	Dryade	Dryad	a	the	Dryads		the	
_EDC069E6A9796B13	DualWield	Dual Wield	a	the	Dual Wields		the	
_A2982C83689B14D5	Evaluate	Evaluate	an	the	Evaluates		the	
_25C6AC835EE6E4A5	FarShot	Far Shot	a	the	Far Shots		the	
_D31BF5AB716AE0B0	FarThrow	Far Throw	a	the	Far Throws		the	
_6524C96802819286	FeverProtect	Fever Protect	a	the	Fever Protects		the	
_2A97A0E82989AFB6	FirstAid	First Aid	a	the	First Aids		the	
_27A9D87E6B599C90	Fishing	Fishing			Fishings		the	
_AAE9A4866E5A08B9	Forest	Forest	a	the	Forests		the	
_1B40C95A916F95AB	ForestExoticRawMaterialKnowledge	Forest Exotic Raw Material Knowledge	a	the 	Forest Exotic Raw Material Knowledge		the	
_9E81F9521287D189	ForestKamisKnowledge	Forest-Kami Knowledge	a	the	Forest-Kamis Knowledge		the	
_D0446A5087DF0A8C	ForestTravel	Forest Travel	a	the	Forest Travels		the	
_F28A249AE4D998B6	Frost	Frost	a	the	Frosts		the	
_A6AB2C9934550CBC	Fyros	Fyros	a	the	Fyros		the	
_2BD9DDF45B0AB0C7	FyrosGoods	Fyros Goods			Fyros Goods		the	
_A729D462E87AD48A	Goo	Goo		the	Goo		the	
_22F57DDCEDFBB7C5	GreatAxe	Great Axe	a	the	Great Axes		the	
_44534B5AC0E0AD79	GreatMass	Great Mace	a	the	Great Maces		the	
_A9F9C08668A9FC8F	Grenade	Grenade	a	the	Grenades		the	
_08065EDCA6B5FD93	GroundExtract	Ground Extract	a	the	Ground Extracts		the	
_79FEAB61C9E5010C	HandToHand	Hand To Hand	a	the	Hand To Hand		the	
_2EBBA88CA573D4A7	Harpoon	Harpoon 	a	the	Harpoons		the	
_7CEDE3955515C196	HarpoonHunting	Underwater Hunting	a	the	Harpoon Huntings		the	
_685BB085AFC998AF	Harvest	Harvest	a	the	Harvests		the	
_AA026ED99657A448	HealingKamisKnowledge	Healing-Kami Knowledge	a	the	Healing Kamis Knowledge		the	
_8C56E5B75CD7FA84	HearWithering	Hearing Withering	a	the	Hearing Witherings		the	
_FE4A6384635B83AB	HeavyArmourWear	Wear Heavy Armor	a	the	Wear Heavy Armors		the	
_81544EE048F0E123	HeavyWeapon	Heavy Weapon	a	the	Heavy Weapons		the	
_25A6B87AE5F8FCA4	Hide	Hiding	a	the	Hidings		the	
_B16323A8635A04D1	HominOpponentConsiderWeapon	Homin Considering	a	the	Homin Considerings		the	
_AEA2EEE1D958A448	HuntingKamisKnowledge	Hunting-Kami Knowledge	a	the	Hunting Kamis Knowledge		the	
_EA6AC4A9F229689B	Jewellery	Jewelry		the	Jewelry		the	
