*HASH_VALUE	sphrase ID	name	named	* noms français	ia	da	p	pd	pia	pda	description
_D114DE6B770B08D3	abf01	Standardangriff	Standardangriff		ein	der	Standardangriffe	Standardangriffe		die	Standardangriffsaktion
_81948476F7C02C12	aBFMA01	Erhöhter Schaden 1	Erhöhter Schaden 1		ein	der	Erhöhte Schäden 1	Erhöhte Schäden 1		die	Erhöht den Schaden (bis zum Zweifachen), Maximaleffizienz bis zu empfohlener Fertigkeits-Stufe 10
_8194847637E02C12	aBFMA02	Erhöhter Schaden 2	Erhöhter Schaden 2		ein	der	Erhöhte Schäden 2	Erhöhte Schäden 2		die	Erhöht den Schaden (bis zum Zweifachen), Maximaleffizienz bis zu empfohlener Fertigkeits-Stufe 20
_819484A477002C12	aBFMA03	Erhöhter Schaden 3	Erhöhter Schaden 3		ein	der	Erhöhte Schäden 3	Erhöhte Schäden 3		die	Erhöht den Schaden (bis zum Zweifachen), Maximaleffizienz bis zu empfohlener Fertigkeits-Stufe 30.
_819484A4F9202C12	aBFMA04	Erhöhter Schaden 4	Erhöhter Schaden 4		ein	der	Erhöhte Schäden 4	Erhöhte Schäden 4		die	Erhöht den Schaden (bis zum Zweifachen), Maximaleffizienz bis zu empfohlener Fertigkeits-Stufe 45.
_819484A4F8602C12	aBFMA05	Erhöhter Schaden 5	Erhöhter Schaden 5		ein	der	Erhöhte Schäden 5	Erhöhte Schäden 5		die	Erhöht den Schaden (bis zum Zweifachen), Maximaleffizienz bis zu empfohlener Fertigkeits-Stufe 70.
_819484A438902C12	aBFMA06	Erhöhter Schaden 6	Erhöhter Schaden 6		ein	der	Erhöhte Schäden 6	Erhöhte Schäden 6		die	Erhöht den Schaden (bis zum Zweifachen), Maximaleffizienz bis zu empfohlener Fertigkeits-Stufe 90.
_81943CABB8202C12	aBFMA07	Erhöhter Schaden 7	Erhöhter Schaden 7		ein	der	Erhöhte Schäden 7	Erhöhte Schäden 7		die	Erhöht den Schaden (bis zum Zweifachen), Maximaleffizienz bis zu empfohlener Fertigkeits-Stufe 115.
_81943CA6BA302C12	aBFMA08	Erhöhter Schaden 8	Erhöhter Schaden 8		ein	der	Erhöhte Schäden 8	Erhöhte Schäden 8		die	Erhöht den Schaden (bis zum Zweifachen), Maximaleffizienz bis zu empfohlener Fertigkeits-Stufe 140.
_81943CAB7A402C12	aBFMA09	Erhöhter Schaden 9	Erhöhter Schaden 9		ein	der	Erhöhte Schäden 9	Erhöhte Schäden 9		die	Erhöht den Schaden (bis zum Zweifachen), Maximaleffizienz bis zu empfohlener Fertigkeits-Stufe 165.
_DDFF719D0E9B530E	aBFMA10	Erhöhter Schaden 10	Erhöhter Schaden 10		ein	der	Erhöhte Schäden 10	Erhöhte Schäden 10		die	Erhöht den Schaden (bis zum Zweifachen), Maximaleffizienz bis zu empfohlener Fertigkeits-Stufe 190.
_DDFF85964EAB530E	aBFMA11	Erhöhter Schaden 11	Erhöhter Schaden 11		ein	der	Erhöhte Schäden 11	Erhöhte Schäden 11		die	Erhöht den Schaden (bis zum Zweifachen), Maximaleffizienz bis zu empfohlener Fertigkeits-Stufe 215.
