*HASH_VALUE	sphrase ID	name	* noms français	ia	da	p	pia	pda	description		
_D114DE6B770B08D3	abf01	Ataque por Defecto		un	la				Acción de Combate Predeterminada		
_81948476F7C02C12	aBFMA01	Aumentar Daño 1		un	el				Aumenta el daño hasta el doble  -máxima eficiencia para un nivel de habilidad de 10.		
_8194847637E02C12	aBFMA02	Aumentar Daño 2		un	el				Aumenta el daño hasta el doble  -máxima eficiencia para un nivel de habilidad de 20.		
_819484A477002C12	aBFMA03	Aumentar Daño 3		un	el				Aumenta el daño hasta el doble - máxima eficiencia para un nivel de habilidad de 30		
_819484A4F9202C12	aBFMA04	Aumentar Daño 4		un	el				Aumenta el daño hasta el doble - máxima eficiencia para un nivel de habilidad de 45.		
_819484A4F8602C12	aBFMA05	Aumentar Daño 5		un	el				Aumenta el daño hasta el doble - máxima eficiencia para un nivel de habilidad de 70.		
_819484A438902C12	aBFMA06	Aumentar Daño 6		un	el				Aumenta el daño hasta el doble - máxima  eficiencia para un nivel de habilidad de 90.		
_81943CABB8202C12	aBFMA07	Aumentar Daño 7		un	el				Aumenta el daño hasta el doble - máxima eficiencia para un nivel de habilidad de 115.		
_81943CA6BA302C12	aBFMA08	Aumentar Daño 8		un	el				Aumenta el daño hasta el doble - máxima eficiencia para un nivel de habilidad de 140.		
_81943CAB7A402C12	aBFMA09	Aumentar Daño 9		un	el				Aumenta el daño hasta el doble - máxima eficiencia para un nivel de habilidad de 165.		
_DDFF719D0E9B530E	aBFMA10	Aumentar Daño 10		un	el				Aumenta el daño hasta el doble - máxima eficiencia para un nivel de habilidad de 190.		
_DDFF85964EAB530E	aBFMA11	Aumentar Daño 11		un	el				Aumenta el daño hasta el doble - máxima eficiencia para un nivel de habilidad de 215		
_DDFF719A4EBB530E	aBFMA12	Aumentar Daño 12		un	el				Aumenta el daño hasta el doble - máxima eficiencia para un nivel de habilidad de 240		
_DDFF859D4ECB530E	aBFMA13	Aumentar Daño 13		un 	el				Aumenta el daño hasta el doble - máxima eficiencia para un nivel de habilidad de 265		
