*HASH_VALUE	sphrase ID	name	* noms français	ia	da	p	pia	pda	description
_EB780A88A345A93D	abf01	Default Attack		a	the				Default combat action.
_48BD49B3F7B64DB5	aBFMA01	Increase Damage 1		an	the				Increases damage (to up to double) - maximum efficiency for a recommended skill level of 10
_88BD49B337C64DB5	aBFMA02	Increase Damage 2		an	the				Increases damage (to up to double) - maximum efficiency for a recommended skill level of 20
_C8BD49B377D64DB5	aBFMA03	Increase Damage 3		an	the				Increases damage (to up to double) - maximum efficiency for a recommended skill level of 30.
_09BD49B3B8E64DBA	aBFMA04	Increase Damage 4		an	the				Increases damage (to up to double) - maximum efficiency for a recommended skill level of 45.
_C9BD49B3F8F64DB5	aBFMA05	Increase Damage 5		an	the				Increases damage (to up to double) - maximum efficiency for a recommended skill level of 70.
_4ABD49B338064DB5	aBFMA06	Increase Damage 6		an	the				Increases damage (to up to double) - maximum efficiency for a recommended skill level of 90.
_D69D6828C581D96B	aBFMA07	Increase Damage 7		an	the				Increases damage (to up to double) - maximum efficiency for a recommended skill level of 115.
_D69D68280691C56E	aBFMA08	Increase Damage 8		an	the				Increases damage (to up to double) - maximum efficiency for a recommended skill level of 140.
_D69D682846A1D970	aBFMA09	Increase Damage 9		an	the				Increases damage (to up to double) - maximum efficiency for a recommended skill level of 165.
_0CB57DD48B0BDA63	aBFMA10	Increase Damage 10		an	the				Increases damage (to up to double) - maximum efficiency for a recommended skill level of 190.
_0CB57DD58B6BBA64	aBFMA11	Increase Damage 11		an	the				Increases damage (to up to double) - maximum efficiency for a recommended skill level of 215.
_0CB57DD68B2BC664	aBFMA12	Increase Damage 12		an	the				Increases damage (to up to double) - maximum efficiency for a recommended skill level of 240.
_0CB57DD78B8BCE64	aBFMA13	Increase Damage 13		an	the				Increases damage (to up to double) - maximum efficiency for a recommended skill level of 265.
_D6650FB1780DB8DE	aBFMC01	Accurate Attack 1		an	the				Reduces the chances of enemy dodging - maximum efficiency for a weapon with a recommended skill level of 20.
_D6B513B1B81DB8DE	aBFMC02	Accurate Attack 2		an	the				Reduces the chances of enemy dodging - maximum efficiency for a weapon with a recommended skill level of 35.
_D6651BB1F82DB8DE	aBFMC03	Accurate Attack 3		an	the				Reduces the chances of enemy dodging - maximum efficiency for a weapon with a recommended skill level of 50.
_D6B51FB1393DB8DE	aBFMC04	Accurate Attack 4		an	the				Reduces the chances of enemy dodging - maximum efficiency for a weapon with a recommended skill level of 65.
_D6652BB1794DB8DE	aBFMC05	Accurate Attack 5		an	the				Reduces the chances of enemy dodging - maximum efficiency for a weapon with a recommended skill level of 90.
_9FBFF4AFAC239D95	aBFMC06	Accurate Attack 6		an	the				Reduces the chances of enemy dodging - maximum efficiency for a weapon with a recommended skill level of 115.
_5EEFF4AFEC339D95	aBFMC07	Accurate Attack 7		an	the				Reduces the chances of enemy dodging - maximum efficiency for a weapon with a recommended skill level of 140.
_5E1FF4AF2D439D95	aBFMC08	Accurate Attack 8		an	the				Reduces the chances of enemy dodging - maximum efficiency for a weapon with a recommended skill level of 170.
_5EAFF8AF6D539D95	aBFMC09	Accurate Attack 9		an	the				Reduces the chances of enemy dodging - maximum efficiency for a weapon with a recommended skill level of 200.
_D1679C7F58FB8B77	aBFMC10	Accurate Attack 10		an	the				Reduces the chances of enemy dodging - maximum efficiency for a weapon with a recommended skill level of 235.
_D2679C80580B8B77	aBFMC11	Accurate Attack 11		an	the				Reduces the chances of enemy dodging - maximum efficiency for a weapon with a recommended skill level of 275.
_9D83D6B880CD8218	aBFMD01	Bleeding 1		a	the				Causes extra damage (based on the initial hit) for 10 s - maximum efficiency for a weapon with a recommended skill level of 25.
_9D83D6B980DD8618	aBFMD02	Bleeding 2		a	the				Causes extra damage (based on the initial hit) for 10 s - maximum efficiency for a weapon with a recommended skill level of 35.
_9D83D6BA809D8E18	aBFMD03	Bleeding 3		a	the				Causes extra damage (based on the initial hit) for 10 s - maximum efficiency for a weapon with a recommended skill level of 50.
