*HASH_VALUE	title_id	name	women_name
_C27F65FEE99C5036	gn_apprentice_tracer	Apprentice Tracer	
_7F3E91DD23C6651F	gn_bandit_bountybeaches_1	Blood Rooters	
_C53D8D3533B1790F	gn_bandit_bountybeaches_2	Bounty Snatchers	
_3E7B70E3ECBA5115	gn_bandit_bountybeaches_3	Infamous Five	
_37A9127C4ABCBCE0	gn_bandit_citiesofintuition_1	Birds of Omen	
_3F5B0C14CB0E21F1	gn_bandit_citiesofintuition_2	Zora Kovans	
_57E4B19BC9AF260B	gn_bandit_citiesofintuition_3	Eyes of Intuition	
_448EF90B66A614CE	gn_bandit_dunesofexil_1	Ridge Ravagers	
_A788B0A2E6C760B4	gn_bandit_dunesofexil_2	Waylayers	
_C69E51219ED7DC5B	gn_bandit_dunesofexil_3	Dyron Dragons	
_E718611C1F0788AA	gn_bandit_dunesofexil_4	Firebooters	
_C4BE65A0844B690C	gn_bandit_enchantedisle_1	Tyler's Rippers	
_9ADF725B7C1C1806	gn_bandit_enchantedisle_2	Magicians of Malice	
_3F3E09153DEF6D16	gn_bandit_enchantedisle_3	Bucking Mektoubs	
_01AC1C6DF31F1510	gn_bandit_fleetinggarden_1	Green Ravishers	
_B5172C0DEA700512	gn_bandit_fleetinggarden_2	Deadened Eyes	
_7F8B7009241C4904	gn_bandit_fleetinggarden_3	High Watchers	
_3937401685703D0C	gn_bandit_fleetinggarden_4	Fleeting Lords	
_3C9C380C9FE53D11	gn_bandit_fleetinggarden_5	Seed Addicts	
_F18AE58CB2BF35EC	gn_bandit_forbidden_depths_1	Eva's Empalers	
_D66D610C6879888A	gn_bandit_forbidden_depths_2	Slicers	
_1EC30E8485DFF1BB	gn_bandit_forbidden_depths_3	Beastie Bandits	
_68381E88C26F31EA	gn_bandit_forbidden_depths_4	Dragon Dodgers	
_070E0D04128AA908	gn_bandit_frahartowers_1	Canyon Creepers	
_807011C2371D8918	gn_bandit_frahartowers_2	Stunning Stavons	
_862C50089D53D90A	gn_bandit_frahartowers_3	Swords of Fury	
_008F41019353BD07	gn_bandit_frahartowers_4	Frahar Blazers	
_EF311E8103FE91EB	gn_bandit_gate_of_obscurity_1	Heart Breakers	
_5353A573E4E0A660	gn_bandit_gate_of_obscurity_2	Merchants of Terror	
_67C6E27B09DF09BD	gn_bandit_gate_of_obscurity_3	Valley Busters	
_5875CA8281BE599C	gn_bandit_gate_of_obscurity_4	Scarlet Loafers	
_23CC358CC1AF71D0	gn_bandit_groveofconfusion_1	Madding Maids	
_B99BFC8849AFB5EF	gn_bandit_groveofconfusion_2	Grove Tyrants	
_5092C28CC3AF65A9	gn_bandit_groveofconfusion_3	Slashing Slathes	
_825D4501D593E01A	gn_bandit_groveofumbra_1	Killer Queens	
_7E4E990951939D19	gn_bandit_groveofumbra_2	Spleen Busters	
_A45789F0595597AD	gn_bandit_groveofumbra_3	Black Lams	
_25685DF79B872862	gn_bandit_groveofumbra_4	Dare Doers	
_80DF8592A819BD17	gn_bandit_havenofpurity_1	Skelter Punks	
_00AEEDE21EFCA10E	gn_bandit_havenofpurity_2	Homin Hounders	
_EEFECD94463195ED	gn_bandit_havenofpurity_3	Flights of Fury	
_819D2D8F82D0311E	gn_bandit_hereticshovel_1	Channel Gaugers	
_5A43C5037F2F0642	gn_bandit_hereticshovel_2	Heathens of the Hovel	
_43EDE1E15F559421	gn_bandit_hereticshovel_3	Hovel Spooks	
