*HASH_VALUE	title_id	name	women_name	
_C27F65FEE99C5036	gn_apprentice_tracer	Aprendiz de trazador		
_7F3E91DD23C6651F	gn_bandit_bountybeaches_1	Hinchas de Sangre		
_C53D8D3533B1790F	gn_bandit_bountybeaches_2	Ladrones de Recompensas		
_3E7B70E3ECBA5115	gn_bandit_bountybeaches_3	Cinco Infames		
_37A9127C4ABCBCE0	gn_bandit_citiesofintuition_1	Aves de Mal Agüero		
_3F5B0C14CB0E21F1	gn_bandit_citiesofintuition_2	Kovans de Zora		
_57E4B19BC9AF260B	gn_bandit_citiesofintuition_3	Ojos de la Intuición		
_448EF90B66A614CE	gn_bandit_dunesofexil_1	Saqueadores de las Colinas		
_A788B0A2E6C760B4	gn_bandit_dunesofexil_2	Waylayers		
_C69E51219ED7DC5B	gn_bandit_dunesofexil_3	Dragones de Dyron		
_E718611C1F0788AA	gn_bandit_dunesofexil_4	Gestor de Arranque de Fuego		
_C4BE65A0844B690C	gn_bandit_enchantedisle_1	Destripadores de Tyler		
_9ADF725B7C1C1806	gn_bandit_enchantedisle_2	Magos de la Malicia		
_3F3E09153DEF6D16	gn_bandit_enchantedisle_3	Mektoubs Tronzados		
_01AC1C6DF31F1510	gn_bandit_fleetinggarden_1	Raptores Verdes		
_B5172C0DEA700512	gn_bandit_fleetinggarden_2	Ojos de Impasibilidad		
_7F8B7009241C4904	gn_bandit_fleetinggarden_3	Observadores de las Alturas		
_3937401685703D0C	gn_bandit_fleetinggarden_4	Los Señores Fugaces		
_3C9C380C9FE53D11	gn_bandit_fleetinggarden_5	Adictos de la Semilla		
_F18AE58CB2BF35EC	gn_bandit_forbidden_depths_1	Los Empaladores de Eva		
_D66D610C6879888A	gn_bandit_forbidden_depths_2	Cortadoras		
_1EC30E8485DFF1BB	gn_bandit_forbidden_depths_3	Bandidos Bestias		
_68381E88C26F31EA	gn_bandit_forbidden_depths_4	Esquivadores del Dragón		
_070E0D04128AA908	gn_bandit_frahartowers_1	Trepadoras del Canon		
_807011C2371D8918	gn_bandit_frahartowers_2	Stavons Impresionantes		
_862C50089D53D90A	gn_bandit_frahartowers_3	Espadas de Furia		
_008F41019353BD07	gn_bandit_frahartowers_4	Chaquetas de Frahar		
_EF311E8103FE91EB	gn_bandit_gate_of_obscurity_1	Rompe Corazones		
_5353A573E4E0A660	gn_bandit_gate_of_obscurity_2	Comerciantes del Terror		
_67C6E27B09DF09BD	gn_bandit_gate_of_obscurity_3	Destructores del Valle		
_5875CA8281BE599C	gn_bandit_gate_of_obscurity_4	Mocasines Escarlata		
_23CC358CC1AF71D0	gn_bandit_groveofconfusion_1	Criadas Enloquecedoras		
_B99BFC8849AFB5EF	gn_bandit_groveofconfusion_2	Tiranos del Bosque		
_5092C28CC3AF65A9	gn_bandit_groveofconfusion_3	Cuchillada Slashing Slathes		
_825D4501D593E01A	gn_bandit_groveofumbra_1	Reinas Asesinas		
_7E4E990951939D19	gn_bandit_groveofumbra_2	Bazo/mal humor Busters		
_A45789F0595597AD	gn_bandit_groveofumbra_3	Fugitivos Negros		
_25685DF79B872862	gn_bandit_groveofumbra_4	Hacedores Atrevidos		
_80DF8592A819BD17	gn_bandit_havenofpurity_1	Punks Locos y Desordenados		
_00AEEDE21EFCA10E	gn_bandit_havenofpurity_2	Perseguidores de Homins		
_EEFECD94463195ED	gn_bandit_havenofpurity_3	Vuelos de Furia		
_819D2D8F82D0311E	gn_bandit_hereticshovel_1	Medidor/Calibrador de Canal		
_5A43C5037F2F0642	gn_bandit_hereticshovel_2	Paganos de las Choza		
_43EDE1E15F559421	gn_bandit_hereticshovel_3	Fantasmas del Tugurio		
_E8C8B4A11DB87494	gn_bandit_hiddensource_1	Estropeadores		
_85BF1D09DBA72848	gn_bandit_hiddensource_2	Constructores del Infierno		
_E6EF550D9193AC4F	gn_bandit_hiddensource_3	Las palabrotas de Jena		
_B1BE56506C2069A3	gn_bandit_imperialdunes_1	Ojo del Dragón 		
_44DEA9CFA8D93016	gn_bandit_imperialdunes_2	Acosadores de las Dunas		
_88BEC9E2E8CBF0D2	gn_bandit_imperialdunes_3	Trituradores de Pyr		
_3DE9C1DF93DB6519	gn_bandit_imperialdunes_4	Paganos de Pyr		
_447BD4C0CA6F2519	gn_bandit_knollofdissent_1	Asaltantes de la Frontera		
_1D51A486CADEE1D6	gn_bandit_knollofdissent_2	Invasores de la Frontera		
_712BF97BC66E45FC	gn_bandit_knollofdissent_3	Invasores de los Acantilados Altos		
_898B54126C39B32A	gn_bandit_knollofdissent_4	Degolladores		
_29BD64056C2984B5	gn_bandit_knollofdissent_5	Trilladores (Tipo de Ave)		
_05FB700F2D189428	gn_bandit_knollofdissent_6	Gestores de Arranque con fuego		
_B8DE2964BE3FF51F	gn_bandit_knotofdementia_1	Hermanos Intimidadores/Atemorizadores		
_42ACE4BE27449922	gn_bandit_knotofdementia_2	Espina de Zora		
_02BC600EFBFB7517	gn_bandit_knotofdementia_3	Brincadores de Zora		
_454C6873F12F95FB	gn_bandit_lagoonsofloria_1	Perezosos/Vagos del Pantano		
_7E7CD4CDE8FFC503	gn_bandit_lagoonsofloria_2	Fylers de la Laguna		
_B8678CD4C57EC104	gn_bandit_lagoonsofloria_3	Compañeros de Diller		
_414B940EA0D4D4A9	gn_bandit_lagoonsofloria_4	Compañeros del Fango		
_BBA94714E89F8D11	gn_bandit_lagoonsofloria_5	Damas Condenadas		
_5A81286630BAA17F	gn_bandit_lagoonsofloria_6	Siete Espadas del Pecado		
_853D39269E827D01	gn_bandit_libertylake_1		Piratas de La Libertad	
_C33DD9A4BBCC0DF2	gn_bandit_libertylake_2		Peleteros de Cristabell 	
_C48B0C2CE3A27DFE	gn_bandit_libertylake_3		Amigos de la Furia	
_859D151821D34719	gn_bandit_maidengrove_1		Bandidos de las Sombras	
_C4AD4D23E4F514C2	gn_bandit_maidengrove_2		Estropajos de la Llanura	
_954E7508A1E5847B	gn_bandit_maidengrove_3		Vagos del Lago	
_77B82012736F81FF	gn_bandit_majesticgarden_1	Ira de Natae		
_BFCDA06D471A1814	gn_bandit_majesticgarden_2	Cambio de la Marea		
_BBB90F16F55F3528	gn_bandit_majesticgarden_3	Embrague de Davae		
_3DDBA036073F4510	gn_bandit_majesticgarden_4	Encantadores de Avalae		
_7D2BA0C38A701116	gn_bandit_majesticgarden_5	Plagas de la Frontera		
_A67AE5E00EB6D4A6	gn_bandit_nexus_1		Rebeldes del Oeste	
_66C7F870257908B4	gn_bandit_nexus_2		Vigilantes de las Alturas	
_AA4738F5A1D50CB5	gn_bandit_nexus_3		Estranguladores de Nexus	
_F24DB97A15FAC4C1	gn_bandit_nexus_4		Lanzadores del Nudo	
_395EDDB991CA791B	gn_bandit_oflovaksoasis_1	Aliento de Dragón 		
_3AADF5CA915BA516	gn_bandit_oflovaksoasis_2	Jinetes de las Sombras		
_E95EAA4E7B4091E8	gn_bandit_oflovaksoasis_3	Ángeles del Dragón de Fuego		
_7EED459A7E214513	gn_bandit_oflovaksoasis_4	Piratas informáticos de Cabeza Caliente		
_097D11F65653A92A	gn_bandit_outlawcanyon_1	Forajidos del Canon		
_C50D79A49C6E5D25	gn_bandit_outlawcanyon_2	Llamas de Combate		
_2B075DF25CA7DCA5	gn_bandit_outlawcanyon_3	Bucaneros		
_80AF15F78A007C0B	gn_bandit_sawdustmines_1	Estocadores de Vinni		
_80FE55F21BB920D0	gn_bandit_sawdustmines_2	Rompe Huesos		
_1A275BDD3C0FFD72	gn_bandit_sawdustmines_3	Bandidos de las Dunas Arboladas		
_2D263E7D7E7B50E1	gn_bandit_the_abyss_of_ichor_1	Traficantes de la Muerte		
_DBF5AE38007CE076	gn_bandit_the_abyss_of_ichor_2	Asesinos de Ichor		
_DD01CFF581BFE161	gn_bandit_the_abyss_of_ichor_3	Centinelas de la Savia		
_3EC02929A45C68F9	gn_bandit_the_abyss_of_ichor_4	Marauders		
_07960A91C4FC90AA	gn_bandit_the_elusive_forest_1	Demonios del Lino		
_74EF4296893C44CC	gn_bandit_the_elusive_forest_2	Guerreros Marrones		
_74EF2D8D450C48D1	gn_bandit_the_elusive_forest_3	Aflicción Verde		
_D933A2426C500E77	gn_bandit_the_land_of_continuty_1	Regionarios de las Dunas		
_8A6C2BBB9371E25E	gn_bandit_the_land_of_continuty_2	Princesas de las Raíces Primarias		
_60F36E2D6CBF1A71	gn_bandit_the_land_of_continuty_3	Caverna de la Cigüeñas		
_D9347E2F6CBF417B	gn_bandit_the_land_of_continuty_4	Amigos del Dragón 		
_9EF3BA7F1956AA6C	gn_bandit_the_land_of_continuty_5	Zanjadores Intransigentes		
_3EDC0515DC1061F9	gn_bandit_the_sunken_city_1	Hermanas del Alma		
_E1EC2927EF5A9486	gn_bandit_the_sunken_city_2	Cascabeles		
_73C7FD302E5131EF	gn_bandit_the_sunken_city_3	Jaks Rasgadores		
_3B80A1980BEF5003	gn_bandit_the_sunken_city_4	Gotas de Goo Amoroso		
_001E69F6F50F5505	gn_bandit_the_trench_of_trials_1	Explosiones		
_96D47E8F0D24E671	gn_bandit_the_trench_of_trials_2	Paganos de las Tierras Altas		
_1A94661692153A64	gn_bandit_the_trench_of_trials_3	Bandidos de Bigmount		
_49451A6B8CA7FE5F	gn_bandit_the_under_spring_1	Linchadores de Bajo la Primavera		
_1D8FD191C4D07DBF	gn_bandit_the_under_spring_2	Cigüeñas de las Galletas		
_295A1A8605213D00	gn_bandit_the_under_spring_3	Stavons Espeluznantes		
_32AEF51BA88A9CFF	gn_bandit_the_under_spring_4	Silenciadores		
_BC6DED7F3D618DAE	gn_bandit_the_windy_gate_1	Chicas Rompecorazones		
_3CC6DD543131A9BB	gn_bandit_the_windy_gate_2	Trapos Limpiadores de la Puerta del Viento		
_C21EA03BC6F025F9	gn_bandit_the_windy_gate_3			
_DA589CB42947D47D	gn_bandit_thefount_1		Prakkers	
_96A58730EEE9A872	gn_bandit_thefount_2		Vejetes/Capataces del Manantial	
_F1060D99053850E3	gn_bandit_thefount_3		Filibusteros de la Fuente	
_C7FFA120E9487C64	gn_bandit_thefount_4		Guardaparques de la Libertad	
_46631112F45E8D85	gn_bandit_thesavagedunes_1	Malvado de los Bosques		
_7B8DE82EC87E6524	gn_bandit_thesavagedunes_2	Acuchilladores Salvajes		
_FC3C24DFDBAF8D0E	gn_bandit_thesavagedunes_3	Puñaleros del Canal		
_7E04E081859F25C4	gn_bandit_thesavagedunes_4	Ladrones de Thesos		
_5660570DDCB1FE6F	gn_bandit_thescorchedcorridor_1	Cortadores Subterráneos/Clandestinos		
_1B34DAA9C1191008	gn_bandit_thescorchedcorridor_2	Sabuesos de los Túneles		
_9C85EA7E293CE28C	gn_bandit_thescorchedcorridor_3	Perros Callejeros		
_207C211BE8E86C54	gn_bandit_thevoid_1	Rebeldes Clandestinos		
