creature ID	name	ia	da	cc	pr	p	pia	pda
caaga1	Pure Baldusa	a	the			Pure Baldusas		the
caaga2	Unpolluted Baldusa	an	the			Unpolluted Baldusas		the
caaga3	Corrupt Baldusa	a	the			Corrupt Baldusas		the
caaga4	Contaminated Baldusa	a	the			Contaminated Baldusas		the
caagb1	Contaminated Baldusa	a	the			Contaminated Baldusas		the
caagb2	Infected Baldusa	an	the			Infected Baldusas		the
caagb3	Tainted Baldusa	a	the			Tainted Baldusas		the
caagb4	Foul Baldusa	a	the			Foul Baldusas		the
caagc1	Foul Baldusa	a	the			Foul Baldusas		the
caagc2	Sullied Baldusa	a	the			Sullied Baldusas		the
caagc3	Blighted Baldusa	a	the			Blighted Baldusas		the
caagc4	Poisoned Baldusa	a	the			Poisoned Baldusas		the
caagd1	Poisoned Baldusa	a	the			Poisoned Baldusas		the
caagd2	Obnoxious Baldusa	an	the			Obnoxious Baldusas		the
caagd3	Sickly Baldusa	a	the			Sickly Baldusas		the
caagd4	Pestiferous Baldusa	a	the			Pestiferous Baldusas		the
caage1	Pestiferous Baldusa	a	the			Pestiferous Baldusas		the
caage2	Putrescent Baldusa	a	the			Putrescent Baldusas		the
caage3	Ravaged Baldusa	a	the			Ravaged Baldusas		the
caage4	Viscous Baldusa	a	the			Viscous Baldusas		the
caagf1	Viscous Baldusa	a	the			Viscous Baldusas		the
caagf2	Festering Baldusa	a	the			Festering Baldusas		the
caagf3	Demented Baldusa	a	the			Demented Baldusas		the
caala1	Dumn Baldusa	a	the			Dumn Baldusas		the
caala2	Tranquil Baldusa	a	the			Tranquil Baldusas		the
caala3	Calm Baldusa	a	the			Calm Baldusas		the
caala4	Docile Baldusa	a	the			Docile Baldusas		the
caapa1	Murky Baldusa	a	the			Murky Baldusas		the
caapa2	Nocturnal Baldusa	a	the			Nocturnal Baldusas		the
caapa3	Sullen Baldusa	a	the			Sullen Baldusas		the
caapa4	Lugubrious Baldusa	a	the			Lugubrious Baldusas		the
caapb1	Lugubrious Baldusa	a	the			Lugubrious Baldusas		the
caapb2	Dreadful Baldusa	a	the			Dreadful Baldusas		the
