item ID	name	ia	da	p	pia	pda	description								
barman_bottle	Barman's bottle	a	the	Barman's bottles		the									
big_barrel	Big barrel	a	the	Big barrels		the									
big_living_sculpture	Big living sculpture	a	the	Big living sculptures		the									
black_medicine	Black medicine	a	the	Black medicines		the									
blood_vial	Blood vial	a	the	Blood vials		the									
blue_medicine	Blue medicine	a	the	Blue medicines		the									
botanist_letter	Botanist's letter	a	the	Botanist's letters		the									
botanist_vial	Botanist's vial	a	the	Botanist's vials		the									
bottle	Bottle	a	the	Bottles		the									
casket	Casket	a	the	Caskets		the									
crystalized_spell	Crystalized Spell	a	the	Crystalized Spell		the									
cure_expert_letter	Cure expert's letter	a	the	Cure expert's letters		the									
fv_arrowhead	Strange arrowhead	a	the	Strange arrowheads		the									
fv_seal1	Miner's seal	a	the	Miner's seals		the									
fy_cheveux_long01	Fyros long hair	a	the	Fyros long hair		the									
fy_cheveux_medium01	Fyros medium hair	a	the	Fyros medium hair		the									
fy_cheveux_shave01	Fyros shaved hair	a	the	Fyros shaved hair		the									
fy_cheveux_short01	Fyros short hair	a	the	Fyros short hair		the									
fy_visage	Fyros mask	a	the	Fyros masks		the									
goo_swarmplants_fiber	goo swarmplants fiber			goo swarmplants fibers		the									
goo_swarmplants_fruit	goo swarmplants fruit			goo swarmplants fruit		the									
goo_vampignon_fungus	goo vampignon fungus			goo vampignon fungi		the									
goo_varinx_blood	goo varinx blood			goo varinx blood		the									
goo_yber_sticky_glands	goo yber sticky gland			goo yber sticky glands		the									
green_liquid_vial	Green liquid vial	a	the	Green liquid vials		the									
green_medicine	Green medicine	a	the	Green medicines		the									
guard_scroll	Guard's scroll	a	the	Guard's scrolls		the									
heavy_armors_acreditation	Heavy armor acreditation	a	the	Heavy armor acreditations		the									
heavy_conch	Heavy conch	a	the	Heavy conches		the									
heavy_package	Heavy package	a	the	Heavy packages		the									
iccm1bm	Mace	a	the	Maces		the									
iccm1bs	Staff	a	the	Staffs		the									
iccm1pd	Dagger	a	the	Daggers		the									
iccm1ps	Lance	a	the	Lances		the									
iccm1sa	Axe	a	the	Axes		the									
iccm1ss	Sword	a	the	Swords		the									
iccm2bm	Long Mace	a	the	Long Maces		the									
iccm2pp	Pike	a	the	Pikes		the									
iccm2sa	Long Axe	a	the	Long Axes		the									
iccm2ss	Long Sword	a	the	Long Swords		the									
iccp1bb	Bowpistol Blunting Ammo	a	the	Bowpistol Blunting Ammo		the									
iccp1bp	Bowpistol Piercing Ammo	a	the	Bowpistol Piercing Ammo		the									
iccp1bs	Bowpistol Slashing Ammo	a	the	Bowpistol Slashing Ammo		the									
iccp1gb	Grenade Blunting Ammo	a	the	Grenade Blunting Ammo		the									
iccp1gp	Grenade Piercing Ammo	a	the	Grenade Piercing Ammo		the									
iccp1gs	Grenade Slashing Ammo	a	the	Grenade Slashing Ammo		the									
iccp1pb	Pistol Blunting Ammo	a	the	Pistol Blunting Ammo		the									
iccp1pp	Pistol Piercing Ammo	a	the	Pistol Piercing Ammo		the									
iccp1ps	Pistol Slashing Ammo	a	the	Pistol Slashing Ammo		the									
iccp2ab	Autolauncher Blunting Ammo	a	the	Autolauncher Blunting Ammo		the									
iccp2ap	Autolauncher Piercing Ammo	a	the	Autolauncher Piercing Ammo		the									
iccp2as	Autolauncher Slashing Ammo	a	the	Autolauncher Slashing Ammo		the									
iccp2bb	Bowrifle Blunting Ammo	a	the	Bowrifle Blunting Ammo		the									
iccp2bp	Bowrifle Piercing Ammo	a	the	Bowrifle Piercing Ammo		the									
iccp2bs	Bowrifle Slashing Ammo	a	the	Bowrifle Slashing Ammo		the									
iccp2lb	Launcher Blunting Ammo	a	the	Launcher Blunting Ammo		the									
iccp2lp	Launcher Piercing Ammo	a	the	Launcher Piercing Ammo		the									
iccp2ls	Launcher Slashing Ammo	a	the	Launcher Slashing Ammo		the									
iccp2rb	Rifle Blunting Ammo	a	the	Rifle Blunting Ammo		the									
iccp2rp	Rifle Piercing Ammo	a	the	Rifle Piercing Ammo		the									
iccp2rs	Rifle Slashing Ammo	a	the	Rifle Slashing Ammo		the									
iccr1b	Bowpistol	a	the	Bowpistols		the									
iccr1p	Pistol	a	the	Pistols		the									
iccr2a	Autolauncher	a	the	Autolaunchers		the									
iccr2b	Bowrifle	a	the	Bowrifles		the									
iccr2l	Launcher	a	the	Launchers		the									
iccr2r	Rifle	a	the	Rifles		the									
iccsb	Buckler	a	the	Bucklers		the									
iccss	Shield	a	the	Shields		the									
icfahb	Fyros Heavy Boots	a	the	Fyros Heavy Boots		the									
icfahg	Fyros Heavy Gloves	a	the	Fyros Heavy Gloves		the									
icfahh	Fyros Heavy Helmet	a	the	Fyros Heavy Helmets		the									
icfahp	Fyros Heavy Pants	a	the	Fyros Heavy Pants		the									
icfahs	Fyros Heavy Sleeves	a	the	Fyros Heavy Sleeves		the									
icfahv	Fyros Heavy Vest	a	the	Fyros Heavy Vests		the									
icfalb	Fyros Light Boots	a	the	Fyros Light Boots		the									
icfalg	Fyros Light Gloves	a	the	Fyros Light Gloves		the									
icfalp	Fyros Light Pants	a	the	Fyros Light Pants		the									
icfals	Fyros Light Sleeves	a	the	Fyros Light Sleeves		the									
icfalv	Fyros Light Vest	a	the	Fyros Light Vests		the									
icfamb	Fyros Medium Boots	a	the	Fyros Medium Boots		the									
icfamg	Fyros Medium Gloves	a	the	Fyros Medium Gloves		the									
icfamp	Fyros Medium Pants	a	the	Fyros Medium Pants		the									
icfams	Fyros Medium Sleeves	a	the	Fyros Medium Sleeves		the									
icfamv	Fyros Medium Vest	a	the	Fyros Medium Vests		the									
icfja	Fyros Anklet	a	the	Fyros Anklets		the									
icfjb	Fyros Bracelet	a	the	Fyros Bracelets		the									
icfjd	Fyros Diadem	a	the	Fyros Diadems		the									
icfje	Fyros Earring	a	the	Fyros Earrings		the									
icfjp	Fyros Pendant	a	the	Fyros Pendants		the									
icfjr	Fyros Ring	a	the	Fyros Rings		the									
icfm1bm	Fyros Mace	a	the	Fyros Maces		the									
icfm1bs	Fyros Staff	a	the	Fyros Staffs		the									
icfm1pd	Fyros Dagger	a	the	Fyros Daggers		the									
icfm1ps	Fyros Lance	a	the	Fyros Lances		the									
icfm1sa	Fyros Axe	a	the	Fyros Axes		the									
icfm1sab	Burning Axe	a	the	Burning Axes		the									
icfm1ss	Fyros Sword	a	the	Fyros Swords		the									
icfm2bm	Fyros Long Mace	a	the	Fyros Long Maces		the									
icfm2pp	Fyros Pike	a	the	Fyros Pikes		the									
icfm2sa	Fyros Long Axe	a	the	Fyros Long Axes		the									
icfm2sab	Burning Long Axe	a	the	Burning Long Axes		the									
icfm2ss	Fyros Long Sword	a	the	Fyros Long Swords		the									
icfm2ssb	Burning Long Sword	a	the	Burning Long Swords		the									
icfp1bb	Fyros Bowpistol Blunting Ammo	a	the	Fyros Bowpistol Blunting Ammo		the									
icfp1bp	Fyros Bowpistol Piercing Ammo	a	the	Fyros Bowpistol Piercing Ammo		the									
icfp1bs	Fyros Bowpistol Slashing Ammo	a	the	Fyros Bowpistol Slashing Ammo		the									
icfp1gb	Fyros Grenade Blunting Ammo	a	the	Fyros Grenade Blunting Ammo		the									
icfp1gp	Fyros Grenade Piercing Ammo	a	the	Fyros Grenade Piercing Ammo		the									
icfp1gs	Fyros Grenade Slashing Ammo	a	the	Fyros Grenade Slashing Ammo		the									
icfp1pb	Fyros Pistol Blunting Ammo	a	the	Fyros Pistol Blunting Ammo		the									
icfp1pp	Fyros Pistol Piercing Ammo	a	the	Fyros Pistol Piercing Ammo		the									
icfp1ps	Fyros Pistol Slashing Ammo	a	the	Fyros Pistol Slashing Ammo		the									
icfp2ab	Fyros Autolauncher Blunting Ammo	a	the	Fyros Autolauncher Blunting Ammo		the									
icfp2ap	Fyros Autolauncher Piercing Ammo	a	the	Fyros Autolauncher Piercing Ammo		the									
icfp2as	Fyros Autolauncher Slashing Ammo	a	the	Fyros Autolauncher Slashing Ammo		the									
icfp2bb	Fyros Bowrifle Blunting Ammo	a	the	Fyros Bowrifle Blunting Ammo		the									
icfp2bp	Fyros Bowrifle Piercing Ammo	a	the	Fyros Bowrifle Piercing Ammo		the									
icfp2bs	Fyros Bowrifle Slashing Ammo	a	the	Fyros Bowrifle Slashing Ammo		the									
icfp2lb	Fyros Launcher Blunting Ammo	a	the	Fyros Launcher Blunting Ammo		the									
icfp2lp	Fyros Launcher Piercing Ammo	a	the	Fyros Launcher Piercing Ammo		the									
