placeId	name	da	pr	p	pda	ppr
region_majesticgarden	Majestic Garden	the				
region_fleetinggarden	Fleeting Garden	the				
region_groveofconfusion	Grove of Confusion	the				
region_hiddensource	Hidden Source	the				
region_knollofdissent	Knoll of Dissent	the				
region_upperbog	Upper Bog	the				
region_hereticshovel	Heretic's Hovel	the				
place_yrkanis	Yrkanis	the				
place_davae	Davae	the				
place_natae	Natae	the				
place_arena	Arena	the				
place_avalae	Avalae	the				
continent_matis	Verdant heights	the				
region_nland	Matisian Forest	the				
matis_nland	Matis Island	the				
place_stalli	Stalli					
place_borea	Borea					
place_nistia	Nistia					
place_rosilio	Rosilio					
place_miani	Miani					
region_nexus	Nexus	the				
continent_nexus	Nexus Minor	the				
region_the_under_spring	Under Spring	the				
continent_sources	Under Spring	the				
region_the_abyss_of_ichor	Abyss of Ichor	the				
continent_bagne	Abyss of Ichor	the				
region_the_land_of_continuty	Land of Continuity	the				
region_the_sunken_city	Sunken City	the				
region_forbidden_depths	Forbidden Depths	the				
continent_terre	Wastelands	the				
region_the_windy_gate	Windy Gate	the				
region_gate_of_obscurity	Gate of Obscurity	the				
region_the_trench_of_trials	Trench of Trials	the				
region_the_elusive_forest	Elusive Forest	the				
continent_route_gouffre	Lands of Umbra	the				
region_citiesofintuition	Cities of Intuition	the				
region_maidengrove	Maiden Grove	the				
region_havenofpurity	Haven of Purity	the				
region_groveofumbra	Grove of Umbra	the				
region_knotofdementia	Knot of Dementia	the				
region_thevoid	Void	the				
place_zora	Zora					
place_jen_lai	Jen Lai					
place_min_cho	Min Cho					
place_hoi_cho	Hoi Cho					
continent_zorai	Witherings	the				
zorai_nland	Zorai Island	the				
place_qai_lo	Qai Lo					
place_men_xing	Men Xing					
place_sheng_wo	Sheng Wo					
place_koi_zun	Koi Zun					
place_yin_piang	Yin Piang					
region_imperialdunes	Imperial Dunes	the				
region_oflovaksoasis	Oflovak's Oasis	the				
region_sawdustmines	Sawdust Mines	the				
region_frahartowers	Frahar Towers	the				
region_thesavagedunes	Savage Dunes	the				
region_dunesofexil	Dunes of Exile	the				
region_outlawcanyon	Outlaw Canyon	the				
region_thescorchedcorridor	Scorched Corridor	the				
place_pyr	Pyr					
place_thesos	Thesos					
place_dyron	Dyron					
continent_fyros	Burning Desert	the				
continent_fyros_newbie	Burning Desert	the				
fyros_nland	Fyros Island	the				
place_aegus	Aegus					
place_kaemon	Kaemon					
place_sekovix	Sekovix					
place_phyxon	Phyxon					
place_galemus	Galemus					
region_libertylake	Liberty Lake	the				
region_dewdrops	Dew Drops	the				
region_restingwater	Resting Water	the				
region_windsofmuse	Winds of Muse	the				
region_thefount	Fount	the				
region_bountybeaches	Bounty Beaches	the				
region_enchantedisle	Enchanted Isle	the				
region_lagoonsofloria	Lagoons of Loria	the				
place_fairhaven	Fairhaven					
place_avendale	Avendale					
place_crystabell	Crystabell					
place_windermeer	Windermeer					
continent_tryker	Aeden Aqueous					
continent_tryker_newbie	Aeden Aqueous					
tryker_nland	Tryker Island	the				
place_aubermouth	Aubermouth					
place_barkdell	Barkdell					
place_hobwelly	Hobwelly					
place_waverton	Waverton					
place_dingleton	Dingleton					
guild_hall	Guild Hall					
guild_council	Guild Council					
guild_RM_fight	Guild Fight Trainer					
guild_RM_magic	Guild Magic Trainer					
guild_RM_harvest	Guild Harvest Trainer					
guild_RM_craft	Guild Craft Trainer					
player_room	Player Room					
exit	Exit					
place_lieudit_majesticgarden_1	place_lieudit_majesticgarden_1					
place_lieudit_majesticgarden_2	place_lieudit_majesticgarden_2					
place_lieudit_majesticgarden_3	place_lieudit_majesticgarden_3					
place_lieudit_fleetinggarden_1	place_lieudit_fleetinggarden_1					
place_lieudit_fleetinggarden_2	place_lieudit_fleetinggarden_2					
place_lieudit_fleetinggarden_3	place_lieudit_fleetinggarden_3					
place_lieudit_fleetinggarden_4	place_lieudit_fleetinggarden_4					
place_lieudit_knollofdissent_1	place_lieudit_knollofdissent_1					
place_lieudit_knollofdissent_2	place_lieudit_knollofdissent_2					
place_lieudit_knollofdissent_3	place_lieudit_knollofdissent_3					
place_lieudit_knollofdissent_4	place_lieudit_knollofdissent_4					
place_lieudit_knollofdissent_5	place_lieudit_knollofdissent_5					
place_lieudit_knollofdissent_6	place_lieudit_knollofdissent_6					
place_lieudit_upperbog_1	place_lieudit_upperbog_1					
place_lieudit_upperbog_2	place_lieudit_upperbog_2					
place_lieudit_upperbog_3	place_lieudit_upperbog_3					
place_lieudit_upperbog_4	place_lieudit_upperbog_4					
place_lieudit_hereticshovel_1	place_lieudit_hereticshovel_1					
place_lieudit_hereticshovel_2	place_lieudit_hereticshovel_2					
place_lieudit_hereticshovel_3	place_lieudit_hereticshovel_3					
place_lieudit_hereticshovel_4	place_lieudit_hereticshovel_4					
place_lieudit_hiddensource_1	place_lieudit_hiddensource_1					
place_lieudit_hiddensource_2	place_lieudit_hiddensource_2					
place_lieudit_hiddensource_3	place_lieudit_hiddensource_3					
place_lieudit_groveofconfusion_1	place_lieudit_groveofconfusion_1					
place_lieudit_groveofconfusion_2	place_lieudit_groveofconfusion_2					
place_lieudit_groveofconfusion_3	place_lieudit_groveofconfusion_3					
place_lieudit_groveofconfusion_4	place_lieudit_groveofconfusion_4					
place_lieudit_citiesofintuition_1	place_lieudit_citiesofintuition_1					
place_lieudit_citiesofintuition_2	place_lieudit_citiesofintuition_2					
place_lieudit_citiesofintuition_3	place_lieudit_citiesofintuition_3					
place_lieudit_citiesofintuition_4	place_lieudit_citiesofintuition_4					
place_lieudit_maidengrove_1	place_lieudit_maidengrove_1					
place_lieudit_maidengrove_2	place_lieudit_maidengrove_2					
place_lieudit_maidengrove_3	place_lieudit_maidengrove_3					
place_lieudit_maidengrove_4	place_lieudit_maidengrove_4					
place_lieudit_maidengrove_5	place_lieudit_maidengrove_5					
place_lieudit_havenofpurity_1	place_lieudit_havenofpurity_1					
place_lieudit_havenofpurity_2	place_lieudit_havenofpurity_2					
place_lieudit_havenofpurity_3	place_lieudit_havenofpurity_3					
place_lieudit_groveofumbra_1	place_lieudit_groveofumbra_1					
place_lieudit_groveofumbra_2	place_lieudit_groveofumbra_2					
place_lieudit_groveofumbra_3	place_lieudit_groveofumbra_3					
place_lieudit_groveofumbra_4	place_lieudit_groveofumbra_4					
place_lieudit_knotofdementia_1	place_lieudit_knotofdementia_1					
place_lieudit_knotofdementia_2	place_lieudit_knotofdementia_2					
place_lieudit_knotofdementia_3	place_lieudit_knotofdementia_3					
place_lieudit_knotofdementia_4	place_lieudit_knotofdementia_4					
place_lieudit_knotofdementia_5	place_lieudit_knotofdementia_5					
place_lieudit_knotofdementia_6	place_lieudit_knotofdementia_6					
place_lieudit_thevoid_1	place_lieudit_thevoid_1					
place_lieudit_thevoid_2	place_lieudit_thevoid_2					
place_lieudit_thevoid_3	place_lieudit_thevoid_3					
place_lieudit_imperialdunes_1	place_lieudit_imperialdunes_1					
place_lieudit_imperialdunes_2	place_lieudit_imperialdunes_2					
place_lieudit_imperialdunes_3	place_lieudit_imperialdunes_3					
place_lieudit_oflovaksoasis_1	place_lieudit_oflovaksoasis_1					
place_lieudit_oflovaksoasis_2	place_lieudit_oflovaksoasis_2					
place_lieudit_oflovaksoasis_3	place_lieudit_oflovaksoasis_3					
place_lieudit_oflovaksoasis_4	place_lieudit_oflovaksoasis_4					
place_lieudit_oflovaksoasis_5	place_lieudit_oflovaksoasis_5					
place_lieudit_sawdustmines_1	place_lieudit_sawdustmines_1					
place_lieudit_sawdustmines_2	place_lieudit_sawdustmines_2					
place_lieudit_sawdustmines_3	place_lieudit_sawdustmines_3					
place_lieudit_sawdustmines_4	place_lieudit_sawdustmines_4					
place_lieudit_sawdustmines_5	place_lieudit_sawdustmines_5					
place_lieudit_frahartowers_1	place_lieudit_frahartowers_1					
place_lieudit_frahartowers_2	place_lieudit_frahartowers_2					
place_lieudit_frahartowers_3	place_lieudit_frahartowers_3					
place_lieudit_thesavagedunes_1	place_lieudit_thesavagedunes_1					
place_lieudit_thesavagedunes_2	place_lieudit_thesavagedunes_2					
place_lieudit_thesavagedunes_3	place_lieudit_thesavagedunes_3					
place_lieudit_thesavagedunes_4	place_lieudit_thesavagedunes_4					
place_lieudit_thesavagedunes_5	place_lieudit_thesavagedunes_5					
place_lieudit_thesavagedunes_6	place_lieudit_thesavagedunes_6					
place_lieudit_dunesofexile_1	place_lieudit_dunesofexile_1					
place_lieudit_dunesofexile_2	place_lieudit_dunesofexile_2					
place_lieudit_dunesofexile_3	place_lieudit_dunesofexile_3					
place_lieudit_dunesofexile_4	place_lieudit_dunesofexile_4					
place_lieudit_outlawcanyon_1	place_lieudit_outlawcanyon_1					
place_lieudit_outlawcanyon_2	place_lieudit_outlawcanyon_2					
place_lieudit_outlawcanyon_3	place_lieudit_outlawcanyon_3					
place_lieudit_thescorchedcorridor_1	place_lieudit_thescorchedcorridor_1					
place_lieudit_thescorchedcorridor_2	place_lieudit_thescorchedcorridor_2					
place_lieudit_thescorchedcorridor_3	place_lieudit_thescorchedcorridor_3					
place_lieudit_libertylake_1	place_lieudit_libertylake_1					
place_lieudit_libertylake_2	place_lieudit_libertylake_2					
place_lieudit_libertylake_3	place_lieudit_libertylake_3					
place_lieudit_windsofmuse_1	place_lieudit_windsofmuse_1					
place_lieudit_windsofmuse_2	place_lieudit_windsofmuse_2					
place_lieudit_windsofmuse_3	place_lieudit_windsofmuse_3					
place_lieudit_windsofmuse_4	place_lieudit_windsofmuse_4					
place_lieudit_thefount_1	place_lieudit_thefount_1					
place_lieudit_thefount_2	place_lieudit_thefount_2					
place_lieudit_thefount_3	place_lieudit_thefount_3					
place_lieudit_thefount_4	place_lieudit_thefount_4					
place_lieudit_thefount_5	place_lieudit_thefount_5					
place_lieudit_bountybeaches_1	place_lieudit_bountybeaches_1					
place_lieudit_bountybeaches_2	place_lieudit_bountybeaches_2					
place_lieudit_bountybeaches_3	place_lieudit_bountybeaches_3					
place_lieudit_bountybeaches_4	place_lieudit_bountybeaches_4					
place_lieudit_bountybeaches_5	place_lieudit_bountybeaches_5					
place_lieudit_bountybeaches_6	place_lieudit_bountybeaches_6					
place_lieudit_enchantedisle_1	place_lieudit_enchantedisle_1					
place_lieudit_enchantedisle_2	place_lieudit_enchantedisle_2					
place_lieudit_enchantedisle_3	place_lieudit_enchantedisle_3					
place_lieudit_enchantedisle_4	place_lieudit_enchantedisle_4					
place_lieudit_enchantedisle_5	place_lieudit_enchantedisle_5					
place_lieudit_lagoonsofloria_1	place_lieudit_lagoonsofloria_1					
place_lieudit_lagoonsofloria_2	place_lieudit_lagoonsofloria_2					
place_lieudit_lagoonsofloria_3	place_lieudit_lagoonsofloria_3					
place_lieudit_the_windy_gate_1	place_lieudit_the_windy_gate_1					
place_lieudit_the_windy_gate_2	place_lieudit_the_windy_gate_2					
place_lieudit_the_windy_gate_3	place_lieudit_the_windy_gate_3					
place_lieudit_the_windy_gate_4	place_lieudit_the_windy_gate_4					
place_lieudit_gateofobscurity_1	place_lieudit_gateofobscurity_1					
place_lieudit_gateofobscurity_2	place_lieudit_gateofobscurity_2					
place_lieudit_gateofobscurity_3	place_lieudit_gateofobscurity_3					
place_lieudit_gateofobscurity_4	place_lieudit_gateofobscurity_4					
place_lieudit_nexus_1	place_lieudit_nexus_1					
place_lieudit_nexus_2	place_lieudit_nexus_2					
place_lieudit_nexus_3	place_lieudit_nexus_3					
place_lieudit_nexus_4	place_lieudit_nexus_4					
place_lieudit_the_abyss_of_ichor_1	place_lieudit_the_abyss_of_ichor_1					
place_lieudit_the_abyss_of_ichor_2	place_lieudit_the_abyss_of_ichor_2					
place_lieudit_the_abyss_of_ichor_3	place_lieudit_the_abyss_of_ichor_3					
place_lieudit_the_trench_of_trials_1	place_lieudit_the_trench_of_trials_1					
place_lieudit_the_trench_of_trials_2	place_lieudit_the_trench_of_trials_2					
place_lieudit_the_trench_of_trials_3	place_lieudit_the_trench_of_trials_3					
place_lieudit_the_elusive_forest_1	place_lieudit_the_elusive_forest_1					
place_lieudit_the_elusive_forest_2	place_lieudit_the_elusive_forest_2					
place_lieudit_the_elusive_forest_3	place_lieudit_the_elusive_forest_3					
place_lieudit_the_elusive_forest_4	place_lieudit_the_elusive_forest_4					
place_lieudit_the_elusive_forest_5	place_lieudit_the_elusive_forest_5					
place_lieudit_the_elusive_forest_6	place_lieudit_the_elusive_forest_6					
place_lieudit_the_under_spring_1	place_lieudit_the_under_spring_1					
place_lieudit_the_under_spring_2	place_lieudit_the_under_spring_2					
place_lieudit_the_under_spring_3	place_lieudit_the_under_spring_3					
place_lieudit_the_under_spring_4	place_lieudit_the_under_spring_4					
place_lieudit_the_under_spring_5	place_lieudit_the_under_spring_5					
place_lieudit_the_land_of_continuity_1	place_lieudit_the_land_of_continuity_1					
place_lieudit_the_land_of_continuity_2	place_lieudit_the_land_of_continuity_2					
place_lieudit_the_land_of_continuity_3	place_lieudit_the_land_of_continuity_3					
place_lieudit_the_land_of_continuity_4	place_lieudit_the_land_of_continuity_4					
place_lieudit_the_land_of_continuity_5	place_lieudit_the_land_of_continuity_5					
place_lieudit_the_sunken_city_1	place_lieudit_the_sunken_city_1					
place_lieudit_the_sunken_city_2	place_lieudit_the_sunken_city_2					
place_lieudit_the_sunken_city_3	place_lieudit_the_sunken_city_3					
place_lieudit_forbidden_depths_1	place_lieudit_forbidden_depths_1					
place_lieudit_forbidden_depths_2	place_lieudit_forbidden_depths_2					
place_lieudit_forbidden_depths_3	place_lieudit_forbidden_depths_3					
place_outpost_matis_15	place_outpost_matis_15					
place_outpost_matis_05	place_outpost_matis_05					
place_outpost_matis_06	place_outpost_matis_06					
place_outpost_matis_07	place_outpost_matis_07					
place_outpost_matis_08	place_outpost_matis_08					
place_outpost_matis_09	place_outpost_matis_09					
place_outpost_matis_16	place_outpost_matis_16					
place_outpost_matis_17	place_outpost_matis_17					
place_outpost_matis_18	place_outpost_matis_18					
place_outpost_matis_19	place_outpost_matis_19					
place_outpost_matis_20	place_outpost_matis_20					
place_outpost_matis_21	place_outpost_matis_21					
place_outpost_matis_22	place_outpost_matis_22					
place_outpost_matis_23	place_outpost_matis_23					
place_outpost_matis_01	place_outpost_matis_01					
place_outpost_matis_02	place_outpost_matis_02					
place_outpost_matis_03	place_outpost_matis_03					
place_outpost_matis_04	place_outpost_matis_04					
place_outpost_matis_28	place_outpost_matis_28					
place_outpost_matis_29	place_outpost_matis_29					
place_outpost_matis_30	place_outpost_matis_30					
place_outpost_matis_31	place_outpost_matis_31					
place_outpost_matis_32	place_outpost_matis_32					
place_outpost_matis_10	place_outpost_matis_10					
