skill ID	name	ia	da	p	pia	pda	description
AcurateBleedingShot	accurate bleeding shot 	an	the	accurate bleeding shots 		the	
AcurateBreathlessShot	accurate breathless shot	an	the	accurate breathless shots		the	
AnimalSlideslip	animal slideslip	an	the	animal slideslips		the	
AnimalStalking	animal stalking	an	the	animal stalkings		the	
Apothecary	apothecary	an	the	apothecaries		the	
Area	area	an	the	areas		the	
ArmorAndWeaponSmithing	armor and weapon smithing			armor and weapon smithing		the	
ArtAndCraft	arts and crafts	an	the	arts and crafts		the	
AttackKamisKnowledge	attack Kamis knowledge	an	the	attack Kamis knowledge		the	
AtysianRegeneration	atysian regeneration	an	the	atysian regenerations		the	
Axe	axe	an	the	axes		the	
BackdraftStab	backdraft stab	a	the	backdraft stabs		the	
BadLuck	bad luck	a	the	bad lucks		the	
BarehandedCombat	barehanded combat	a	the	barehanded combats		the	
BersekAttack	berserk attack	a	the	berserk attacks		the	
BlackSmithing	black smithing			black smithing		
Bleeding	bleeding			bleeding		the
BlindingRage	blinding rage	a	the	blinding rages		the
BlindShot	blind shot 	a	the	blind shots 		the
BowGun	bowgun	a	the	bowguns		the
BowPistol	bowpistol	a	the	bowpistols		the
Building	building			building		the
BullyraggingBlast	bullyragging blast	a	the	bullyragging blasts		the
Camouflage	camouflage	a	the	camouflage		the
Caravan	Karavan	a	the	Karavans		the
CerebralFever	cerebral fever	a	the	cerebral fevers		the
ClothTailoring	cloth tailoring			cloth tailoring		the
Cooking	cooking			cooking		the
CreatureHatred	creature hatred	a	the	creature hatreds		the
Dagger	dagger	a	the	daggers		the
Desert	desert	a	the	deserts		the
DesertExoticRawMaterialKnowledge	desert exotic raw material knowledge	a	the	desert exotic raw material knowledge		the
DesertKamisKnowledge	desert Kamis knowledge	a	the	desert Kamis knowledge		the
DesertTravel	desert travel	a	the	desert travels		the
Digging	digging			digging		the
DiscreetApproach	discreet approach	a	the	discreet approaches		the
Diving	diving			diving		the
Dodging	dodging	a	the	dodgings		the
Dragon	dragon	a	the	dragons		the
Dryade	dryad	a	the	dryads		the
DualWield	dual wield	a	the	dual wields		the
Evaluate	evaluate			evaluate		the
FarShot	far shot	a	the	far shots		the
FarThrow	far throw	a	the	far throws		the
FeverProtect	fever protect	a	the	fever protects		the
FirstAid	first aid	a	the	first aid		the
Fishing	fishing	a	the	fishing		the
Forest	forest	a	the	forests		the
ForestExoticRawMaterialKnowledge	forest exotic raw material knowledge	a	the 	forest exotic raw material knowledge		the
ForestKamisKnowledge	forest Kamis knowledge	a	the	forest Kamis knowledge		the
ForestTravel	forest travel	a	the	forest travels		the
Frost	frost	a	the	frosts		the
Fyros	Fyros	a	the	Fyros		the
FyrosGoods	Fyros goods			Fyros goods		the
Goo	goo		the	goo		
GreatAxe	great axe	a	the	great axes		the
GreatMass	great mass [mace ?]	a	the	great masses		the
Grenade	grenade	a	the	grenades		the
GroundExtract	ground extract	a	the	ground extracts		the
HandToHand	hand to hand	a	the	hand to hand		the
Harpoon	harpoon 	a	the	harpoons		the
HarpoonHunting	harpoon hunting	a	the	harpoon huntings		the
Harvest	harvest	a	the	harvests		the
HealingKamisKnowledge	healing Kamis knowledge	a	the	healing Kamis knowledge		the
HearWithering	hear withering	a	the	hear witherings		the
HeavyArmourWear	heavy armor wear	a	the	heavy armor wears		the
HeavyWeapon	heavy weapon	a	the	heavy weapons		the
Hide	hide			hides		
HominOpponentConsiderWeapon	homin opponent consider weapon	a	the	homin opponent consider weapons		the
HuntingKamisKnowledge	hunting Kamis knowledge	a	the	hunting Kamis knowledge		the
Jewellery	jewelry		the	jewelry		the
Jungle	jungle	a	the	jungles		the
JungleExoticRawMaterialKnowledge	jungle exotic raw material knowledge	a	the	jungle exotic raw material knowledge		the
JungleKamisKnowledge	jungle Kamis knowledge	a	the	jungle Kamis knowledge		the
JungleTravel	jungle travel	a	the	jungle travels		the
Kami	Kami	a	the	Kamis		the
KamicShield	Kamic shield	a	the	Kamic shields		the
KamicShock	Kamic shock	a	the	Kamic shocks		the
Kick	kick	a	the	kicks		the
Kitin	kitin	a	the	kitin		the
Lake	lake	a	the	lakes		the
LakeArmor	lake armor		the	lake armor		the
LakeExoticRawMaterialKnowledge	lake exotic raw material knowledge	a	the	lake exotic raw material knowledge		the
LakeKamisKnowledge	lake Kamis knowledge	a	the	lake Kamis knowledge		the
LakeTravel	lake travel	a	the	lake travels		the
LeadAnimal	lead animal	a	the	lead animals		the
LeatherTailoring	leather tailoring	a	the	leather tailorings		the
LeftHandedAttack	left handed attack	a	the	left handed attacks		the
LeftHandedParry	left handed parry	a	the	left handed parries		the
LifeAlchemy	life alchemy	a	the	life alchemies		the
LifeGift	life gift	a	the	life gifts		the
LightArmourWear	light armor wear	a	the	light armor wears		the
Madness	madness	a	the	madnesses		the
MagicObjects	magic objects			magic objects		the
MagicTransfert	magic transfer	a	the	magic transfers		the
MajorDryade	major dryad	a	the	major dryads		the
MajorHealLife	major heal life	a	the	major heal lifes		the
MajorLifeRegeneration	major life regeneration	a	the	major life regenerations		the
MajorMandragore	major mandragore	a	the	major mandragores		the
MajorSapHeal	major sap heal	a	the	major sap heals		the
MajorSapRegenearation	major sap regenearation	a	the	major sap regenearations		the
MajorSylve	major sylve	a	the	major sylves		the
MajorTirednessHeal	major tiredness heal	a	the	major tiredness heals		the
MajorTirednessRegenearation	major tiredness regenearation	a	the	major tiredness regenearation		the
MakeAnklet	make anklet	a	the	make anklet		the
MakeAutolaunch	make autolaunch	a	the	make autolaunch		the
MakeAutolaunchAmmo	make autolaunch ammo	a	the	make autolaunch ammo		the
MakeAxe	make axe	a	the	make axe		the
MakeBag	make bags	a	the	make bags		the
MakeBowgun	make bowgun	a	the	make bowgun		the
MakeBowgunAmmo	make bowgun ammo	a	the	make bowgun ammo		the
MakeBracelet	make bracelet	a	the	make bracelet		the
MakeBuckler	make buckler	a	the	make buckler		the
MakeClothes	make clothes	a	the	make clothes		the
MakeDagger	make dagger	a	the	make dagger		the
MakeDiadem	make diadem	a	the	make diadem		the
MakeEaring	make earing	a	the	make earing		the
MakeFireAmmos	make fire ammo	a	the	make fire ammo		the
MakeFireToughenedArmors	make fire toughened armor	a	the	make fire toughened armor		the
MakeFireWeapons	make fire weapon	a	the	make fire weapons		the
MakeFloralLivingJewels	make floral living jewels	a	the	make floral living jewels		the
MakeFloralPatternLivingClothes	make floral pattern living clothes	a	the	make floral pattern living clothes		the
MakeGrenade	make grenade	a	the	make grenade		the
MakeHarpoonGun	make harpoon gun	a	the	make harpoon guns		the
MakeHarpoonGunAmmo	make harpoon gun ammo	a	the	make harpoon gun ammo		the
MakeHeavyArmors	make heavy armor	a	the	make heavy armor		the
MakeHeavyBoots	make heavy boots	a	the	make heavy boots		the
MakeHeavyGloves	make heavy gloves	a	the	make heavy gloves		the
MakeHeavyHelmet	make heavy helmet	a	the	make heavy helmet		the
MakeHeavyPants	make heavy pants	a	the	make heavy pants		the
MakeHeavySleeves	make heavy sleeves	a	the	make heavy sleeves		the
MakeHeavyVest	make heavy vest	a	the	make heavy vest		the
MakeJewels	make jewels	a	the	make jewels		the
MakeKamicClothes	make Kamic clothes	a	the	make Kamic clothes		the
MakeKamicJewels	make Kamic jewels	a	the	make Kamic jewels		the
MakeKamicWeapon	make Kamic weapon	a	the	make Kamic weapons		the
MakeLance	make lance	a	the	make lance		the
MakeLauncher	make launcher	a	the	make launcher		the
MakeLauncherAmmo	make launcher ammo	a	the	make launcher ammo		the
MakeLightBoots	make light boots	a	the	make light boots		the
MakeLightGloves	make light gloves	a	the	make light gloves		the
MakeLightHelmet	make light helmet	a	the	make light helmet		the
MakeLightPants	make light pants	a	the	make light pants		the
MakeLightSleeves	make light sleeves	a	the	make light sleeves		the
MakeLightVest	make light vest	a	the	make light vest		the
MakeLongAxe	make long axe	a	the	make long axe		the
MakeLongMace	make long mace	a	the	make long mace		the
MakeLongSword	make long sword	a	the	make long sword		the
MakeMace	make mace	a	the	make mace		the
MakeMediumArmors	make medium armor	a	the	make medium armor		the
MakeMediumBoots	make medium boots	a	the	make medium boots		the
MakeMediumGloves	make medium gloves	a	the	make medium gloves		the
MakeMediumHelmet	make medium helmet	a	the	make medium helmet		the
MakeMediumPants	make medium pants	a	the	make medium pants		the
MakeMediumSleeves	make medium sleeves	a	the	make medium sleeves		the
MakeMediumVest	make medium vest	a	the	make medium vest		the
MakeMeleeWeapons	make melee weapon	a	the	make melee weapons		the
MakePendant	make pendant	a	the	make pendant		the
MakePike	make pike	a	the	make pike		the
MakePistol	make pistol	a	the	make pistol		the
MakePistolAmmo	make pistol ammo	a	the	make pistol ammo		the
MakePistolarc	make pistolarc	a	the	make pistolarc		the
MakePistolarcAmmo	make pistolarc ammo	a	the	make pistolarc ammo		the
MakePoisonnousLivingWeapons	make poisonnous living weapon 	a	the	make poisonnous living weapons 		the
MakeRangeWeaponAmmos	make range weapon ammo	a	the	make range weapon ammo		the
MakeRangeWeapons	make range weapon	a	the	make range weapons		the
MakeRifle	make rifle	a	the	make rifle		the
MakeRifleAmmo	make rifle ammo	a	the	make rifle ammo		the
MakeRing	make ring	a	the	make ring		the
MakeShield	make shield	a	the	make shields		the
MakeShiftRepair	make shift repair	a	the	make shift repairs		the
MakeSurvivalTools	make survival tool	a	the	make survival tools		the
MakeSurvivalWeapon	make survival weapon	a	the	make survival weapons		the
MakeSword	make sword	a	the	make sword		the
MakeThrowingWeapon	make throwing weapon	a	the	make throwing weapons		the
MakeTools	make tool	a	the	make tools		the
MakeTwo_handsMeleeWeapons	make two-hands melee weapon	a	the	make two-hands melee weapons		the
MakeTwo_handsRangeWeaponAmmos	make two-hands range weapon ammo	a	the	make two-hands range weapon ammo		the
MakeTwo_handsRangeWeapons	make two-hands range weapon	a	the	make two-hands range weapons		the
Mandragore	mandragore	a	the	mandragores		the
MandrakeFist	mandrake fist	a	the	mandrake fists		the
Mass	mass	a	the	masses		the
MassiveThrow	massive throw	a	the	massive throws		the
Matis	Matis	a	the	Matis		the
MatisGoods	Matis goods			Matis goods		the
MatisMystery	Matis mystery	a	the	Matis mysteries		the
Mechanic	mechanic	a	the	mechanics		the
MediumArmourWear	medium armour wear	a	the	medium armour wears		the
MinorLifeHeal	minor life heal	a	the	minor life heals		the
MinorSapHeal	minor sap heal	a	the	minor sap heals		the
MinorTirednessHeal	minor tiredness heal	a	the	minor tiredness heals		the
Mirror	mirror	a	the	mirrors		the
MuscularFever	muscular fever	a	the	muscular fevers		the
NervousFever	nervous fever	a	the	nervous fevers		the
NightShot	night shot	a	the	night shots		the
Nunb	nunb	a	the	nunbs		the
OnHorseBackMelee	on horse back melee	an	the	on horse back melees		the
OnHorseBackShoot	on horse back shoot	an	the	on horse back shoots		the
PainShare	pain share	a	the	pain shares		the
Paralysis	paralysis	a	the	paralyses		the
Pike	pike	a	the	pikes		the
PikeHunting	pike hunting	a	the	pike huntings		the
Pistol	pistol	a	the	pistols		the
PlantHatred	plant hatred	a	the	plant hatreds		the
PointBlankShot	point blank shot	a	the	point blank shots		the
PrimaryRoots	primary roots	a	the	primary roots		the
ProtectingKamisKnoledge	protecting Kamis knowledge	a	the	protecting Kamis knowledge		the
Quartering	quartering	a	the	quarterings		the
QuickShot	quick shot	a	the	quick shots		the
QuickThrow	quick throw	a	the	quick throws		the
Range	range	a	the	ranges		the
RapidBurst	rapid burst	a	the	rapid bursts		the
Resist	resist	a	the	resists		the
Resistance	resistance	a	the	resistances		the
RidePackers	ride packer	a	the	ride packers		the
Riding	riding	a	the	ridings		the
Rifle	rifle	a	the	rifles		the
RifleHunting	rifle hunting	a	the	rifle huntings		the
Rocket	rocket	a	the	rockets		the
RockTabou	rock taboo	a	the	rock taboos		the
Rondache	rondache	a	the	rondaches		the
Rot	rot	a	the	rots		the
Running	running	a	the	runnings		the
SapAlchemy	sap alchemy	a	the	sap alchemies		the
SapArmor	sap armor	a	the	sap armors		the
SapGift	sap gift	a	the	sap gifts		the
Shield	shield	a	the	shields		the
ShootAndRun	shoot and run	a	the	shoot and runs		the
ShotProtect	shot protect	a	the	shot protects		the
SlowingBreath	slowing breath	a	the	slowing breaths		the
SlowingLife	slowing life	a	the	slowing lives		the
Spear	spear	a	the	spears		the
SpellDeletion	spell deletion	a	the	spell deletions		the
SpellProtect	spell protect	a	the	spell protects		the
SpurtingFire	spurting fire	a	the	spurting fires		the
Squandering	squandering	a	the	squanderings		the
StallSetUp	stall set up	a	the	stall set ups		the
StealBreath	steal breath	a	the	steal breaths		the
StealLife	steal life	a	the	steal lives		the
StealSap	steal sap	a	the	steal saps		the
Stick	stick	a	the	sticks		the
StrenghtGift	strength gift	a	the	strength gifts		the
Swimming	swimming	a	the	swimmings		the
Sword	sword	a	the	swords		the
SylphicSlide	sylphic slide	a	the	sylphic slides		the
Sylve	sylve	a	the	sylves		the
TactileWithering	tactile withering	a	the	tactile witherings		the
Target	target	a	the	targets		the
Terror	terror	a	the	terrors		the
TirednessAlchemy	tiredness alchemy	a	the	tiredness alchemies		the
Tracking	tracking	a	the	trackings		the
TradingCenterKnowledge	trading center knowledge	a	the	trading center knowledge		the
TrainingAgility	training agility	a	the	training agilities		the
TrainingAnimal	training animal	a	the	training animals		the
TrainingCharisme	training charisma	a	the	training charismas		the
TrainingConstitution	training constitution	a	the	training constitutions		the
TrainingDiseaseResist	training disease resist	a	the	training disease resists		the
TrainingEmpathie	training empathy	a	the	training empathies		the
TrainingFearResist	training fear resist	a	the	training fear resists		the
TrainingHp	training hp			training hp		
TrainingHp2	training hp 2			training hp 2		
TrainingHp3	training hp 3			training hp 3		
TrainingHp4	training hp 4			training hp 4		
TrainingImpactResist	training impact resist	a	the	training impact resists		the
TrainingIntelligence	training intelligence	a	the	training intelligences		the
TrainingMagicResist	training magic resist	a	the	training magic resists		the
TrainingPerception	training perception	a	the	training perceptions		the
TrainingSeve	training seve			training seve		
TrainingSeve2	training seve 2			training seve 2		
TrainingSeve3	training seve 3			training seve 3		
TrainingSeve4	training seve 4			training seve 4		
TrainingStamina	training stamina	a	the	training staminas		the
TrainingStamina2	training stamina 2	a	the	training stamina 2		
TrainingStamina3	training stamina 3	a	the	training stamina 3		
TrainingStamina4	training stamina 4	a	the	training stamina 4		
TrainingStrength	training strength	a	the	training strengths		the
TrainingTechnoResist	training techno resist	a	the	training techno resists		the
TrainingWellBalanced	training well balanced	a	the	training well balanceds		the
TrainingWill	training will	a	the	training wills		the
Tryker	Tryker	a	the	Trykers		the
TrykerGoods	Tryker goods			Tryker goods		the
TrykerMystery	Tryker mystery	a	the	Tryker mysteries		the
TwoHandedCombat	two handed combat	a	the	two handed combats		the
TwoHandsSword	two hands sword	a	the	two hands swords		the
UnderwaterExtract	underwater extract	an	the	underwater extracts		the
VisualWithering	visual withering	a	the	visual witherings		the
VitalBurst	vital burst	a	the	vital bursts		the
WarriorGift	warrior gift	a	the	warrior gifts		the
WeaponsCutting	weapons cutting	a	the	weapons cuttings		the
WindArmor	wind armor	a	the	wind armor		the
WindGift	wind gift	a	the	wind gifts		the
WindShear	wind shear	a	the	wind shear		the
Zorai	Zoraï	a	the	Zoraïs		the
ZoraiGoods	Zoraï goods			Zoraï goods		the
ZoraiMystery	Zoraï mystery	a	the	Zoraï mysteries		the
TrainingImpactResist2	training impact resist 2	a	the	training impact resists 2		the
TrainingImpactResist3	training impact resist 3	a	the	training impact resists 3		the
TrainingMagicResist2	training magic resist 2	a	the	training magic resists 2		the
TrainingMagicResist3	training magic resist 3	a	the	training magic resists 3		the
MakeEnchantedWeapons	make enchanted weapons	a	the	make enchanted weapons		the
MakeEnchantedArmors	make enchanted armors	a	the	make enchanted armors		the
MakeVampiricWeapons	make vampiric weapons	a	the	make vampiric weapons		the
MakeEnchantedFloralPatternLivingClothes	make enchanted floral pattern living clothes	a	the	make enchanted floral pattern living clothes		the
MakeDeadlyHarpoongun	make deadly harpoongun	a	the	make deadly harpoonguns		the	
MakeHuntingArmors	make hunting armors	a	the	make hunting armors		the	
MakeRitualClothes	make ritual clothes	a	the	make ritual clothes		the	
MakeRitualJewels	make ritual jewels	a	the	make ritual jewels		the	
SC	Craft	a	the	Craft		the	Craft
SM	Magic	a	the	Magic		the	Magic
SMT	Impact Magic	a	the	Magic targeted		the	Magic targeted
SMTM	Missile Magic	a	the	Magic targeted missile		the	Magic targeted missile
SMTMR	Primal Magic	a	the	Magic targeted missile - Primal		the	Magic targeted missile - Primal
SMTMG	Atysian Magic	a	the	Magic targeted missile - Atysian		the	Magic targeted missile - Atysian
SMTMB	Celestial Magic	a	the	Magic targeted missile - Celestial		the	Magic targeted missile - Celestial
SMTO	Offensive Magic	a	the	Magic targeted offensive		the	Magic targeted offensive
SMTOD	Physical Magic	a	the	Magic targeted offensive damage		the	Magic targeted offensive damage
SMTODP	Piercing Magic	a	the	Magic targeted offensive damage - piercing		the	Magic targeted offensive damage - piercing
SMTODB	Blunt Magic	a	the	Magic targeted offensive damage - blunt		the	Magic targeted offensive damage - blunt
SMTODS	Slashing Magic	a	the	Magic targeted offensive damage - slashing		the	Magic targeted offensive damage - slashing
SMTOE	Elemental Magic	a	the	Magic targeted offensive special damage		the	Magic targeted offensive special damage
SMTOEC	Cold Magic	a	the	Magic targeted offensive special damage - cold		the	Magic targeted offensive special damage - cold
SMTOEA	Acid Magic	a	the	Magic targeted offensive special damage - acid		the	Magic targeted offensive special damage - acid
SMTOER	Rot Magic	a	the	Magic targeted offensive special damage - rot		the	Magic targeted offensive special damage - rot
SMTOEF	Fire Magic	a	the	Magic targeted offensive special damage - fire		the	Magic targeted offensive special damage - fire
SMTOES	Shockwave Magic	a	the	Magic targeted offensive special damage - shockwave		the	Magic targeted offensive special damage - shockwave
SMTOEP	Poison Magic	a	the	Magic targeted offensive special damage - poison		the	Magic targeted offensive special damage - poison
SMTOEE	Electric Magic	a	the	Magic targeted offensive special damage - electric		the	Magic targeted offensive special damage - electric
SMTC	Curative Magic	a	the	Magic targeted curative		the	Magic targeted curative
SMTCH	Healing Magic	a	the	Magic targeted curative heal		the	Magic targeted curative heal
SMTCHP	HP Healing Magic	a	the	Magic targeted curative heal - HP		the	Magic targeted curative heal - HP
SMTCHT	STA Healing Magic	a	the	Magic targeted curative heal - STA		the	Magic targeted curative heal - STA
SMTCHA	SAP Healing Magic	a	the	Magic targeted curative heal - SAP		the	Magic targeted curative heal - SAP
SMTCHC	Focus Healing Magic	a	the	Magic targeted curative heal - Focus		the	Magic targeted curative heal - Focus
SMTCB	Break Link	a	the	Magic targeted curative break link		the	Magic targeted curative break link
SMTCBD	Break Link Damage	a	the	Magic targeted curative break link - damage		the	Magic targeted curative break link - damage
SMTCBS	Break Link Sickness	a	the	Magic targeted curative break link - sickness		the	Magic targeted curative break link - sickness
SMTCBC	Break Link Curse	a	the	Magic targeted curative break link - curse		the	Magic targeted curative break link - curse
