title_id	name	women_name
gn_apprentice_tracer	Apprenti Traceur	
gn_bandit_bountybeaches_1	Blood Rooters	
gn_bandit_bountybeaches_2	Bounty Snatchers	
gn_bandit_bountybeaches_3	Infamous Five	
gn_bandit_citiesofintuition_1	Birds Of Omen	
gn_bandit_citiesofintuition_2	Zora Kovans	
gn_bandit_citiesofintuition_3	Eyes of Intuition	
gn_bandit_dunesofexil_1	Ridge Ravagers	
gn_bandit_dunesofexil_2	Waylayers	
gn_bandit_dunesofexil_3	Dyron Dragons	
gn_bandit_dunesofexil_4	Firebooters	
gn_bandit_enchantedisle_1	Tyler's Rippers	
gn_bandit_enchantedisle_2	Magicians of Malice	
gn_bandit_enchantedisle_3	Bucking Mektoubs	
gn_bandit_fleetinggarden_1	Green Ravishers	
gn_bandit_fleetinggarden_2	Deadened Eyes	
gn_bandit_fleetinggarden_3	High Watchers	
gn_bandit_fleetinggarden_4	Fleeting Lords	
gn_bandit_fleetinggarden_5	Seed Addicts	
gn_bandit_forbidden_depths_1	Eva's Empalers	
gn_bandit_forbidden_depths_2	Slicers	
gn_bandit_forbidden_depths_3	Beastie Bandits	
gn_bandit_forbidden_depths_4	Dragon Dodgers	
gn_bandit_frahartowers_1	Canyon Creepers	
gn_bandit_frahartowers_2	Stunning Stavons	
gn_bandit_frahartowers_3	Swords of Fury	
gn_bandit_frahartowers_4	Frahar Blazers	
gn_bandit_gate_of_obscurity_1	Heart Breakers	
gn_bandit_gate_of_obscurity_2	Merchants of Terror	
gn_bandit_gate_of_obscurity_3	Valley Busters	
gn_bandit_gate_of_obscurity_4	Scarlet Loafers	
gn_bandit_groveofconfusion_1	Madding Maids	
gn_bandit_groveofconfusion_2	Grove Tyrants	
gn_bandit_groveofconfusion_3	Slashing Slathes	
gn_bandit_groveofumbra_1	Killer Queens	
gn_bandit_groveofumbra_2	Spleen Busters	
gn_bandit_groveofumbra_3	Black Lams	
gn_bandit_groveofumbra_4	Dare Doers	
gn_bandit_havenofpurity_1	Skelter Punks	
gn_bandit_havenofpurity_2	Homin Hounders	
gn_bandit_havenofpurity_3	Flights of Fury	
gn_bandit_hereticshovel_1	Channel Gaugers	
gn_bandit_hereticshovel_2	Heathens of the Hovel	
gn_bandit_hereticshovel_3	Hovel Spooks	
gn_bandit_hiddensource_1	Spoilers	
gn_bandit_hiddensource_2	Hell Raisers	
gn_bandit_hiddensource_3	Jena's Cuss	
gn_bandit_imperialdunes_1	Eye of the Dragon	
gn_bandit_imperialdunes_2	Dune Stalkers	
gn_bandit_imperialdunes_3	Pyr Crushers	
gn_bandit_imperialdunes_4	Pagans of Pyr	
gn_bandit_knollofdissent_1	Border Raiders	
gn_bandit_knollofdissent_2	Casters of Dissent	
gn_bandit_knollofdissent_3	Highcliff Riders	
gn_bandit_knollofdissent_4	Cut-throats	
gn_bandit_knollofdissent_5	Thrashers	
gn_bandit_knollofdissent_6	Firebooters	
gn_bandit_knotofdementia_1	Browbeat Brothers	
gn_bandit_knotofdementia_2	Zora's Thorn	
gn_bandit_knotofdementia_3	Zora Springers	
gn_bandit_lagoonsofloria_1	Swamp Slouchers	
gn_bandit_lagoonsofloria_2	Lagoon Fylers	
gn_bandit_lagoonsofloria_3	Diller's Mates	
gn_bandit_lagoonsofloria_4	Mire Mates	
gn_bandit_lagoonsofloria_5	Damning Dames	
gn_bandit_lagoonsofloria_6	Seven Swords of Sin	
gn_bandit_libertylake_1	Liberty Pirates	
gn_bandit_libertylake_2	Cristabell Skinners	
gn_bandit_libertylake_3	Friends of Fury	
gn_bandit_maidengrove_1	Shadow Bandits	
gn_bandit_maidengrove_2	Plain Scourers	
gn_bandit_maidengrove_3	Lake Loafers	
gn_bandit_majesticgarden_1	Wrath of Natae	
gn_bandit_majesticgarden_2	Turn of the Tide	
gn_bandit_majesticgarden_3	Davae's Clutch	
gn_bandit_majesticgarden_4	Avalae Charmers	
gn_bandit_majesticgarden_5	Border Blights	
gn_bandit_nexus_1	Rebels of the West	
gn_bandit_nexus_2	Highwatchers	
gn_bandit_nexus_3	Nexus Stranglers	
gn_bandit_nexus_4	Casters of the Knot	
gn_bandit_oflovaksoasis_1	Dragon Breath	
gn_bandit_oflovaksoasis_2	Shadow Riders	
gn_bandit_oflovaksoasis_3	Dragonfire Angels	
gn_bandit_oflovaksoasis_4	Hothead Hackers	
gn_bandit_outlawcanyon_1	Canyon Outlaws	
gn_bandit_outlawcanyon_2	Fighting Flames	
gn_bandit_outlawcanyon_3	Buccaneers	
gn_bandit_sawdustmines_1	Vinni's Rapiers	
gn_bandit_sawdustmines_2	Bone Breakers	
gn_bandit_sawdustmines_3	Bandits of the Wooded Dunes	
gn_bandit_the_abyss_of_ichor_1	Death Mongers	
gn_bandit_the_abyss_of_ichor_2	Slayers of Ichor	
gn_bandit_the_abyss_of_ichor_3	Sentinels of the Sap	
gn_bandit_the_abyss_of_ichor_4	Marauders	
gn_bandit_the_elusive_forest_1	Flaxen Fiends	
gn_bandit_the_elusive_forest_2	Brown Braves	
gn_bandit_the_elusive_forest_3	Green Grief	
gn_bandit_the_land_of_continuty_1	Shadow Zoners	
gn_bandit_the_land_of_continuty_2	Prime Root Princes	
gn_bandit_the_land_of_continuty_3	Cavern Cranks	
gn_bandit_the_land_of_continuty_4	Dragon Dudes	
gn_bandit_the_land_of_continuty_5	Diehard Ditchers	
gn_bandit_the_sunken_city_1	Soul Sisters	
gn_bandit_the_sunken_city_2	Rattlers	
gn_bandit_the_sunken_city_3	Ripping Jaks	
gn_bandit_the_sunken_city_4	Loving Goo-drops	
gn_bandit_the_trench_of_trials_1	Blasters	
gn_bandit_the_trench_of_trials_2	Highland Heathens	
gn_bandit_the_trench_of_trials_3	Bigmount Bandits	
gn_bandit_the_under_spring_1	Underspring Lynchers	
gn_bandit_the_under_spring_2	Cooky's Cranks	
gn_bandit_the_under_spring_3	Spooky Stavons	
gn_bandit_the_under_spring_4	Silencers	
gn_bandit_the_windy_gate_1	Heartbreak Babes	
gn_bandit_the_windy_gate_2	Windy Gate Wipers	
gn_bandit_the_windy_gate_3	Spirit Catchers	
gn_bandit_thefount_1	Prakkers	
gn_bandit_thefount_2	Fount Gaffers	
gn_bandit_thefount_3	Flibusters of the Fount	
gn_bandit_thefount_4	Liberty Rangers	
gn_bandit_thesavagedunes_1	Wicked of the Woods	
gn_bandit_thesavagedunes_2	Savage Slashers	
gn_bandit_thesavagedunes_3	Canal Daggers	
gn_bandit_thesavagedunes_4	Thieves of Thesos	
gn_bandit_thescorchedcorridor_1	Underground Slicers	
gn_bandit_thescorchedcorridor_2	Tunnel Hounds	
gn_bandit_thescorchedcorridor_3	Alleyway Strays	
gn_bandit_thevoid_1	Underwood Rebels	
gn_bandit_thevoid_2	Goo Grapplers	
gn_bandit_thevoid_3	Villains of the Void	
gn_bandit_upperbog_1	Sap Rakers	
gn_bandit_upperbog_2	Bushwhacks	
gn_bandit_upperbog_3	Stalia Rovers	
gn_bandit_windsofmuse_1	Muse Tumblers	
gn_bandit_windsofmuse_2	Cliff Tanners	
gn_bandit_windsofmuse_3	Muse Muggers	
gn_bandit_windsofmuse_4	Wicked Winds of the West	
gn_class_apprentice_trader	Apprenti Négociant	
gn_class_arcane_apprentice	Magicien d'Elite Initié	
gn_class_arcane_master	Magicien d'Elite Chevronné	
gn_class_archery_lord	Grand Tireur Chevronné	
gn_class_archery_master	Grand Tireur Initié	
gn_class_archery_recruit	Grand Tireur Novice	
gn_class_assassin	Puissant Tireur Novice	
gn_class_bodyguard	Escorteur	
gn_class_bowmen	Tireur Régulier Novice	
gn_class_captain	Guerrier Maître Initié	
gn_class_charm_adept	Puissant Magicien Novice	
gn_class_charm_expert	Puissant Magicien Initié	
gn_class_cleric	Guérisseur d'Élite Chevronné	
gn_class_conjurer	Grand Magicien Chevronné	
gn_class_conscript	Guerrier Régulier Novice	
gn_class_cure_adept	Guérisseur Maître Novice	
gn_class_cure_expert	Guérisseur Maître Chevronné	
gn_class_cure_master	Guérisseur Maître Initié	
gn_class_elite	Guerrier d'Élite Novice	
gn_class_executionner	Puissant Tireur Initié	
gn_class_expert	Guerrier d'Elite Initié	
gn_class_fighter	Puissant guerrier Initié	
gn_class_forager	Récolteur	
gn_class_healing_apprentice	Guérisseur Régulier Novice	
gn_class_legionnaire	Puissant Guerrier Novice	
gn_class_life_surgeon	Guérisseur d'Elite Initié	
gn_class_magician	Magicien Maître Chevronné	
gn_class_major	Guerrier Maître Novice	
gn_class_medic	Grand Guérisseur Initié	
gn_class_milician	Gardien	
gn_class_mystical_adept	Magicien Maître Novice	
gn_class_mystical_expert	Magicien Maître Initié	
gn_class_noble	Compagnon	
gn_class_priest	Guérisseur d'Elite Novice	
gn_class_private	Grand Guerrier Initié	
gn_class_professional	Puissant Tireur Chevronné	
gn_class_range_adept	Tireur Régulier Chevronné	
gn_class_range_master	Tireur d'Elite Chevronné	
gn_class_recruit	Guerrier Régulier Initié	
gn_class_ritual_master	Grand Guérisseur Chevronné	
gn_class_sergent	Puissant Guerrier Chevronné	
gn_class_shaman	Grand Guérisseur Novice	
gn_class_shooting_elite	Tireur d'Elite Novice	
gn_class_shooting_lord	Tireur d'Elite Initié	
gn_class_soldier	Guerrier Régulier Chevronné	
gn_class_sorcerer	Magicien d'Elite Novice	
gn_class_sorcery_apprentice	Grand Magicien Novice	
gn_class_sorcery_master	Grand Magicien Initié	
gn_class_spellcaster	Grand Magicien Novice	
gn_class_throwing_adept	Tireur Maître Novice	
gn_class_throwing_expert	Tireur Maître Initié	
gn_class_throwing_master	Tireur Maître Chevronné	
gn_class_trader	Explorateur	
gn_class_traveler	Voyageur	
gn_class_treat_adept	Puissant Guérisseur Initié	
gn_class_treat_apprentice	Puissant Guérisseur Novice	
gn_class_trooper	Grand Guerrier Novice	
gn_class_warchief	Guerrier Maître Chevronné	
gn_class_warlock	Puissant Magicien Chevronné	
gn_class_warlord	Guerrier d'Elite Chevronné	
gn_class_warmaster	Maître de Guerre	
gn_class_warrior	Grand Guerrier Chevronné	
gn_darkeningsap_static_guard_5	Garde	
gn_forager	Récolteur	
gn_fraharhunters_guards_w_10	Puissant Garde	
gn_fyros_defender	Défenseur Fyros	
gn_fyros_officer	Officier Fyros	
gn_green_seed_noble	Chef de Guerre Régulier	
gn_green_seed_volunteer	Volontaire Régulier	
gn_guard_inv_1	Garde	
gn_guard_inv_2	Garde	
gn_kami_sentinel	Sentinelle des Kamis	
gn_karavan_guard_h_1	Gardien de la Karavan	
gn_karavan_guardian	Gardien de la Karavan	
gn_levier_volunteer	Volontaire Régulier	
gn_leviers_noble	Chef de Guerre Régulier	
gn_matis_officer	Officier Matis	
gn_matis_voluteer	Défenseur Matis	
gn_mystical__adept	Magicien Maître Novice	
gn_professionnal	Puissant Tireur Chevronné	
gn_zorai_officer	Officier Zoraï	
gn_zorai_voluteer_f	Défenseur Zoraï	
fct_steward	 (Régisseur)	
fct_k_pactgiver	 (Donneur de Pactes Kamis)	
fct_kv_pactgiver	 (Donneur de Pactes Karavans)	
fct_kitin_mg_1	 (Observateur de la Menace Kitin)	
fct_kitin_mg_2	 (Observateur de la Menace Kitin)	
fct_kitin_mg_3	 (Observateur de la Menace Kitin)	
fct_kitin_mg_4	 (Observateur de la Menace Kitin)	
fct_goo_obs	 (Observateur de la Goo)	
fct_bg	 (Garde du Corps)	
fct_kami_adept	 (Adepte des Kamis)	
fct_larmor_merchant	 (Marchand d'Armures Légères)	
fct_marmor_merchant	 (Marchand d'Armures Moyennes)	
fct_harmor_merchant	 (Marchand d'Armures Lourdes)	
fct_ctool_merchant	 (Marchand d'Outils de Création)	
fct_ttool_merchant	 (Marchand d'Outils de Dressage)	
fct_htool_merchant	 (Marchand d'Outils de Récolte)	
fct_shield_merchant	 (Marchand de Boucliers)	
fct_ammo_merchant	 (Marchand de Munitions)	
