# Ryzom chat emoji table -- GENERATED, do not edit by hand.
# Regenerate with tools/emoji/gen_emoji_table.py
# Put local corrections in emoji_overrides.txt instead; it is
# loaded afterwards and wins.
# name\tcodepoints(hex)\timage-stem (client appends .tga)
+1	1f44d	emoji_u1f44d
-1	1f44e	emoji_u1f44e
100	1f4af	emoji_u1f4af
1234	1f522	emoji_u1f522
3	1f970	emoji_u1f970
8_ball	1f3b1	emoji_u1f3b1
a	1f170	emoji_u1f170
ab	1f18e	emoji_u1f18e
abacus	1f9ee	emoji_u1f9ee
abc	1f524	emoji_u1f524
abcd	1f521	emoji_u1f521
absentminded	1f636 200d 1f32b	emoji_u1f636_200d_1f32b
absorbing	1f9fd	emoji_u1f9fd
accept	1f251	emoji_u1f251
accessible	267f	emoji_u267f
accident	1fad7	emoji_u1fad7
accommodations	1f6cc	emoji_u1f6cc
accordion	1fa97	emoji_u1fa97
accounting	1f9fe	emoji_u1f9fe
acidity	1f34b 200d 1f7e9	emoji_u1f34b_200d_1f7e9
acrobatics	1f938	emoji_u1f938
action	1f3ac	emoji_u1f3ac
add	2795	emoji_u2795
adhesive	1fa79	emoji_u1fa79
adhesive_bandage	1fa79	emoji_u1fa79
admiration	1f979	emoji_u1f979
adorable	1fa77	emoji_u1fa77
adore	1f970	emoji_u1f970
aerial_tramway	1f6a1	emoji_u1f6a1
aesculapius	2695	emoji_u2695
afro	1faae	emoji_u1faae
agent	1f575	emoji_u1f575
agony	1f616	emoji_u1f616
air	1fa9f	emoji_u1fa9f
airplane	2708	emoji_u2708
airplane_arrival	1f6ec	emoji_u1f6ec
airplane_departure	1f6eb	emoji_u1f6eb
alarm	1f413	emoji_u1f413
alarm_clock	23f0	emoji_u23f0
alces	1face	emoji_u1face
alchemy	2697	emoji_u2697
alembic	2697	emoji_u2697
alert	1f6a8	emoji_u1f6a8
alien	1f47d	emoji_u1f47d
aliens	1f6f8	emoji_u1f6f8
all_good	2705	emoji_u2705
alpaca	1f999	emoji_u1f999
alphabet	1f521	emoji_u1f521
amazement	1fae2	emoji_u1fae2
ambulance	1f691	emoji_u1f691
american_football	1f3c8	emoji_u1f3c8
amoeba	1f9a0	emoji_u1f9a0
amount	1f90f	emoji_u1f90f
amphora	1f3fa	emoji_u1f3fa
amusement	1f6dd	emoji_u1f6dd
anatomical	1fac0	emoji_u1fac0
anatomical_heart	1fac0	emoji_u1fac0
anchor	2693	emoji_u2693
android	1f4f1	emoji_u1f4f1
angel	1f47c	emoji_u1f47c
angelic	1fabd	emoji_u1fabd
anger	1f4a2	emoji_u1f4a2
anger_bubble	1f5ef	emoji_u1f5ef
angry	1f620	emoji_u1f620
angry_cat	1f63e	emoji_u1f63e
angry_devil	1f47f	emoji_u1f47f
anguish	1f62b	emoji_u1f62b
anguished	1f627	emoji_u1f627
ankle	1f9b6	emoji_u1f9b6
annelid	1fab1	emoji_u1fab1
answer	1f7f0	emoji_u1f7f0
ant	1f41c	emoji_u1f41c
antlers	1face	emoji_u1face
anxious	1f62c	emoji_u1f62c
ape	1f9a7	emoji_u1f9a7
applause	1f44f	emoji_u1f44f
apple	1f34e	emoji_u1f34e
approved	2705	emoji_u2705
aquarium	1fabc	emoji_u1fabc
aquarius	2652	emoji_u2652
arabian_camel	1f42a	emoji_u1f42a
arcade	1f579	emoji_u1f579
archery	1f3f9	emoji_u1f3f9
archive	1f5c3	emoji_u1f5c3
arctic	1f43b 200d 2744	emoji_u1f43b_200d_2744
arepa	1fad3	emoji_u1fad3
aries	2648	emoji_u2648
arm	1f9be	emoji_u1f9be
arms_open	1f917	emoji_u1f917
army	1fa96	emoji_u1fa96
arrival	1f6ec	emoji_u1f6ec
art	1f3a8	emoji_u1f3a8
artist	1f9d1 200d 1f3a8	emoji_u1f9d1_200d_1f3a8
ascension	1f426 200d 1f525	emoji_u1f426_200d_1f525
asking_a_question	261d	emoji_u261d
ass	1facf	emoji_u1facf
assassin	1f977	emoji_u1f977
assistance	1f415 200d 1f9ba	emoji_u1f415_200d_1f9ba
asterisk	002a 20e3	emoji_u002a_20e3
astonished	1f632	emoji_u1f632
astronaut	1f9d1 200d 1f680	emoji_u1f9d1_200d_1f680
at	1faf5	emoji_u1faf5
at_work	2692	emoji_u2692
athletic_shoe	1f45f	emoji_u1f45f
atm	1f3e7	emoji_u1f3e7
atom	269b	emoji_u269b
attachment	1f4ce	emoji_u1f4ce
attraction	1f9f2	emoji_u1f9f2
auto	1f6fa	emoji_u1f6fa
auto_rickshaw	1f6fa	emoji_u1f6fa
automobile	1f6fb	emoji_u1f6fb
autumn	1f96e	emoji_u1f96e
aviation	1fabd	emoji_u1fabd
avocado	1f951	emoji_u1f951
awe	1fae2	emoji_u1fae2
aww	1f979	emoji_u1f979
ax	1fa93	emoji_u1fa93
axe	1fa93	emoji_u1fa93
b	1f171	emoji_u1f171
baa	1f411	emoji_u1f411
babooshka	1fa86	emoji_u1fa86
baboushka	1fa86	emoji_u1fa86
babushka	1fa86	emoji_u1fa86
baby	1f476	emoji_u1f476
baby_bottle	1f37c	emoji_u1f37c
baby_change_station	1f6bc	emoji_u1f6bc
baby_chick	1f424	emoji_u1f424
back	1f519	emoji_u1f519
backpack	1f392	emoji_u1f392
backpacking	1f97e	emoji_u1f97e
bacon	1f953	emoji_u1f953
badger	1f9a1	emoji_u1f9a1
badminton	1f3f8	emoji_u1f3f8
bag	1f9f3	emoji_u1f9f3
bagel	1f96f	emoji_u1f96f
baggage_claim	1f6c4	emoji_u1f6c4
bags	1fae9	emoji_u1fae9
baguette	1f956	emoji_u1f956
bait	1faa4	emoji_u1faa4
balance	2696	emoji_u2696
ball	26f9	emoji_u26f9
ballet_shoes	1fa70	emoji_u1fa70
balloon	1f388	emoji_u1f388
ballot_box	1f5f3	emoji_u1f5f3
ballpoint_pen	1f58a	emoji_u1f58a
bam	1f4a2	emoji_u1f4a2
bamboo	1f38d	emoji_u1f38d
banana	1f34c	emoji_u1f34c
band	1fa88	emoji_u1fa88
bandage	1fa79	emoji_u1fa79
bandana	1f9d5	emoji_u1f9d5
bangbang	203c	emoji_u203c
banjo	1fa95	emoji_u1fa95
bank	1f3e6	emoji_u1f3e6
bar	1f9fc	emoji_u1f9fc
bar_chart	1f4ca	emoji_u1f4ca
barber	1f488	emoji_u1f488
bare	1fabe	emoji_u1fabe
barf	1f92e	emoji_u1f92e
barren	1fabe	emoji_u1fabe
baseball	26be	emoji_u26be
basket	1f9fa	emoji_u1f9fa
basketball	1f3c0	emoji_u1f3c0
bat	1f987	emoji_u1f987
bath	1f6c0	emoji_u1f6c0
bathroom	1faa5	emoji_u1faa5
bathtub	1f6c1	emoji_u1f6c1
battery	1f50b	emoji_u1f50b
bday	1f973	emoji_u1f973
beach	1f3d6	emoji_u1f3d6
beach_umbrella	26f1	emoji_u26f1
bead	1f9ff	emoji_u1f9ff
beak	1f426 200d 2b1b	emoji_u1f426_200d_2b1b
beans	1fad8	emoji_u1fad8
beanstalk	1fadb	emoji_u1fadb
bear	1f43b	emoji_u1f43b
beaver	1f9ab	emoji_u1f9ab
beckon	1faf4	emoji_u1faf4
bed	1f6cf	emoji_u1f6cf
bedroom	1f6cf	emoji_u1f6cf
bedtime	1f971	emoji_u1f971
bee	1f41d	emoji_u1f41d
beer	1f37a	emoji_u1f37a
beers	1f37b	emoji_u1f37b
beet	1fadc	emoji_u1fadc
beetle	1fab2	emoji_u1fab2
begging	1f97a	emoji_u1f97a
beginner	1f530	emoji_u1f530
bell	1f514	emoji_u1f514
bell_pepper	1fad1	emoji_u1fad1
bellhop_bell	1f6ce	emoji_u1f6ce
bento	1f371	emoji_u1f371
berries	1fad0	emoji_u1fad0
berry	1fad0	emoji_u1fad0
betrayed	1f52a	emoji_u1f52a
beverage	1f9c3	emoji_u1f9c3
beverage_box	1f9c3	emoji_u1f9c3
bicycle	1f6b2	emoji_u1f6b2
big	1f97a	emoji_u1f97a
big_frown	2639	emoji_u2639
big_rig	1f69b	emoji_u1f69b
bike	1f6b2	emoji_u1f6b2
bikini	1f459	emoji_u1f459
bilberry	1fad0	emoji_u1fad0
billed	1f9e2	emoji_u1f9e2
billed_cap	1f9e2	emoji_u1f9e2
billiards	1f3b1	emoji_u1f3b1
biohazard	2623	emoji_u2623
biology	1f9eb	emoji_u1f9eb
bird	1f426	emoji_u1f426
birthday	1f382	emoji_u1f382
bisexual	1f3f3 200d 1f308	emoji_u1f3f3_200d_1f308
bison	1f9ac	emoji_u1f9ac
bisque	1f99e	emoji_u1f99e
bit	1f90f	emoji_u1f90f
biting	1fae6	emoji_u1fae6
biting_lip	1fae6	emoji_u1fae6
black_and_white_square	1f533	emoji_u1f533
black_belt	1f94b	emoji_u1f94b
black_bird	1f426 200d 2b1b	emoji_u1f426_200d_2b1b
black_cat	1f408 200d 2b1b	emoji_u1f408_200d_2b1b
black_circle	26ab	emoji_u26ab
black_flag	1f3f4	emoji_u1f3f4
black_heart	1f5a4	emoji_u1f5a4
black_large_square	2b1b	emoji_u2b1b
black_medium_small_square	25fe	emoji_u25fe
black_medium_square	25fc	emoji_u25fc
black_nib	2712	emoji_u2712
black_small_square	25aa	emoji_u25aa
blades	1f6fc	emoji_u1f6fc
blank	1f636	emoji_u1f636
bleed	1fa78	emoji_u1fa78
blonde	1f471 200d 2640	emoji_u1f471_200d_2640
bloom	1fabb	emoji_u1fabb
blossom	1f33c	emoji_u1f33c
blow	1f62e 200d 1f4a8	emoji_u1f62e_200d_1f4a8
blow_a_kiss	1f618	emoji_u1f618
blowfish	1f421	emoji_u1f421
blowing	1f62e 200d 1f4a8	emoji_u1f62e_200d_1f4a8
blown	1f92f	emoji_u1f92f
blue_book	1f4d8	emoji_u1f4d8
blue_circle	1f535	emoji_u1f535
blue_faced	1f976	emoji_u1f976
blue_heart	1f499	emoji_u1f499
blue_square	1f7e6	emoji_u1f7e6
blueberries	1fad0	emoji_u1fad0
blueberry	1fad0	emoji_u1fad0
bluebonnet	1fabb	emoji_u1fabb
blush	1f60a	emoji_u1f60a
blushing	1f633	emoji_u1f633
boar	1f417	emoji_u1f417
board	1f6f9	emoji_u1f6f9
boat	26f5	emoji_u26f5
boba	1f9cb	emoji_u1f9cb
bok	1f96c	emoji_u1f96c
bomb	1f4a3	emoji_u1f4a3
bone	1f9b4	emoji_u1f9b4
boo	1f47b	emoji_u1f47b
book	1f4d6	emoji_u1f4d6
bookkeeping	1f9fe	emoji_u1f9fe
bookmark	1f516	emoji_u1f516
books	1f4da	emoji_u1f4da
boom	1f4a5	emoji_u1f4a5
boomerang	1fa83	emoji_u1fa83
boot	1f462	emoji_u1f462
bottle	1f9f4	emoji_u1f9f4
boulder	1faa8	emoji_u1faa8
bouquet	1f490	emoji_u1f490
bow	1f647	emoji_u1f647
bow_and_arrow	1f3f9	emoji_u1f3f9
bowl	1f963	emoji_u1f963
bowl_with_spoon	1f963	emoji_u1f963
bowling	1f3b3	emoji_u1f3b3
boxing_glove	1f94a	emoji_u1f94a
boy	1f466	emoji_u1f466
brachiosaurus	1f995	emoji_u1f995
