#####################
# tracking
#####################
EGS_TRACKING_START_E		"&BL&You start tracking $0e."
EGS_TRACKING_END_E		"&BL&You stop tracking $0e."
EGS_TRACKING_DIRECTION_ES	"&BL&$0e is $1s from your position."
EGS_TRACKING_TOO_FAR		"&RG&Your target is too far and you have lost track of it."

#####################
# training
#####################
EGS_TRAINING_INVALID_MODE	"&RG&You cannot start a training action while in combat."
EGS_TRAINING_NOT_ENOUGH_STAMINA "&RG&You don't have enough stamina to start training."

EGS_TRAINING_NOT_ENOUGH_SAP 	"&RG&You don't have enough sap to start training."
EGS_TRAINING_BEGIN_S		"&BL&You start to train yourself with your $0s."
EGS_TRAINING_FAILED_S		"&RG&You failed to train yourself with your $0s."
EGS_TRAINING_CANCEL		"&RG&Your training action has been cancelled."
EGS_TRAINING_SUCCESS		"&JA&You successfully trained yourself."

EGS_TRAINING_HIGH_DIFFICULTY	"&RG&The quality of your training tool is too high for your skill value, your chances of success are minimized."
EGS_TRAINING_LOW_QUALITY_TOOL	"&RG&The quality of your training tool is too low for your skill value, you have little chance of gaining experience using it."

#####################
# general
#####################
EGS_U_LOSE_STA_EI		"&RG&$0e makes you lose $1i stamina points."
EGS_LOSE_STA_EI			"&RG&You make $0e lose $1i stamina points."
EGS_U_LOSE_SAP_EI		"&RG&$0e makes you lose $1i sap points."
EGS_LOSE_SAP_EI			"&RG&You make $0e lose $1i sap points."

# EGS_USE_LAST_AMMO		"&RG&You have used your last ammo."

EGS_ITEM_QUALITY_DECREASE_SI	"&RG&Your object $0s is losing quality which is now at $1i."

EGS_BAD_EFFECT_ALREADY_PRESENT_E	"&RG&$0e already suffers your spell's effect. You won't gain experience for this action."
EGS_GOOD_EFFECT_ALREADY_PRESENT_E	"&RG&$0e already benefits from your spell's effect. You won't gain experience for this action."
EGS_YOU_EFFECT_ALREADY_PRESENT		"&RG&Your spell's effect is already active on you. You won't gain experience for this action."

# when damage is done to/by an entity
EGS_COMBAT_HIT_EEIS 			"&BC&$0e hits $1e for $2i damage using the strategy $3s."
EGS_COMBAT_YOU_HIT_EIS 			"&BC&You inflict $1i points of damage on $0e using the strategy $2s."
EGS_COMBAT_HITS_YOU_EIS			"&RG&$0e hits you for $1i damage using the strategy $2s."
EGS_COMBAT_HIT_NULL_EES			"&BC&$0e uses the strategy $1s and hits $1e but does no damage."
EGS_COMBAT_YOU_HIT_NULL_ES		"&BC&You use the strategy $1s and hit $0e but do no damage."
EGS_COMBAT_HITS_YOU_NULL_ES 		"&RG&$0e uses the strategy $1s and hits you but does no damage."


#####################
# combat generic
#####################
EGS_ACTOR_COMBAT_PARRY_E		"&RG&$0e has parried your attack."
EGS_TARGET_COMBAT_PARRY_E		"&BC&You parry $0e's attack."
EGS_SPECTATORS_COMBAT_PARRY_EE		"&RG&$0e has parried $1e's attack."

EGS_ACTOR_COMBAT_DODGE_E		"&RG&$0e has dodged your attack."
EGS_TARGET_COMBAT_DODGE_E		"&BC&You dodged $0e's attack."
EGS_SPECTATORS_COMBAT_DODGE_EE		"&RG&$0e has dodged $1e's attack."

EGS_ACTOR_COMBAT_BRICK_S	 	"&BL&You try the special blow $0s on your target."
EGS_TARGET_COMBAT_BRICK_ES	 	"&RG&$0e gets ready to use a special blow $1s against you."
EGS_SPECTATORS_COMBAT_BRICK_ESE	 	"&BL&$0e prepares a special blow $1s against $2e."

EGS_ACTOR_COMBAT_CYCLIC_BRICK_S	 	"&BL&You get ready to use the $0s fighting style on your target."
EGS_TARGET_COMBAT_CYCLIC_BRICK_ES	"&RG&$0e gets ready to use the $1s fighting style on you."
EGS_SPECTATORS_COMBAT_CYCLIC_BRICK_ESE	"&BL&$0e gets ready to use the $1s fighting style on $2e."

EGS_ACTOR_COMBAT_BRICK_SUCCESS_S 	"&BC&The $0s special blow hit your target."
EGS_TARGET_COMBAT_BRICK_SUCCESS_ES 	"&RG&$0e hit you with the $1s special blow."
EGS_ACTOR_COMBAT_BRICK_SUCCESS_EES	"&BC&$0e hit $1e with the $2s special blow."

EGS_ACTOR_COMBAT_BRICK_FAIL_S 		"&RG&You missed your $0s special blow."
EGS_TARGET_COMBAT_BRICK_FAIL_ES 	"&RG&$0e missed his $1s special blow."
EGS_SPECTATORS_COMBAT_BRICK_FAIL_ES 	"&BC&$0e missed his $1s special blow."

EGS_ACTOR_COMBAT_BRICK_CYCLIC_SUCCESS_S		"&BC&The $0s fighting style hit your target."
EGS_TARGET_COMBAT_BRICK_CYCLIC_SUCCESS_ES	"&RG&$0e hit you with the $1s fighting style."
EGS_SPECTATORS_COMBAT_BRICK_CYCLIC_SUCCESS_EES	"&BC&$0e hit $1e with the $2s fighting style."

EGS_ACTOR_COMBAT_BRICK_CYCLIC_FAIL_S		"&BC&You missed your $0s fighting style."
EGS_TARGET_COMBAT_BRICK_CYCLIC_FAIL_ES		"&RG&$0e missed his $1s fighting style."
EGS_SPECTATORS_COMBAT_BRICK_CYCLIC_FAIL_ES	"&BC&$0e missed his $1s fighting style."

