	fight_phrase			dodge_parry			dodge_parry_ai			shield_use			offensive_magic			curative_magic			magic_resist			magic_resist_link			craft			extracting			break_cast_resist		
RelativeLevel	SuccessChances	PartialSuccessMaxDraw	XpGain	SuccessChances	PartialSuccessMaxDraw	XpGain	SuccessChances	PartialSuccessMaxDraw	XpGain	SuccessChances	PartialSuccessMaxDraw	XpGain	SuccessChances	PartialSuccessMaxDraw	XpGain	SuccessChances	PartialSuccessMaxDraw	XpGain	SuccessChances	PartialSuccessMaxDraw	XpGain	SuccessChances	PartialSuccessMaxDraw	XpGain	SuccessChances	PartialSuccessMaxDraw	XpGain	SuccessChances	PartialSuccessMaxDraw	XpGain	SuccessChances	PartialSuccessMaxDraw	XpGain
50	95	100	0.1	95	100	0.1	95	100	0.1	95	100	0.1	95	100	0.1	95	100	0.1	95	100	0.1	95	100	0.1	95	100	0.1	95	100	0.1	95	100	0.1
49	95	100	0.1	95	100	0.1	95	100	0.1	95	100	0.1	95	100	0.1	95	100	0.1	95	100	0.1	95	100	0.1	95	100	0.1	95	100	0.1	95	100	0.1
48	95	100	0.1	95	100	0.1	95	100	0.1	95	100	0.1	95	100	0.1	95	100	0.1	95	100	0.1	95	100	0.1	95	100	0.1	95	100	0.1	95	100	0.1
47	95	100	0.1	95	100	0.1	95	100	0.1	95	100	0.1	95	100	0.1	95	100	0.1	95	100	0.1	95	100	0.1	95	100	0.1	95	100	0.1	95	100	0.1
46	94	100	0.1	94	100	0.1	94	100	0.1	94	100	0.1	94	100	0.1	94	100	0.1	94	100	0.1	94	100	0.1	94	100	0.1	94	100	0.1	94	100	0.1
45	94	100	0.1	94	100	0.1	94	100	0.1	94	100	0.1	94	100	0.1	94	100	0.1	94	100	0.1	94	100	0.1	94	100	0.1	94	100	0.1	94	100	0.1
44	94	100	0.1	94	100	0.1	94	100	0.1	94	100	0.1	94	100	0.1	94	100	0.1	94	100	0.1	94	100	0.1	94	100	0.1	94	100	0.1	94	100	0.1
43	94	100	0.1	94	100	0.1	94	100	0.1	94	100	0.1	94	100	0.1	94	100	0.1	94	100	0.1	94	100	0.1	94	100	0.1	94	100	0.1	94	100	0.1
42	93	100	0.1	93	100	0.1	93	100	0.1	93	100	0.1	93	100	0.1	93	100	0.1	93	100	0.1	93	100	0.1	93	100	0.1	93	100	0.1	93	100	0.1
