*HASH_VALUE	creature ID	name	p	creagen	screagen
_BF667A52745D1CCC	caaga1	Мерзкая бальдуза	Мерзкие бальдузы	Мерзких бальдуз	Мерзкую бальдузу
_1B3F7E6D4208C16B	caaga2	Больная бальдуза	Больные бальдузы	Больных бальдуз	Больную бальдузу
_E99353EFAA20CAC5	caaga3	Прокаженная бальдуза	Прокаженные бальдузы	Прокаженных бальдуз	Прокаженную бальдузу
_8944CE87B71EA55D	caaga4	Зараженная бальдуза	Зараженные бальдузы	Зараженных бальдуз	Зараженную бальдузу
_16CFEA893D982988	caagb1	Тошнотворная бальдуза	Тошнотворные бальдузы	Тошнотворных бальдуз	Тошнотворную бальдузу
_5A80A6768149E975	caagb2	Смердящая бальдуза	Смердящие бальдузы	Смердящих бальдуз	Смердящую бальдузу
_3F50E64FFCA9BCBF	caagb3	Болезненная бальдуза	Болезненные бальдузы	Болезненных бальдуз	Болезненную бальдузу
_5990AE6D8059F96C	caagb4	Отравленная бальдуза	Отравленные бальдузы	Отравленных бальдуз	Отравленную бальдузу
_DA26CE28FEFD73F3	caagc1	Чумная бальдуза	Чумные бальдузы	Чумных бальдуз	Чумную бальдузу
_5F65EA2A2C6E53B3	caagc2	Хилая бальдуза	Хилые бальдузы	Хилых бальдуз	Хилую бальдузу
_DF843B861BA2615B	caagc3	Гниющая бальдуза	Гниющие бальдузы	Гниющих бальдуз	Гниющую бальдузу
_96C0F67FBD89417F	caagc4	Губительная бальдуза	Губительные бальдузы	Губительных бальдуз	Губительную бальдузу
_1F95BE3D3B1D3BEE	caagd1	Порченая бальдуза	Порченые бальдузы	Порченых бальдуз	Порченую бальдузу
_50A5F66286D3F53A	caagd2	Гнойная бальдуза	Гнойные бальдузы	Гнойных бальдуз	Гнойную бальдузу
_B119DAB1A236F970	caagd3	Пагубная бальдуза	Пагубные бальдузы	Пагубных бальдуз	Пагубную бальдузу
_C1E0CA5879FACCC6	caagd4	Бесноватая бальдуза	Бесноватые бальдузы	Бесноватых бальдуз	Бесноватую бальдузу
_55170E5C8E350D51	caage1	Прыщавая бальдуза	Прыщавые бальдузы	Прыщавых бальдуз	Прыщавую бальдузу
_1DF5FE2CFCBD4701	caage2	Облезающая бальдуза	Облезающие бальдузы	Облезающих бальдуз	Облезающую бальдузу
_1C95BE287EEC4BFE	caage3	Бешеная бальдуза	Бешеные бальдузы	Бешеных бальдуз	Бешеную бальдузу
_D415E2674843093B	caage4	Отвратительная бальдуза	Отвратительные бальдузы	Отвратительных бальдуз	Отвратительную бальдузу
_59BF76718088B574	caagf1	Безумная бальдуза	Безумные бальдузы	Безумных бальдуз	Безумную бальдузу
_D9A09A690069DD6C	caagf2	Озверевшая бальдуза	Озверевшие бальдузы	Озверевших бальдуз	Озверевшую бальдузу
_973FAA77BE08F17A	caagf3	Демоническая бальдуза	Демонические бальдузы	Демонических бальдуз	Демоническую бальдузу
_46A016507B99B8C1	caala1	Мелкая бальдуза	Мелкие бальдузы	Мелких бальдуз	Мелкую бальдузу
_1666DA5ACAE3ED44	caala2	Примитивная бальдуза	Примитивные бальдузы	Примитивных бальдуз	Примитивную бальдузу
_8824CE90B89EC95F	caala3	Смирная бальдуза	Смирные бальдузы	Смирных бальдуз	Смирную бальдузу
_EC3F8D0D79DDD0AA	caala4	Стремительная бальдуза	Стремительные бальдузы	Стремительных бальдуз	Стремительную бальдузу
_47A016507B99B8C1	caapa1	Мелкая бальдуза	Мелкие бальдузы	Мелких бальдуз	Мелкую бальдузу
_1766DA5ACAE3ED44	caapa2	Примитивная бальдуза	Примитивные бальдузы	Примитивных бальдуз	Примитивную бальдузу
_8924CE90B89EC95F	caapa3	Смирная бальдуза	Смирные бальдузы	Смирных бальдуз	Смирную бальдузу
_ED3F8D0D79DDD0AA	caapa4	Стремительная бальдуза	Стремительные бальдузы	Стремительных бальдуз	Стремительную бальдузу
_32D081117CEDC4AB	caapb1	Склизкая бальдуза	Склизкие бальдузы	Склизких бальдуз	Склизкую бальдузу
_C75F1240FC09E0C5	caapb2	Обычная бальдуза	Обычные бальдузы	Обычных бальдуз	Обычную бальдузу
_60F59A2CFCEC4BF2	caapb3	Жующая бальдуза	Жующие бальдузы	Жующих бальдуз	Жующую бальдузу
_F170AD15F6CCD0AB	caapb4	Зрелая бальдуза	Зрелые бальдузы	Зрелых бальдуз	Зрелую бальдузу
_E3B6FA9D24B6C971	caapc1	Взрослая бальдуза	Взрослые бальдузы	Взрослых бальдуз	Взрослую бальдузу
_D3B6BA56C8A2E139	caapc2	Обороняющаяся бальдуза	Обороняющиеся бальдузы	Обороняющихся бальдуз	Обороняющаяся бальдузу
