*HASH_VALUE	item ID	name	named	nameda	ia	da	p	pd	pia	pda	description	
_108DDB88207D7D6F	barman_bottle	Barmannsflasche	Barmannsflasche	Barmannsflasche	eine	die	Barmannsflaschen	Barmannsflaschen	eine	die		
_719D75E0E9F8F0D4	big_barrel	großes Fass	große Fass	große Fass	ein	das	große Fässer	großen Fässer	ein	die		
_AAF8AD76E06BA817	big_living_sculpture	große lebende Skulptur	große lebende Skulptur	große lebende Skulptur	eine	die	große lebende Skulpturen	großen lebenden Skulpturen	eine	die		
_C53473989DD18D60	black_medicine	schwarze Medizin	schwarze Medizin	schwarze Medizin	eine	die	schwarze Medizinen	schwarzen Medizinen	eine	die		
_095D69BC15982000	blood_vial	Blut-Flakon	Blut-Flakon	Blut-Flakon	ein	das	Blut-Flakons	Blut-Flakons	ein	die		
_992FA17CC3622A69	blue_medicine	blaue Medizin	blaue Medizin	blaue Medizin	eine	die	blaue Medizinen	blauen Medizinen	eine	die		
_387B063C978B2F9A	botanist_letter	Botaniker-Brief	Botaniker-Brief	Botaniker-Brief	ein	der	Botaniker-Briefe	Botaniker-Briefe	einen	die		
_94281F5594E74586	botanist_vial	Botaniker-Flakon	Botaniker-Flakon	Botaniker-Flakon	ein	das	Botaniker-Flakons	Botaniker-Flakons	ein	die		
_6E7AE080AAA7CCAD	bottle	Flasche	Flasche	Flasche	eine	die	Flaschen	Flaschen	eine	die		
_29FA4C81EB47209E	casket	Schatulle	Schatulle	Schatulle	eine	die	Schatullen	Schatullen	eine	die		
_BB42F36FBADA4FB3	crystalized_spell	kristallisierter Zauber	kristallisierte Zauber	kristallisierten Zauber	ein	der	kristallisierte Zauber	kristallisierten Zauber	einen	die		
_5C103D85258D1E61	cure_expert_letter	Heilerbrief	Heilerbrief	Heilerbrief	ein	der	Heilerbriefe	Heilerbriefe	einen	die		
_265C8F99DC8713A2	fv_arrowhead	seltsame Pfeilspitze	seltsame Pfeilspitze	seltsame Pfeilspitze	eine	die	seltsame Pfeilspitzen	seltsamen Pfeilspitzen	eine	die		
