*HASH_VALUE	item ID	name	ia	da	p	pia	pda	description
_108DDB88207D7D6F	barman_bottle	Barman's Bottle	a	the	Barman's Bottles	\d	the	
_719D75E0E9F8F0D4	big_barrel	Big Barrel	a	the	Big Barrels	\d	the	
_AAF8AD76E06BA817	big_living_sculpture	Big Living Sculpture	a	the	Big Living Sculptures	\d	the	
_C53473989DD18D60	black_medicine	Black Medicine	a	the	Black Medicines	\d	the	
_095D69BC15982000	blood_vial	Blood Vial	a	the	Blood Vials	\d	the	
_992FA17CC3622A69	blue_medicine	Blue Medicine	a	the	Blue Medicines	\d	the	
_387B063C978B2F9A	botanist_letter	Botanist's Letter	a	the	Botanist's Letters	\d	the	
_94281F5594E74586	botanist_vial	Botanist's Vial	a	the	Botanist's Vials	\d	the	
_6E7AE080AAA7CCAD	bottle	Bottle	a	the	Bottles	\d	the	
_29FA4C81EB47209E	casket	Casket	a	the	Caskets	\d	the	
_BB42F36FBADA4FB3	crystalized_spell	Crystalized Spell	a	the	Crystallized Spells	\d	the	
_5C103D85258D1E61	cure_expert_letter	Cure Expert's Letter	a	the	Cure Expert's Letters	\d	the	
_265C8F99DC8713A2	fv_arrowhead	Strange Arrowhead	a	the	Strange Arrowheads	\d	the	
_C4ED4DA60E405F1D	fv_seal1	Miner's Seal	a	the	Miner's Seals	\d	the	
_A7688EB001F4C3B6	fy_cheveux_long01	Fyros Long Haircut	a	the	Fyros Long Hairs	\d	the	
_C9AE97CCA6393608	fy_cheveux_medium01	Fyros Medium Haircut	a	the	Fyros Medium Haircuts	\d	the	
_444DFF215179DB83	fy_cheveux_shave01	Fyros Shaved Haircut	a	the	Fyros Shaved Haircuts	\d	the	
_2B15C615EDDA8EDA	fy_cheveux_short01	Fyros Short Haircut	a	the	Fyros Short Haircuts	\d	the	
_877F6110998470D1	fy_visage	Fyros Mask	a	the	Fyros Masks	\d	the	
_B961ACE6A4CCEFFF	goo_swarmplants_fiber	Goo Shooki Fiber	some	the	Goo Shooki Fibers	\d	the	
_35683D7993C78D1E	goo_swarmplants_fruit	Piece of Goo Shooki Fruit	a	the	Pieces of Goo Shooki Fruit	\d	the	
_D983739BF7A2F020	goo_vampignon_fungus	Goo Vampignon Fungus	a	the	Goo Vampignon Fungi	\d	the	
_7CA21DC266832C54	goo_varinx_blood	Phial of Goo Varinx Blood	a	the	Phials of Goo Varinx Blood	\d	the	
