*HASH_VALUE	placeId	name	da	pr	p	pda	ppr
_84AF650B260BB428	region_majesticgarden	Majestic Garden	the				
_06FE551623FBAC21	region_fleetinggarden	Fleeting Garden	the				
_DA073675680D99DC	region_groveofconfusion	Grove of Confusion	the				
_A09DD42F2967E0BB	region_hiddensource	Hidden Source	the				
_86EA9D32C2EBD02C	region_knollofdissent	Knoll of Dissent	the				
_2E78B8C666F71C56	region_upperbog	Upper Bog	the				
_781E713068D7F0FB	region_hereticshovel	Heretic's Hovel	the				
_67C874A86C3B68AB	place_yrkanis	Yrkanis	the				
_A2D868B962D67093	place_davae	Davae	the				
_A4D890B762166893	place_natae	Natae	the				
_9DA990A8E9461CB1	place_arena	Arena	the				
_A3688C9568B89C81	place_avalae	Avalae	the				
_E778A80664D6FCBF	continent_matis	Verdant heights	the				
_2BB98CB6EA59EC44	region_nland	Matisian Forest	the				
_209AF856EBF9ACA9	matis_nland	Matis Island	the				
_68F9D8B02CD88085	place_stalli	Stalli					
_D0588CC466F88CA8	place_borea	Borea					
_68EAACBAA857347D	place_nistia	Nistia					
_E89984B1E9F91CB7	place_rosilio	Rosilio					
_5658D4A26878049C	place_miani	Miani					
_2A4800B92E49C494	region_nexus	Nexus	the				
_6C6AE4AB64195066	continent_nexus	Nexus Minor	the				
_0C3E4110AAC8E5CE	region_the_under_spring	Under Spring	the				
_AC9958BA21141CAA	continent_sources	Under Spring	the				
_BF8B0179CCDBB515	region_the_abyss_of_ichor	Abyss of Ichor	the				
_2CC9AC824C980062	continent_bagne	Abyss of Ichor	the				
_0D640EA59E955242	region_the_land_of_continuty	Land of Continuity	the				
_847D252FF0766478	region_the_sunken_city	Sunken City	the				
_466E5E377D0F1D1F	region_forbidden_depths	Forbidden Depths	the				
_28FAD8ABA678C4AA	continent_terre	Wastelands	the				
_258341053327A09E	region_the_windy_gate	Windy Gate	the				
_18061244372D7DE5	region_gate_of_obscurity	Gate of Obscurity	the				
_DBC5896C810F9A3A	region_the_trench_of_trials	Trench of Trials	the				
_451C824CC930C922	region_the_elusive_forest	Elusive Forest	the				
_09D065F4E6EEE1C5	continent_route_gouffre	Lands of Umbra	the				
_1F24195BC5E95297	region_citiesofintuition	Cities of Intuition	the				
_E6B7ECCEEBB97CBC	region_maidengrove	Maiden Grove	the				
_09A0641C6CBAADAE	region_havenofpurity	Haven of Purity	the				
_E5DFA9C729D9C4A5	region_groveofumbra	Grove of Umbra	the				
_8241441EC40D59B7	region_knotofdementia	Knot of Dementia	the				
_260A78AC6E06B4B1	region_thevoid	Void	the				
_E238809D26EB70C1	place_zora	Zora					
_E398DC6324D8D4AC	place_jen_lai	Jen-Laï					
_27A8B863E7B8E0B2	place_min_cho	Min-Cho					
_A858B85E27C8CCAD	place_hoi_cho	Hoï-Cho					
_AA99DCB366B8A0B0	continent_zorai	Witherings	the				
_E44B306369D884AB	zorai_nland	Zoraï Island	the				
_A57970968F184C83	place_qai_lo	Qaï Lo					
_63783BADA4974CAE	place_men_xing	Nen Xing					
_8E58B09BEAC998A6	place_sheng_wo	Sheng Wo					
_ABCA145E6A69D8AC	place_koi_zun	Koï Zun					
_1E3598B7E38A3894	place_yin_piang	Yin Piang					
_077F812B671904A6	region_imperialdunes	Imperial Dunes	the				
_B9EF3D22E9E614FA	region_oflovaksoasis	Oflovak's Oasis	the				
_DE4B79286F6720AC	region_sawdustmines	Sawdust Mines	the				
_1ECE042FAA98A4CA	region_frahartowers	Frahar Towers	the				
_6C6F6D126C67609C	region_thesavagedunes	Savage Dunes	the				
_E468393398488CC4	region_dunesofexil	Dunes of Exile	the				
_DDAC444B69C7FCC9	region_outlawcanyon	Outlaw Canyon	the				
_D241D277C41E7296	region_thescorchedcorridor	Scorched Corridor	the				
_AACA20B730BBECAC	place_pyr	Pyr					
_AB69ECB8E7387889	place_thesos	Thesos					
_D2F8DCC4F2788CBC	place_dyron	Dyron					
_7188D0B19515E4BD	continent_fyros	Burning Desert	the				
_CB801D2A284B2C1F	continent_fyros_newbie	Burning Desert	the				
_E50A584FEB59BCBF	fyros_nland	Fyros Island	the				
_509A0CAE6ADA3494	place_aegus	Aegus					
_E969A4AFE2164880	place_kaemon	Kaemon					
_A94AC4AF650A38B8	place_sekovix	Sekovix					
_ACAAECC829F96485	place_phyxon	Phyxon					
_69B978A6A878E0B4	place_galemus	Galemus					
_A8543324AA29C8B0	region_libertylake	Liberty Lake	the				
_A314F0B0E1C9D4B5	region_dewdrops	Dew Drops	the				
_1D3C352DEA09F4A3	region_restingwater	Resting Water	the				
_E33311255F58B0C1	region_windsofmuse	Winds of Muse	the				
_2D589CAE64D990C6	region_thefount	Fount	the				
_FDFBBD1DA5D884F4	region_bountybeaches	Bounty Beaches	the				
_7E503D166815C3EB	region_enchantedisle	Enchanted Isle	the				
_C5A069FAEEED45BF	region_lagoonsofloria	Lagoons of Loria	the				
_22D9D0AADC0868A1	place_fairhaven	Fairhaven					
_5FF8B09BF087809E	place_avendale	Avendale					
_27FBF898E778249C	place_crystabell	Crystabell					
_A859B09A26F96898	place_windermeer	Windermeer					
_6F69648D2EB673C3	continent_tryker	Aeden Aqueous					
_0D304100E4191064	continent_tryker_newbie	Aeden Aqueous					
_9E05E8A9EA390CA0	tryker_nland	Tryker Island	the				
_A76ABC87ABA994A7	place_aubermouth	Aubermouth					
_61F898B5A578649F	place_barkdell	Barkdell					
_E518F895AE3704A5	place_hobwelly	Hobwelly					
_E9BA68BD245A74BA	place_waverton	Waverton					
_2468B8B7606888A3	place_dingleton	Dingleton					
_EB56887FD8D6B4A0	guild_hall	Guild Hall	the				
_A244D0B1E4B920A8	guild_council	Guild Council	the				
_98B79F1523F59873	guild_RM_fight	Guild Fight Trainer	the				
_9837BB0463F5347B	guild_RM_magic	Guild Magic Trainer	the				
_077EC9E064251224	guild_RM_harvest	Guild Harvest Trainer	the				
_17489315A295BC6E	guild_RM_craft	Guild Craft Trainer	the				
_E967D3B2EB89CC9F	player_room	Player Room	the				
