*HASH_VALUE	powerType	name	p	description
_6DCA609CECF858BE	Taunt	Бросить вызов		
_2AB8D88D6969889E	Shielding	Закрыться щитом		
_23E3F07BA6C9808C	SpeedingUp	Ускорение		
_FE6DF5A5685844B3	MeditationLife	Медитация - Здоровье		
_F0CD8E578A5F7D05	MeditationStamina	Медитация - Выносливость		
_279839E098D918C1	MeditationSap	Медитация - Сэп		
_872EA1EBE6F753A8	ConvertStamina	Преобразование Выносливости 		
_29D5CF7D27CAE486	ConvertSap	Преобразование Сэпа		
_29CC88822549147E	Berserk	Берсерк		
_25797445A52B8007	LifeAura	Аура Здоровья		
_9C84C0AA1F379CBA	StaminaAura	Аура Выносливости		
_59B6EC98A07774B3	SapAura	Аура Сэпа		
_FD34328D8A827302	Umbrella	Аура защиты от выстрелов		Делает вас и вашу группу неуязвимыми для стрелкового оружия
_92F0C1BB89BC5683	MeleeProtection	Аура защиты в ближнем бою		Делает Вас и вашу группу неуязвимыми для холодного оружия
_86197EEC1899F525	AntiMagicShield	Аура защиты от магии		Делает вас и вашу группу неуязвимыми для магических аттак
_8758671228A5AB28	Invulnerability	Неуязвимость		Вы временно становитесь неуязвимым но неспособным к каким-либо действиям  
_29AB5F80EF88004E	FireWall	Аура Стена огня		
_D8C8F48265958CB5	ThornWall	Аура Стена шипов		
_D7A9E48525959CAC	WaterWall	Аура Стена воды		
_F0BE55DDA9AB7D23	LightningWall	Аура Стена молний		
_1D5ABBA0DE1B6FB4	WarCry	Боевой Клич		
_ABB88C82DEB650A9	Heal	Исцеление		
_2305443A60C86CAF	BalanceHp	Сбалансировать Здоровье		
_B6604DDCE6C6ACA1	ChgCharac	Повышение характеристик		
_16F116141048A371	ModMagicProtection	Модификатор магической защиты	модификаторы магической защиты	Изменяет показатель магической защиты
_3A7CADB6DF38F847	ModDefense	Модификатор успешности обороны	модификаторы успешности обороны	Изменяет уровень успешности обороны 
_A25E08467860F1F2	ModCraftSuccess	Улучшение ремесла	Улучшение ремесел	Улучшает навыки ремесленников
_24BA6F597234C2DA	ModMeleeSuccess	Улучшение ближнего боя	Улучшение ближнего боя	Улучшает навыки ближнего боя
_8F7EEBA94B68D5F8	ModRangeSuccess	Улучшение навыка стрельбы	Улучшение выстрелов	Улучшает навыки владения стрелковым оружием
_9CAFEDAD47AFE1C5	ModMagicSuccess	Улучшение магии	Улучшение магии	Улучшает магические навыки
_A043E58C54A010EF	ModForageSuccess	Улучшение добычи ресурсов	Улучшение добычи ресурсов	Улучшает навыки добывания ресурсов
