*HASH_VALUE	race ID	name	ia	da	p	pia	pda
_A6AB2C9934550CBC	Fyros	Fyros	un	el	Fyros		los
_E7CB9C9EA95430A4	Matis	Matis	un	el	Matis		los
_ECC9D489AE5810A4	Tryker	Tryker	un	el	Trykers		los
_AB51CA9C65185C9F	Zorai	Zoraï	un	el	Zoraïs		los
_6738B082E379F0AE	Karavan	Karavan	un	el	Karavan		los
_EA288C91A3585095	Tribe	Tribu	una	la	Tribus		las
_2CD6E862AC34E48E	Common	Comunes			Comunes		
_E78B54642B0A586C	Arma	Arma	un	el	Armas		las
_E877986CA4D9ECB9	Balduse	Baldusa	una	la	Baldusas	las	
_DED93048E8DADC79	Bul	Bodoc	un	el	Bodocs		los
_6CA9A875A45934BC	Capryni	Capryni	un	el	Caprynis	los	
_6E6B247C28A74478	Cephaloplant	Jubla	una	la	Jublas	las	
_2AD80C589E8AEC9F	Chonari	Gingo	un	el	Gingos		los
_24C9E46CA6B9D8A5	Clapclap	Prakker	un	el	Prakker	los	
_E4B9D85F2C7898A7	Cococlaw	Clopper	un	el	Clopperslos		
_649A4C5A645B502A	Cute	Cute	un	el	Cutes		los
_DA38848EEE1644B3	Dag	Yubo	un	el	Yubos		los
_1E8AA48F531984B9	Diranak	Horncher	un	el	Hornchers		los
_A2EA7080DC795CC1	Electroalgs	Stinga	una	la	Stingas	las	
_69CCFC7DEBFCA4C5	Estrasson	Cray	un	el	Crays	los	
_25B91083A2C75CAD	Filin	Messab	un	el	Messabs		los
_6CA6C855AE370484	Frahar	Frahar	un	el	Frahars		los
_85D668582A47BE85	Gibbai	Gibbaï	un	el	Gibbaïs		los
_66C6F45CE74B50B2	Hachtaha	Goari	un	el	Goaris	los	
_5F589092269A58AE	Jungler	Torbak	un	el	Torbaks		los
_A8FAFC95E5B884D3	Kakty	Lumper	un	el	Lumpers		los
_E91844799DE6E889	Kalab	Kalab	un	el	Kalabs		los
_66B8AC6A67086042	Kami	Kami	un	el	Kamis		los
_6DE9185A9E88EC9F	Kazoar	Igara	un	el	Igaras		los
_22295C8D619B8CB0	Kitifly	Kizoar	un	el	Kizoars		los
_A967B071AF99D886	Kitihank	Kinrey	un	el	Kinreys	los	
_2D1928895C3A9488	Kitiharak	Kizarak	un	el	Kizarakslos		
_AA98C87D29A9ECB4	Kitikil	Kipesta	una	la	Kipestas	las	
_6A985489668810B3	Kitimandib	Kincher	un	el	Kincherslos		
_EED9D491A3E70895	Kitin	Kitin	un	el	Kitins		los
_AB79507DDF8958A2	Kitinagan	Kipucka	una	la	Kipuckaslas		
_24FB707EE636C4B2	Kitinega	Kirosta	una	la	Kirostaslas		
_1EE70896B148CC9A	Kitinokto	Kiban	un	el	Kibans	los	
