*HASH_VALUE	sbrick ID	name	* noms français	ia	da	p	pia	pda	description	description2
_982C1DC616A579D5	BFPA01	Attaque par Défaut		une	l'\d	Attaques par Défaut	des	les	Brique de base pour toutes les actions de combats.	Brique de Combats - Attaque par Défaut
_CD9CEEBCAF485D13	BFOA01	Coup Puissant		une	l'\d	Coups Puissants	des	les	Augmente les dégâts infligés par un coup.	Option Coup Puissant
_4A8C98814E07227B	BFOA02	Tir		un	le	Tirs	des	les	Augmente la cadence de tir	Augmente la cadence de tir
_0FDAD468BB4B8237	BFOA03	Attaque Précise		une	l'\d	Attaques Précises	des	les	Augmente la précision de l'attaque, réduit les chances d'esquives de l'ennemi. 	Option Attaque Précise
_B5072E218927A0CA	BFOA04	Hémorragie		une	l'\d	Hémorragies	des	les	Inflige une blessure ouverte causant une hémorragie - cause un dégât supplémentaire pendant 10s.	Option Hémorragie 
_E202CF41E3D22207	BFMA01	Coup Puissant 1		une	l'\d	Coups Puissants 1	des	les	Augmente les dégâts jusqu'à les doubler - efficacité maximum pour des armes dont le niveau n'excède pas 10.	Coup Puissant  1 - Facteur Max. : $1INC_DMG
_2202CF42E3E22607	BFMA02	Coup Puissant 2		une	l'\d	Coups Puissants 2	des	les	Augmente les dégâts jusqu'à les doubler - efficacité maximum pour des armes dont le niveau n'excède pas 20.	Coup Puissant  2 - Facteur Max. : $1INC_DMG
_6202CF43E3F22A07	BFMA03	Coup Puissant 3		une	l'\d	Coups Puissants 3	des	les	Augmente les dégâts jusqu'à les doubler - efficacité maximum pour des armes dont le niveau n'excède pas 30.	Coup Puissant  3 - Facteur Max. : $1INC_DMG
_A302E344E3022E07	BFMA04	Coup Puissant 4		une	l'\d	Coups Puissants 4	des	les	Augmente les dégâts jusqu'à les doubler - efficacité maximum pour des armes dont le niveau n'excède pas 45.	Coup Puissant  4 - Facteur Max. : $1INC_DMG
_E302CF47E3123207	BFMA05	Coup Puissant 5		une	l'\d	Coups Puissants 5	des	les	Augmente les dégâts jusqu'à les doubler - efficacité maximum pour des armes dont le niveau n'excède pas 70.	Coup Puissant  5 - Facteur Max. : $1INC_DMG
_2302CF49E3223607	BFMA06	Coup Puissant 6		une	l'\d	Coups Puissants 6	des	les	Augmente les dégâts jusqu'à les doubler - efficacité maximum pour des armes dont le niveau n'excède pas 90.	Coup Puissant  6 - Facteur Max. : $1INC_DMG
_E33D1033DFBF9FBC	BFMA07	Coup Puissant 7		une	l'\d	Coups Puissants 7	des	les	Augmente les dégâts jusqu'à les doubler - efficacité maximum pour des armes dont le niveau n'excède pas 115.	Coup Puissant  7 - Facteur Max. : $1INC_DMG
_E3ED1C33DFCFA3BD	BFMA08	Coup Puissant 8		une	l'\d	Coups Puissants 8	des	les	Augmente les dégâts jusqu'à les doubler - efficacité maximum pour des armes dont le niveau n'excède pas 140.	Coup Puissant  8 - Facteur Max. : $1INC_DMG
_E33D2433DFDFA7BE	BFMA09	Coup Puissant 9		une	l'\d	Coups Puissants 9	des	les	Augmente les dégâts jusqu'à les doubler - efficacité maximum pour des armes dont le niveau n'excède pas 165.	Coup Puissant  9 - Facteur Max. : $1INC_DMG
_1006A1C96FF045FA	BFMA10	Coup Puissant 10		une	l'\d	Coups Puissants 10	des	les	Augmente les dégâts jusqu'à les doubler - efficacité maximum pour des armes dont le niveau n'excède pas 190.	Coup Puissant  10 - Facteur Max. : $1INC_DMG
_5186A5C9AF0049FA	BFMA11	Coup Puissant 11		une	l'\d	Coups Puissants 11	des	les	Augmente les dégâts jusqu'à les doubler - efficacité maximum pour des armes dont le niveau n'excède pas 215.	Coup Puissant  11 - Facteur Max. : $1INC_DMG
_10B6A5C9EF104DFA	BFMA12	Coup Puissant 12		une	l'\d	Coups Puissants 12	des	les	Augmente les dégâts jusqu'à les doubler - efficacité maximum pour des armes dont le niveau n'excède pas 240.	Coup Puissant  12 - Facteur Max. : $1INC_DMG
_51D6A5C92F2051FA	BFMA13	Coup Puissant 13		une	l'\d	Coups Puissants 13	des	les	Augmente les dégâts jusqu'à les doubler - efficacité maximum pour des armes dont le niveau n'excède pas 265.	Coup Puissant  13 - Facteur Max. : $1INC_DMG
_87DF1BB3354CE2F3	BFMC01	Attaque Précise 1		une	l'\d	Attaques Précises 1	des	les	Réduit les chances d'esquives de l'ennemi - efficacité maximum pour une arme dont le niveau n'excède pas 20. 	Attaque Précise 1 - Bonus de Compétences :  +$1ATT_SKILL_MOD
_872F1FB3355CE6F4	BFMC02	Attaque Précise 2		une	l'\d	Attaques Précises 2	des	les	Réduit les chances d'esquives de l'ennemi - efficacité maximum pour une arme dont le niveau n'excède pas 35.	Attaque Précise 2 - Bonus de Compétences :  +$1ATT_SKILL_MOD
