*HASH_VALUE	sbrick ID	name	* noms français	description	description2
_982C1DC616A579D5	BFPA01	Базовая атака		Базовая станза для всех боевых действий.	Базовая станза атаки
_CD9CEEBCAF485D13	BFOA01	Повышенный урон		Увеличивает повреждения, нанесенные ударом.	Эффект повышения урона
_4A8C98814E07227B	BFOA02	Скорострельность		Повышает скорострельность оружия.	Эффект повышения скорострельности
_0FDAD468BB4B8237	BFOA03	Прицельная атака		Повышает точность атаки, снижает вероятность того, что противнику удастся уклониться от удара.	Эффект прицельной атаки
_B5072E218927A0CA	BFOA04	Кровотечение		Наносит противнику открытую кровоточащую рану, уменьшающую его здоровье в течение 10 последующих секунд.	Эффект кровотечения
_E202CF41E3D22207	BFMA01	Повышенный урон 1		Повышает урон от нанесенного удара до 200% - максимальная эффективность для оружия, уровень которого не превышает 10.	Повышенный урон 1 - Максимальный фактор $1INC_DMG
_2202CF42E3E22607	BFMA02	Повышенный урон 2		Повышает урон от нанесенного удара до 200% - максимальная эффективность для оружия, уровень которого не превышает 20.	Повышенный урон 2 - Максимальный фактор $1INC_DMG
_6202CF43E3F22A07	BFMA03	Повышенный урон 3		Повышает урон от нанесенного удара до 200% - максимальная эффективность для оружия, уровень которого не превышает 30.	Повышенный урон 3 - Максимальный фактор $1INC_DMG
_A302E344E3022E07	BFMA04	Повышенный урон 4		Повышает урон от нанесенного удара до 200% - максимальная эффективность для оружия, уровень которого не превышает 45.	Повышенный урон 4 - Максимальный фактор $1INC_DMG
_E302CF47E3123207	BFMA05	Повышенный урон 5		Повышает урон от нанесенного удара до 200% - максимальная эффективность для оружия, уровень которого не превышает 70.	Повышенный урон 5 - Максимальный фактор $1INC_DMG
_2302CF49E3223607	BFMA06	Повышенный урон 6		Повышает урон от нанесенного удара до 200% - максимальная эффективность для оружия, уровень которого не превышает 90.	Повышенный урон 6 - Максимальный фактор $1INC_DMG
_E33D1033DFBF9FBC	BFMA07	Повышенный урон 7		Повышает урон от нанесенного удара до 200% - максимальная эффективность для оружия, уровень которого не превышает 115.	Повышенный урон 7 - Максимальный фактор $1INC_DMG
