*HASH_VALUE	title_id	name	women_name
_C27F65FEE99C5036	gn_apprentice_tracer	Apprentice Tracer	
_7F3E91DD23C6651F	gn_bandit_bountybeaches_1	Кровавые Корчевщики	
_C53D8D3533B1790F	gn_bandit_bountybeaches_2	Охотники за головами	
_3E7B70E3ECBA5115	gn_bandit_bountybeaches_3	Отъявленная пятерка	
_37A9127C4ABCBCE0	gn_bandit_citiesofintuition_1	Птицы Предзнаменования	
_3F5B0C14CB0E21F1	gn_bandit_citiesofintuition_2	Клинки Зоры	
_57E4B19BC9AF260B	gn_bandit_citiesofintuition_3	Очи Озарений	
_448EF90B66A614CE	gn_bandit_dunesofexil_1	Опустошители предгорий	
_A788B0A2E6C760B4	gn_bandit_dunesofexil_2	Подстерегающие	
_C69E51219ED7DC5B	gn_bandit_dunesofexil_3	Драконы Дайрона	
_E718611C1F0788AA	gn_bandit_dunesofexil_4	Истребители Пламени	
_C4BE65A0844B690C	gn_bandit_enchantedisle_1	Потрошители Тайлера	
_9ADF725B7C1C1806	gn_bandit_enchantedisle_2	Аколиты Зла	
_3F3E09153DEF6D16	gn_bandit_enchantedisle_3	Своенравные Мектубы	
_01AC1C6DF31F1510	gn_bandit_fleetinggarden_1	Осквернители Зелени	
_B5172C0DEA700512	gn_bandit_fleetinggarden_2	Мутноглазые	
_7F8B7009241C4904	gn_bandit_fleetinggarden_3	Смотрящие с Вершин	
_3937401685703D0C	gn_bandit_fleetinggarden_4	Владыки Призрачного сада	
_3C9C380C9FE53D11	gn_bandit_fleetinggarden_5	Подсевшие на Семена	
_F18AE58CB2BF35EC	gn_bandit_forbidden_depths_1	Пики Евы	
_D66D610C6879888A	gn_bandit_forbidden_depths_2	Резчики плоти	
_1EC30E8485DFF1BB	gn_bandit_forbidden_depths_3	Банда Зверообразных 	
_68381E88C26F31EA	gn_bandit_forbidden_depths_4	Танцующие с Драконами	
_070E0D04128AA908	gn_bandit_frahartowers_1	Змеи Каньонов	
_807011C2371D8918	gn_bandit_frahartowers_2	Великолепные Стэйвоны	
_862C50089D53D90A	gn_bandit_frahartowers_3	Клинки Ярости	
_008F41019353BD07	gn_bandit_frahartowers_4	Поджигатели фрахаров	
_EF311E8103FE91EB	gn_bandit_gate_of_obscurity_1	Разбивающие Сердца	
_5353A573E4E0A660	gn_bandit_gate_of_obscurity_2	Продавцы Ужаса	
_67C6E27B09DF09BD	gn_bandit_gate_of_obscurity_3	Разорители Долин	
_5875CA8281BE599C	gn_bandit_gate_of_obscurity_4	Алые Бездельники	
_23CC358CC1AF71D0	gn_bandit_groveofconfusion_1	Безбашенные Девки	
_B99BFC8849AFB5EF	gn_bandit_groveofconfusion_2	Тираны Рощи	
_5092C28CC3AF65A9	gn_bandit_groveofconfusion_3	Длинные Ножи	
_825D4501D593E01A	gn_bandit_groveofumbra_1	Королевы Убийц	
_7E4E990951939D19	gn_bandit_groveofumbra_2	Гуляки	
_A45789F0595597AD	gn_bandit_groveofumbra_3	Черные Овцы	
_25685DF79B872862	gn_bandit_groveofumbra_4	Смельчаки	
_80DF8592A819BD17	gn_bandit_havenofpurity_1	Шайка Безобразников	
_00AEEDE21EFCA10E	gn_bandit_havenofpurity_2	Охотники на Хоминов	
_EEFECD94463195ED	gn_bandit_havenofpurity_3	Ярость с Небес	
_819D2D8F82D0311E	gn_bandit_hereticshovel_1	Измерители Канала	
_5A43C5037F2F0642	gn_bandit_hereticshovel_2	Язычники из Логова	
_43EDE1E15F559421	gn_bandit_hereticshovel_3	Страшилы из Логова	
_E8C8B4A11DB87494	gn_bandit_hiddensource_1	Наводящие Порчу	
_85BF1D09DBA72848	gn_bandit_hiddensource_2	Восставшие из Ада	
_E6EF550D9193AC4F	gn_bandit_hiddensource_3	Проклятие Джены	
_B1BE56506C2069A3	gn_bandit_imperialdunes_1	Глаз Дракона	
_44DEA9CFA8D93016	gn_bandit_imperialdunes_2	Охотники в Дюнах	
_88BEC9E2E8CBF0D2	gn_bandit_imperialdunes_3	Громилы Пайра	
_3DE9C1DF93DB6519	gn_bandit_imperialdunes_4	Язычники Пайра	
_447BD4C0CA6F2519	gn_bandit_knollofdissent_1	Пограничные Рейдеры	
_1D51A486CADEE1D6	gn_bandit_knollofdissent_2	Маги Раскола	
_712BF97BC66E45FC	gn_bandit_knollofdissent_3	Наездники Высоких Утесов	
