sbrick ID	name	* noms français	ia	da	p	pia	pda	description	description2	*commentaires
BFPA01	Default attack		a	the			the	The base brick for all combat actions.	Brick Fight Default attack	
BFOA01	Increase Damage		a	the			the	Accroit les dommages infligés par le coup.	Increase Damage Option	
BFOA02	Hit Rate		a	the			the	Augmente la cadence de tir	Augmente la cadence de tir	
BFOA03	Accurate Attack		a	the			the	Accroit la précision du coup, réduit les chances d'esquive de l'ennemi.	Accurate Attack Option	
BFOA04	Bleeding		a	the			the	Inflige une blessure ouverte causant une hémorragie - cause des dommages supplémentaires pendant 10s.	Bleeding Option	
BFMA01	Increase Damage 1		a	the			the	Accroit les dommages jusqu'à les doubler - efficacité maximale pour une arme jusqu'a 10 de compétence recommandée.	Increase Damage 1 - Max Factor : $1INC_DMG	
BFMA02	Increase Damage 2		a	the			the	Accroit les dommages jusqu'à les doubler - efficacité maximale pour une arme jusqu'a 20 de compétence recommandée.	Increase Damage 2 - Max Factor : $1INC_DMG	
BFMA03	Increase Damage 3		a	the			the	Accroit les dommages jusqu'à les doubler - efficacité maximale pour une arme jusqu'a 30 de compétence recommandée.	Increase Damage 3 - Max Factor : $1INC_DMG	
BFMA04	Increase Damage 4		a	the			the	Accroit les dommages jusqu'à les doubler - efficacité maximale pour une arme jusqu'a 45 de compétence recommandée.	Increase Damage 4 - Max Factor : $1INC_DMG	
BFMA05	Increase Damage 5		a	the			the	Accroit les dommages jusqu'à les doubler - efficacité maximale pour une arme jusqu'a 70 de compétence recommandée.	Increase Damage 5 - Max Factor : $1INC_DMG	
BFMA06	Increase Damage 6		a	the			the	Accroit les dommages jusqu'à les doubler - efficacité maximale pour une arme jusqu'a 90 de compétence recommandée.	Increase Damage 6 - Max Factor : $1INC_DMG	
BFMA07	Increase Damage 7		a	the			the	Accroit les dommages jusqu'à les doubler - efficacité maximale pour une arme jusqu'a 115 de compétence recommandée.	Increase Damage 7 - Max Factor : $1INC_DMG	
BFMA08	Increase Damage 8		a	the			the	Accroit les dommages jusqu'à les doubler - efficacité maximale pour une arme jusqu'a 140 de compétence recommandée.	Increase Damage 8 - Max Factor : $1INC_DMG	
BFMA09	Increase Damage 9		a	the			the	Accroit les dommages jusqu'à les doubler - efficacité maximale pour une arme jusqu'a 165 de compétence recommandée.	Increase Damage 9 - Max Factor : $1INC_DMG	
BFMA10	Increase Damage 10		a	the			the	Accroit les dommages jusqu'à les doubler - efficacité maximale pour une arme jusqu'a 190 de compétence recommandée.	Increase Damage 10 - Max Factor : $1INC_DMG	
BFMA11	Increase Damage 11		a	the			the	Accroit les dommages jusqu'à les doubler - efficacité maximale pour une arme jusqu'a 215 de compétence recommandée.	Increase Damage 11 - Max Factor : $1INC_DMG	
BFMA12	Increase Damage 12		a	the			the	Accroit les dommages jusqu'à les doubler - efficacité maximale pour une arme jusqu'a 240 de compétence recommandée.	Increase Damage 12 - Max Factor : $1INC_DMG	
BFMA13	Increase Damage 13		a	the			the	Accroit les dommages jusqu'à les doubler - efficacité maximale pour une arme jusqu'a 265 de compétence recommandée.	Increase Damage 13 - Max Factor : $1INC_DMG	
BFMC01	Accurate Attack 1		a	the			the	Réduit les chances d'esquive de l'ennemi - efficacité maximale pour une arme jusqu'a 20 de compétence recommandée.	Accurate attack 1 - Max skill bonus : +$1ATT_SKILL_MOD	
BFMC02	Accurate Attack 2		a	the			the	Réduit les chances d'esquive de l'ennemi - efficacité maximale pour une arme jusqu'a 35 de compétence recommandée.	Accurate attack 2 - Max skill bonus : +$1ATT_SKILL_MOD	
BFMC03	Accurate Attack 3		a	the			the	Réduit les chances d'esquive de l'ennemi - efficacité maximale pour une arme jusqu'a 50 de compétence recommandée.	Accurate attack 3 - Max skill bonus : +$1ATT_SKILL_MOD	
BFMC04	Accurate Attack 4		a	the			the	Réduit les chances d'esquive de l'ennemi - efficacité maximale pour une arme jusqu'a 65 de compétence recommandée.	Accurate attack 4 - Max skill bonus : +$1ATT_SKILL_MOD	
BFMC05	Accurate Attack 5		a	the			the	Réduit les chances d'esquive de l'ennemi - efficacité maximale pour une arme jusqu'a 90 de compétence recommandée.	Accurate attack 5 - Max skill bonus : +$1ATT_SKILL_MOD	
BFMC06	Accurate Attack 6		a	the			the	Réduit les chances d'esquive de l'ennemi - efficacité maximale pour une arme jusqu'a 115 de compétence recommandée.	Accurate attack 6 - Max skill bonus : +$1ATT_SKILL_MOD	
BFMC07	Accurate Attack 7		a	the			the	Réduit les chances d'esquive de l'ennemi - efficacité maximale pour une arme jusqu'a 140 de compétence recommandée.	Accurate attack 7 - Max skill bonus : +$1ATT_SKILL_MOD	
BFMC08	Accurate Attack 8		a	the			the	Réduit les chances d'esquive de l'ennemi - efficacité maximale pour une arme jusqu'a 170 de compétence recommandée.	Accurate attack 8 - Max skill bonus : +$1ATT_SKILL_MOD	
BFMC09	Accurate Attack 9		a	the			the	Réduit les chances d'esquive de l'ennemi - efficacité maximale pour une arme jusqu'a 200 de compétence recommandée.	Accurate attack 9 - Max skill bonus : +$1ATT_SKILL_MOD	
BFMC10	Accurate Attack 10		a	the			the	Réduit les chances d'esquive de l'ennemi - efficacité maximale pour une arme jusqu'a 235 de compétence recommandée.	Accurate attack 10 - Max skill bonus : +$1ATT_SKILL_MOD	
BFMC11	Accurate Attack 11		a	the			the	Réduit les chances d'esquive de l'ennemi - efficacité maximale pour une arme jusqu'a 275 de compétence recommandée.	Accurate attack 11 - Max skill bonus : +$1ATT_SKILL_MOD	
BFMD01	Bleeding 1		a	the			the	Cause des dommages supplémentaires (fonction des dommages infligés par le coup initial) pendant 10s - efficacité maximale pour une arme jusqu'a 25 de compétence recommandée.	Bleeding 1 - Max factor : $2BLEED_FACTOR	
BFMD02	Bleeding 2		a	the			the	Cause des dommages supplémentaires (fonction des dommages infligés par le coup initial) pendant 10s - efficacité maximale pour une arme jusqu'a 35 de compétence recommandée.	Bleeding 2 - Max factor : $2BLEED_FACTOR	
BFMD03	Bleeding 3		a	the			the	Cause des dommages supplémentaires (fonction des dommages infligés par le coup initial) pendant 10s - efficacité maximale pour une arme jusqu'a 50 de compétence recommandée.	Bleeding 3 - Max factor : $2BLEED_FACTOR	
BFMD04	Bleeding 4		a	the			the	Cause des dommages supplémentaires (fonction des dommages infligés par le coup initial) pendant 10s - efficacité maximale pour une arme jusqu'a 65 de compétence recommandée.	Bleeding 4 - Max factor : $2BLEED_FACTOR	
BFMD05	Bleeding 5		a	the			the	Cause des dommages supplémentaires (fonction des dommages infligés par le coup initial) pendant 10s - efficacité maximale pour une arme jusqu'a 90 de compétence recommandée.	Bleeding 5 - Max factor : $2BLEED_FACTOR	
BFMD06	Bleeding 6		a	the			the	Cause des dommages supplémentaires (fonction des dommages infligés par le coup initial) pendant 10s - efficacité maximale pour une arme jusqu'a 115 de compétence recommandée.	Bleeding 6 - Max factor : $2BLEED_FACTOR	
BFMD07	Bleeding 7		a	the			the	Cause des dommages supplémentaires (fonction des dommages infligés par le coup initial) pendant 10s - efficacité maximale pour une arme jusqu'a 140 de compétence recommandée.	Bleeding 7 - Max factor : $2BLEED_FACTOR	
BFMD08	Bleeding 8		a	the			the	Cause des dommages supplémentaires (fonction des dommages infligés par le coup initial) pendant 10s - efficacité maximale pour une arme jusqu'a 165 de compétence recommandée.	Bleeding 8 - Max factor : $2BLEED_FACTOR	
BFMD09	Bleeding 9		a	the			the	Cause des dommages supplémentaires (fonction des dommages infligés par le coup initial) pendant 10s - efficacité maximale pour une arme jusqu'a 200 de compétence recommandée.	Bleeding 9 - Max factor : $2BLEED_FACTOR	
BFMD10	Bleeding 10		a	the			the	Cause des dommages supplémentaires (fonction des dommages infligés par le coup initial) pendant 10s - efficacité maximale pour une arme jusqu'a 235 de compétence recommandée.	Bleeding 10 - Max factor : $2BLEED_FACTOR	
BFMD11	Bleeding 11		a	the			the	Cause des dommages supplémentaires (fonction des dommages infligés par le coup initial) pendant 10s - efficacité maximale pour une arme jusqu'a 275 de compétence recommandée.	Bleeding 11 - Max factor : $2BLEED_FACTOR	
BFCA01	Coût en Stamina 1		un	le	Coûts en Stamina 1	des	les	Consomme '$0STA_WEIGHT_FACTOR * Poids de l'arme' Stamina - valeur 6 crédits.	Facteur de consommation: $0STA_WEIGHT_FACTOR	
BFCA02	Coût en Stamina 2		un	le	Coûts en Stamina 2	des	les	Consomme '$0STA_WEIGHT_FACTOR * Poids de l'arme' Stamina - valeur 10 crédits.	Facteur de consommation: $0STA_WEIGHT_FACTOR	
BFCA03	Coût en Stamina 3		un	le	Coûts en Stamina 3	des	les	Consomme '$0STA_WEIGHT_FACTOR * Poids de l'arme' Stamina - valeur 16 crédits.	Facteur de consommation: $0STA_WEIGHT_FACTOR	
BFCA04	Coût en Stamina 4		un	le	Coûts en Stamina 4	des	les	Consomme '$0STA_WEIGHT_FACTOR * Poids de l'arme' Stamina - valeur 20 crédits.	Facteur de consommation: $0STA_WEIGHT_FACTOR	
BFCA05	Coût en Stamina 5		un	le	Coûts en Stamina 5	des	les	Consomme '$0STA_WEIGHT_FACTOR * Poids de l'arme' Stamina - valeur 26 crédits.	Facteur de consommation: $0STA_WEIGHT_FACTOR	
BFCA06	Coût en Stamina 6		un	le	Coûts en Stamina 6	des	les	Consomme '$0STA_WEIGHT_FACTOR * Poids de l'arme' Stamina - valeur 30 crédits.	Facteur de consommation: $0STA_WEIGHT_FACTOR	
BFCA07	Coût en Stamina 7		un	le	Coûts en Stamina 7	des	les	Consomme '$0STA_WEIGHT_FACTOR * Poids de l'arme' Stamina - valeur 40 crédits.	Facteur de consommation: $0STA_WEIGHT_FACTOR	
BFCA08	Coût en Stamina 8		un	le	Coûts en Stamina 8	des	les	Consomme '$0STA_WEIGHT_FACTOR * Poids de l'arme' Stamina - valeur 50 crédits.	Facteur de consommation: $0STA_WEIGHT_FACTOR	
BFCA09	Coût en Stamina 9		un	le	Coûts en Stamina 9	des	les	Consomme '$0STA_WEIGHT_FACTOR * Poids de l'arme' Stamina - valeur 66 crédits.	Facteur de consommation: $0STA_WEIGHT_FACTOR	
BFCA10	Coût en Stamina 10		un	le	Coûts en Stamina 10	des	les	Consomme '$0STA_WEIGHT_FACTOR * Poids de l'arme' Stamina - valeur 80 crédits.	Facteur de consommation: $0STA_WEIGHT_FACTOR	
BFCA11	Coût en Stamina 11		un	le	Coûts en Stamina 11	des	les	Consomme '$0STA_WEIGHT_FACTOR * Poids de l'arme' Stamina - valeur 100 crédits.	Facteur de consommation: $0STA_WEIGHT_FACTOR	
BFCA12	Coût en Stamina 12		un	le	Coûts en Stamina 12	des	les	Consomme '$0STA_WEIGHT_FACTOR * Poids de l'arme' Stamina - valeur 120 crédits.	Facteur de consommation: $0STA_WEIGHT_FACTOR	
BFCA13	Coût en Stamina 13		un	le	Coûts en Stamina 13	des	les	Consomme '$0STA_WEIGHT_FACTOR * Poids de l'arme' Stamina - valeur 140 crédits.	Facteur de consommation: $0STA_WEIGHT_FACTOR	
BFCA14	Coût en Stamina 14		un	le	Coûts en Stamina 14	des	les	Consomme '$0STA_WEIGHT_FACTOR * Poids de l'arme' Stamina - valeur 160 crédits.	Facteur de consommation: $0STA_WEIGHT_FACTOR	
BFCA15	Coût en Stamina 15		un	le	Coûts en Stamina 15	des	les	Consomme '$0STA_WEIGHT_FACTOR * Poids de l'arme' Stamina - valeur 180 crédits.	Facteur de consommation: $0STA_WEIGHT_FACTOR	
BFCA16	Coût en Stamina 16		un	le	Coûts en Stamina 16	des	les	Consomme '$0STA_WEIGHT_FACTOR * Poids de l'arme' Stamina - valeur 200 crédits.	Facteur de consommation: $0STA_WEIGHT_FACTOR	
