sphrase ID	name	* noms français	ia	da	p	pia	pda	description
abf01	Default Attack		a	the				L'action de combat par défaut.
aBFMA01	Increase Damage 1		a	the				Accroit les dommages (jusqu'à les doubler) - efficacité maximale pour une arme jusqu'à 10 en compétence recommandée.
aBFMA02	Increase Damage 2		a	the				Accroit les dommages (jusqu'à les doubler) - efficacité maximale pour une arme jusqu'à 20 en compétence recommandée.
aBFMA03	Increase Damage 3		a	the				Accroit les dommages (jusqu'à les doubler) - efficacité maximale pour une arme jusqu'à 30 en compétence recommandée.
aBFMA04	Increase Damage 4		a	the				Accroit les dommages (jusqu'à les doubler) - efficacité maximale pour une arme jusqu'à 45 en compétence recommandée.
aBFMA05	Increase Damage 5		a	the				Accroit les dommages (jusqu'à les doubler) - efficacité maximale pour une arme jusqu'à 70 en compétence recommandée.
aBFMA06	Increase Damage 6		a	the				Accroit les dommages (jusqu'à les doubler) - efficacité maximale pour une arme jusqu'à 90 en compétence recommandée.
aBFMA07	Increase Damage 7		a	the				Accroit les dommages (jusqu'à les doubler) - efficacité maximale pour une arme jusqu'à 115 en compétence recommandée.
aBFMA08	Increase Damage 8		a	the				Accroit les dommages (jusqu'à les doubler) - efficacité maximale pour une arme jusqu'à 140 en compétence recommandée.
aBFMA09	Increase Damage 9		a	the				Accroit les dommages (jusqu'à les doubler) - efficacité maximale pour une arme jusqu'à 165 en compétence recommandée.
aBFMA10	Increase Damage 10		a	the				Accroit les dommages (jusqu'à les doubler) - efficacité maximale pour une arme jusqu'à 190 en compétence recommandée.
aBFMA11	Increase Damage 11		a	the				Accroit les dommages (jusqu'à les doubler) - efficacité maximale pour une arme jusqu'à 215 en compétence recommandée.
aBFMA12	Increase Damage 12		a	the				Accroit les dommages (jusqu'à les doubler) - efficacité maximale pour une arme jusqu'à 240 en compétence recommandée.
aBFMA13	Increase Damage 13		a	the				Accroit les dommages (jusqu'à les doubler) - efficacité maximale pour une arme jusqu'à 265 en compétence recommandée.
aBFMC01	Accurate attack 1		a	the				Réduit les chances d'esquive de l'ennemi - efficacité maximale pour une arme jusqu'a 20 de compétence recommandée.
aBFMC02	Accurate attack 2		a	the				Réduit les chances d'esquive de l'ennemi - efficacité maximale pour une arme jusqu'a 35 de compétence recommandée.
aBFMC03	Accurate attack 3		a	the				Réduit les chances d'esquive de l'ennemi - efficacité maximale pour une arme jusqu'a 50 de compétence recommandée.
aBFMC04	Accurate attack 4		a	the				Réduit les chances d'esquive de l'ennemi - efficacité maximale pour une arme jusqu'a 65 de compétence recommandée.
aBFMC05	Accurate attack 5		a	the				Réduit les chances d'esquive de l'ennemi - efficacité maximale pour une arme jusqu'a 90 de compétence recommandée.
aBFMC06	Accurate attack 6		a	the				Réduit les chances d'esquive de l'ennemi - efficacité maximale pour une arme jusqu'a 115 de compétence recommandée.
aBFMC07	Accurate attack 7		a	the				Réduit les chances d'esquive de l'ennemi - efficacité maximale pour une arme jusqu'a 140 de compétence recommandée.
aBFMC08	Accurate attack 8		a	the				Réduit les chances d'esquive de l'ennemi - efficacité maximale pour une arme jusqu'a 170 de compétence recommandée.
aBFMC09	Accurate attack 9		a	the				Réduit les chances d'esquive de l'ennemi - efficacité maximale pour une arme jusqu'a 200 de compétence recommandée.
aBFMC10	Accurate attack 10		a	the				Réduit les chances d'esquive de l'ennemi - efficacité maximale pour une arme jusqu'a 235 de compétence recommandée.
aBFMC11	Accurate attack 11		a	the				Réduit les chances d'esquive de l'ennemi - efficacité maximale pour une arme jusqu'a 275 de compétence recommandée.
aBFMD01	Bleeding 1		a	the				Cause des dommages supplémentaires (fonction des dommages infligés par le coup initial) pendant 10s - efficacité maximale pour une arme jusqu'a 25 de compétence recommandée.
aBFMD02	Bleeding 2		a	the				Cause des dommages supplémentaires (fonction des dommages infligés par le coup initial) pendant 10s - efficacité maximale pour une arme jusqu'a 35 de compétence recommandée.
aBFMD03	Bleeding 3		a	the				Cause des dommages supplémentaires (fonction des dommages infligés par le coup initial) pendant 10s - efficacité maximale pour une arme jusqu'a 50 de compétence recommandée.
aBFMD04	Bleeding 4		a	the				Cause des dommages supplémentaires (fonction des dommages infligés par le coup initial) pendant 10s - efficacité maximale pour une arme jusqu'a 65 de compétence recommandée.
aBFMD05	Bleeding 5		a	the				Cause des dommages supplémentaires (fonction des dommages infligés par le coup initial) pendant 10s - efficacité maximale pour une arme jusqu'a 90 de compétence recommandée.
aBFMD06	Bleeding 6		a	the				Cause des dommages supplémentaires (fonction des dommages infligés par le coup initial) pendant 10s - efficacité maximale pour une arme jusqu'a 115 de compétence recommandée.
aBFMD07	Bleeding 7		a	the				Cause des dommages supplémentaires (fonction des dommages infligés par le coup initial) pendant 10s - efficacité maximale pour une arme jusqu'a 140 de compétence recommandée.
aBFMD08	Bleeding 8		a	the				Cause des dommages supplémentaires (fonction des dommages infligés par le coup initial) pendant 10s - efficacité maximale pour une arme jusqu'a 165 de compétence recommandée.
aBFMD09	Bleeding 9		a	the				Cause des dommages supplémentaires (fonction des dommages infligés par le coup initial) pendant 10s - efficacité maximale pour une arme jusqu'a 200 de compétence recommandée.
aBFMD10	Bleeding 10		a	the				Cause des dommages supplémentaires (fonction des dommages infligés par le coup initial) pendant 10s - efficacité maximale pour une arme jusqu'a 235 de compétence recommandée.
aBFMD11	Bleeding 11		a	the				Cause des dommages supplémentaires (fonction des dommages infligés par le coup initial) pendant 10s - efficacité maximale pour une arme jusqu'a 275 de compétence recommandée.
abfcb01	HP Credit upgrade		a	the				Vous donne une brique de crédit dépensant des HP.
abfcb02	HP Credit upgrade		a	the				Vous donne une brique de crédit dépensant des HP.
abfcb03	HP Credit upgrade		a	the				Vous donne une brique de crédit dépensant des HP.
abfcb04	HP Credit upgrade		a	the				Vous donne une brique de crédit dépensant des HP.
abfcb05	HP Credit upgrade		a	the				Vous donne une brique de crédit dépensant des HP.
abfcb06	HP Credit upgrade		a	the				Vous donne une brique de crédit dépensant des HP.
abfcb07	HP Credit upgrade		a	the				Vous donne une brique de crédit dépensant des HP.
abfcb08	HP Credit upgrade		a	the				Vous donne une brique de crédit dépensant des HP.
abfcb09	HP Credit upgrade		a	the				Vous donne une brique de crédit dépensant des HP.
abfcb10	HP Credit upgrade		a	the				Vous donne une brique de crédit dépensant des HP.
abfcc01	Attack after dodge 1		a	the				Accroit les dommages (jusqu'à les doubler) - efficacité maximale pour une arme jusqu'à 20 en compétence recommandée. Utilisable uniquement après une esquive.
abfcc02	Attack after dodge 2		a	the				Accroit les dommages (jusqu'à les doubler) - efficacité maximale pour une arme jusqu'à 30 en compétence recommandée. Utilisable uniquement après une esquive.
abfcc03	Attack after dodge 3		a	the				Accroit les dommages (jusqu'à les doubler) - efficacité maximale pour une arme jusqu'à 45 en compétence recommandée. Utilisable uniquement après une esquive.
abfcc04	Attack after dodge 4		a	the				Accroit les dommages (jusqu'à les doubler) - efficacité maximale pour une arme jusqu'à 70 en compétence recommandée. Utilisable uniquement après une esquive.
abfcc05	Attack after dodge 5		a	the				Accroit les dommages (jusqu'à les doubler) - efficacité maximale pour une arme jusqu'à 90 en compétence recommandée. Utilisable uniquement après une esquive.
abfcc06	Attack after dodge 6		a	the				Accroit les dommages (jusqu'à les doubler) - efficacité maximale pour une arme jusqu'à 115 en compétence recommandée. Utilisable uniquement après une esquive.
abfcc07	Attack after dodge 7		a	the				Accroit les dommages (jusqu'à les doubler) - efficacité maximale pour une arme jusqu'à 140 en compétence recommandée. Utilisable uniquement après une esquive.
abfcc08	Attack after dodge 8		a	the				Accroit les dommages (jusqu'à les doubler) - efficacité maximale pour une arme jusqu'à 165 en compétence recommandée. Utilisable uniquement après une esquive.
abfcc09	Attack after dodge 9		a	the				Accroit les dommages (jusqu'à les doubler) - efficacité maximale pour une arme jusqu'à 190 en compétence recommandée. Utilisable uniquement après une esquive.
abfcc10	Attack after dodge 10		a	the				Accroit les dommages (jusqu'à les doubler) - efficacité maximale pour une arme jusqu'à 215 en compétence recommandée. Utilisable uniquement après une esquive.
abfcc11	Attack after dodge 11		a	the				Accroit les dommages (jusqu'à les doubler) - efficacité maximale pour une arme jusqu'à 265 en compétence recommandée. Utilisable uniquement après une esquive.
abfcd01	Attack after parry 1		a	the				Réduit les chances d'esquive de l'ennemi - efficacité maximale pour une arme jusqu'à 20 en compétence recommandée. Utilisable uniquement après une parade.
abfcd02	Attack after parry 2		a	the				Réduit les chances d'esquive de l'ennemi - efficacité maximale pour une arme jusqu'à 35 en compétence recommandée. Utilisable uniquement après une parade.
abfcd03	Attack after parry 3		a	the				Réduit les chances d'esquive de l'ennemi -efficacité maximale pour une arme jusqu'à 50 en compétence recommandée. Utilisable uniquement après une parade.
abfcd04	Attack after parry 4		a	the				Réduit les chances d'esquive de l'ennemi - efficacité maximale pour une arme jusqu'à 65 en compétence recommandée. Utilisable uniquement après une parade.
abfcd05	Attack after parry 5		a	the				Réduit les chances d'esquive de l'ennemi - efficacité maximale pour une arme jusqu'à 90 en compétence recommandée. Utilisable uniquement après une parade.
abfcd06	Attack after parry 6		a	the				Réduit les chances d'esquive de l'ennemi - efficacité maximale pour une arme jusqu'à 115 en compétence recommandée. Utilisable uniquement après une parade.
abfcd07	Attack after parry 7		a	the				Réduit les chances d'esquive de l'ennemi - efficacité maximale pour une arme jusqu'à 140 en compétence recommandée. Utilisable uniquement après une parade.
abfcd08	Attack after parry 8		a	the				Réduit les chances d'esquive de l'ennemi -- efficacité maximale pour une arme jusqu'à 170 en compétence recommandée. Utilisable uniquement après une parade.
abfcd09	Attack after parry 9		a	the				Réduit les chances d'esquive de l'ennemi -efficacité maximale pour une arme jusqu'à 200 en compétence recommandée. Utilisable uniquement après une parade.
abfcd10	Attack after parry 10		a	the				Réduit les chances d'esquive de l'ennemi - efficacité maximale pour une arme jusqu'à 235 en compétence recommandée. Utilisable uniquement après une parade.
abfcd11	Attack after parry 11		a	the				Réduit les chances d'esquive de l'ennemi - efficacité maximale pour une arme jusqu'à 275 en compétence recommandée. Utilisable uniquement après une parade.
abfce01	Attack after critical hit 1		a	the				Fourni une brique de crédit 'coup après coup critique' pour le combat 
abfce02	Attack after critical hit 2		a	the				Fourni une brique de crédit 'coup après coup critique' pour le combat 
abfce03	Attack after critical hit 3		a	the				Fourni une brique de crédit 'coup après coup critique' pour le combat 
abfce04	Attack after critical hit 4		a	the				Fourni une brique de crédit 'coup après coup critique' pour le combat 
abfce05	Attack after critical hit 5		a	the				Fourni une brique de crédit 'coup après coup critique' pour le combat 
abfce06	Attack after critical hit 6		a	the				Fourni une brique de crédit 'coup après coup critique' pour le combat 
abfce07	Attack after critical hit 7		a	the				Fourni une brique de crédit 'coup après coup critique' pour le combat 
abfce08	Attack after critical hit 8		a	the				Fourni une brique de crédit 'coup après coup critique' pour le combat 
abfce09	Attack after critical hit 9		a	the				Fourni une brique de crédit 'coup après coup critique' pour le combat 
abfce10	Attack after critical hit 10		a	the				Fourni une brique de crédit 'coup après coup critique' pour le combat 
abfce11	Attack after critical hit 11		a	the				Fourni une brique de crédit 'coup après coup critique' pour le combat 
ABPPC01	Constitution Training 1		a	the				Accroit votre constitution et vos HP.
ABPPC02	Constitution Training 2		a	the				Accroit votre constitution et vos HP.
ABPPC03	Constitution Training 3		a	the				Accroit votre constitution et vos HP.
ABPPC04	Constitution Training 4		a	the				Accroit votre constitution et vos HP.
ABPPC05	Constitution Training 5		a	the				Accroit votre constitution et vos HP.
ABPPC06	Constitution Training 6		a	the				Accroit votre constitution et vos HP.
ABPPC07	Constitution Training 7		a	the				Accroit votre constitution et vos HP.
ABPPC08	Constitution Training 8		a	the				Accroit votre constitution et vos HP.
ABPPC09	Constitution Training 9		a	the				Accroit votre constitution et vos HP.
ABPPC10	Constitution Training 10		a	the				Accroit votre constitution et vos HP.
ABPPC11	Constitution Training 11		a	the				Accroit votre constitution et vos HP.
ABPPC12	Constitution Training 12		a	the				Accroit votre constitution et vos HP.
ABPPC13	Constitution Training 13		a	the				Accroit votre constitution et vos HP.
ABPPC14	Constitution Training 14		a	the				Accroit votre constitution et vos HP.
ABPPC15	Constitution Training 15		a	the				Accroit votre constitution et vos HP.
ABPPC16	Constitution Training 16		a	the				Accroit votre constitution et vos HP.
ABPPC17	Constitution Training 17		a	the				Accroit votre constitution et vos HP.
ABPPC18	Constitution Training 18		a	the				Accroit votre constitution et vos HP.
ABPPC19	Constitution Training 19		a	the				Accroit votre constitution et vos HP.
ABPPC20	Constitution Training 20		a	the				Accroit votre constitution et vos HP.
ABPPC21	Constitution Training 21		a	the				Accroit votre constitution et vos HP.
ABPPC22	Constitution Training 22		a	the				Accroit votre constitution et vos HP.
ABPPC23	Constitution Training 23		a	the				Accroit votre constitution et vos HP.
ABPPC24	Constitution Training 24		a	the				Accroit votre constitution et vos HP.
ABPPC25	Constitution Training 25		a	the				Accroit votre constitution et vos HP.
ABPPC26	Constitution Training 26		a	the				Accroit votre constitution et vos HP.
ABPPC27	Constitution Training 27		a	the				Accroit votre constitution et vos HP.
ABPPC28	Constitution Training 28		a	the				Accroit votre constitution et vos HP.
ABPPC29	Constitution Training 29		a	the				Accroit votre constitution et vos HP.
ABPPC30	Constitution Training 30		a	the				Accroit votre constitution et vos HP.
ABPPC31	Constitution Training 31		a	the				Accroit votre constitution et vos HP.
ABPPC32	Constitution Training 32		a	the				Accroit votre constitution et vos HP.
ABPPC33	Constitution Training 33		a	the				Accroit votre constitution et vos HP.
ABPPC34	Constitution Training 34		a	the				Accroit votre constitution et vos HP.
ABPPC35	Constitution Training 35		a	the				Accroit votre constitution et vos HP.
ABPPC36	Constitution Training 36		a	the				Accroit votre constitution et vos HP.
ABPPC37	Constitution Training 37		a	the				Accroit votre constitution et vos HP.
ABPPC38	Constitution Training 38		a	the				Accroit votre constitution et vos HP.
ABPPC39	Constitution Training 39		a	the				Accroit votre constitution et vos HP.
ABPPC40	Constitution Training 40		a	the				Accroit votre constitution et vos HP.
ABPPC41	Constitution Training 41		a	the				Accroit votre constitution et vos HP.
ABPPC42	Constitution Training 42		a	the				Accroit votre constitution et vos HP.
ABPPC43	Constitution Training 43		a	the				Accroit votre constitution et vos HP.
ABPPC44	Constitution Training 44		a	the				Accroit votre constitution et vos HP.
ABPPC45	Constitution Training 45		a	the				Accroit votre constitution et vos HP.
ABPPC46	Constitution Training 46		a	the				Accroit votre constitution et vos HP.
ABPPC47	Constitution Training 47		a	the				Accroit votre constitution et vos HP.
ABPPC48	Constitution Training 48		a	the				Accroit votre constitution et vos HP.
ABPPC49	Constitution Training 49		a	the				Accroit votre constitution et vos HP.
ABPPC50	Constitution Training 50		a	the				Accroit votre constitution et vos HP.
ABPPM01	Metabolism Training 1		a	the				Accroit votre métabolisme et votre vitesse de regénération des HP.
ABPPM02	Metabolism Training 2		a	the				Accroit votre métabolisme et votre vitesse de regénération des HP.
ABPPM03	Metabolism Training 3		a	the				Accroit votre métabolisme et votre vitesse de regénération des HP.
ABPPM04	Metabolism Training 4		a	the				Accroit votre métabolisme et votre vitesse de regénération des HP.
ABPPM05	Metabolism Training 5		a	the				Accroit votre métabolisme et votre vitesse de regénération des HP.
ABPPM06	Metabolism Training 6		a	the				Accroit votre métabolisme et votre vitesse de regénération des HP.
ABPPM07	Metabolism Training 7		a	the				Accroit votre métabolisme et votre vitesse de regénération des HP.
ABPPM08	Metabolism Training 8		a	the				Accroit votre métabolisme et votre vitesse de regénération des HP.
ABPPM09	Metabolism Training 9		a	the				Accroit votre métabolisme et votre vitesse de regénération des HP.
ABPPM10	Metabolism Training 10		a	the				Accroit votre métabolisme et votre vitesse de regénération des HP.
ABPPM11	Metabolism Training 11		a	the				Accroit votre métabolisme et votre vitesse de regénération des HP.
ABPPM12	Metabolism Training 12		a	the				Accroit votre métabolisme et votre vitesse de regénération des HP.
ABPPM13	Metabolism Training 13		a	the				Accroit votre métabolisme et votre vitesse de regénération des HP.
ABPPM14	Metabolism Training 14		a	the				Accroit votre métabolisme et votre vitesse de regénération des HP.
ABPPM15	Metabolism Training 15		a	the				Accroit votre métabolisme et votre vitesse de regénération des HP.
ABPPM16	Metabolism Training 16		a	the				Accroit votre métabolisme et votre vitesse de regénération des HP.
ABPPM17	Metabolism Training 17		a	the				Accroit votre métabolisme et votre vitesse de regénération des HP.
ABPPM18	Metabolism Training 18		a	the				Accroit votre métabolisme et votre vitesse de regénération des HP.
